evaluation_type,metric,repair_method,model,value,count,denominator,formatted_value
Automatic,Syntactic,Baseline,Qwen,92.59,25,27,"92.59%, n=25"
Automatic,Structural,Baseline,Qwen,40.74,11,27,"40.74%, n=11"
Automatic,Syntactic,Syntax-Grounded,Qwen,96.30,26,27,"96.30%, n=26"
Automatic,Structural,Syntax-Grounded,Qwen,51.85,14,27,"51.85%, n=14"
Automatic,Syntactic,Baseline,Mistral,74.07,20,27,"74.07%, n=20"
Automatic,Structural,Baseline,Mistral,29.63,8,27,"29.63%, n=8"
Automatic,Syntactic,Syntax-Grounded,Mistral,77.78,21,27,"77.78%, n=21"
Automatic,Structural,Syntax-Grounded,Mistral,37.04,10,27,"37.04%, n=10"
Automatic,Syntactic,Baseline,DeepSeek,92.59,25,27,"92.59%, n=25"
Automatic,Structural,Baseline,DeepSeek,88.89,24,27,"88.89%, n=24"
Automatic,Syntactic,Syntax-Grounded,DeepSeek,92.59,25,27,"92.59%, n=25"
Automatic,Structural,Syntax-Grounded,DeepSeek,81.48,22,27,"81.48%, n=22"
Automatic,Syntactic,Baseline,LLaMA,96.30,26,27,"96.30%, n=26"
Automatic,Structural,Baseline,LLaMA,55.56,15,27,"55.56%, n=15"
Automatic,Syntactic,Syntax-Grounded,LLaMA,85.19,23,27,"85.19%, n=23"
Automatic,Structural,Syntax-Grounded,LLaMA,62.96,17,27,"62.96%, n=17"
Human,Completeness,Baseline,Qwen,4,7,7,4
Human,Correctness,Baseline,Qwen,4,7,7,4
Human,Understandability,Baseline,Qwen,3,7,7,3
Human,Terminological alignment,Baseline,Qwen,4,7,7,4
Human,Completeness,Syntax-Grounded,Qwen,5,9,9,5
Human,Correctness,Syntax-Grounded,Qwen,5,9,9,5
Human,Understandability,Syntax-Grounded,Qwen,4,9,9,4
Human,Terminological alignment,Syntax-Grounded,Qwen,5,9,9,5
Human,Completeness,Baseline,DeepSeek,4,18,18,4
Human,Correctness,Baseline,DeepSeek,4,18,18,4
Human,Understandability,Baseline,DeepSeek,5,18,18,5
Human,Terminological alignment,Baseline,DeepSeek,5,18,18,5
Human,Completeness,Syntax-Grounded,DeepSeek,5,16,16,5
Human,Correctness,Syntax-Grounded,DeepSeek,5,16,16,5
Human,Understandability,Syntax-Grounded,DeepSeek,5,16,16,5
Human,Terminological alignment,Syntax-Grounded,DeepSeek,5,16,16,5
Human,Completeness,Baseline,LLaMA,4,7,7,4
Human,Correctness,Baseline,LLaMA,4,7,7,4
Human,Understandability,Baseline,LLaMA,5,7,7,5
Human,Terminological alignment,Baseline,LLaMA,4,7,7,4
Human,Completeness,Syntax-Grounded,Mistral,4.5,6,6,4.5
Human,Correctness,Syntax-Grounded,Mistral,4,6,6,4
Human,Understandability,Syntax-Grounded,Mistral,4.5,6,6,4.5
Human,Terminological alignment,Syntax-Grounded,Mistral,5,6,6,5
Human,Completeness,Syntax-Grounded,LLaMA,5,8,8,5
Human,Correctness,Syntax-Grounded,LLaMA,4,8,8,4
Human,Understandability,Syntax-Grounded,LLaMA,4,8,8,4
Human,Terminological alignment,Syntax-Grounded,LLaMA,5,8,8,5
Human,Completeness,Baseline,Mistral,4,4,4,4
Human,Correctness,Baseline,Mistral,4,4,4,4
Human,Understandability,Baseline,Mistral,4.5,4,4,4.5
Human,Terminological alignment,Baseline,Mistral,5,4,4,5
