llm_name,method_name,case_id,candidate_path,ground_truth_path,embedding_model,similarity_threshold,relaxed_similarity_threshold,ground_truth_states,candidate_states,matched_state_pairs,missing_ground_truth_states,extra_candidate_states,ground_truth_state_count,candidate_state_count,matched_state_count,missing_state_count,extra_state_count,semantic_state_precision,semantic_state_recall,semantic_state_f1
DeepSeek_R1_14B,baseline_repair,case_01_healthcare_portal,results/plantuml_pipeline_run2/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]",[],[],"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]",[],12,0,0,12,0,0.0,0.0,0.0
Llama_3.1_8B,baseline_repair,case_01_healthcare_portal,results/plantuml_pipeline_run2/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Facilities"",""Cash Payment Details"",""Health Information"",""Insurance-Based Payments"",""Login"",""Logout"",""News and Expert Content"",""Payment Process"",""Registration"",""User Feedback""]","[{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.85144,""match_type"":""strict""},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""News and Expert Content"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news and expert content"",""similarity"":0.844819,""match_type"":""strict""},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333,""match_type"":""strict""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Finance"",""Symptoms checker""]","[""Access Facilities"",""Cash Payment Details"",""Health Information"",""Insurance-Based Payments""]",12,10,6,6,4,0.6,0.5,0.545455
Mistral,baseline_repair,case_01_healthcare_portal,results/plantuml_pipeline_run2/runs/open_source__mistral__rag_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]",[],[],"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]",[],12,0,0,12,0,0.0,0.0,0.0
Qwen_2.5_7B,baseline_repair,case_01_healthcare_portal,results/plantuml_pipeline_run2/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashDetails"",""FacilityAccess"",""FeedbackCollection"",""InsurancePayment"",""InsuranceProcessing"",""Login"",""Logout"",""NewsAndContent"",""PaymentSelection"",""Registration"",""SessionContinuation"",""SymptomChecker""]","[{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""SymptomChecker"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""symptoms checker"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""News and Experts"",""Payment""]","[""CashDetails"",""FacilityAccess"",""FeedbackCollection"",""InsurancePayment"",""InsuranceProcessing"",""NewsAndContent"",""PaymentSelection"",""SessionContinuation""]",12,12,4,8,8,0.333333,0.333333,0.333333
DeepSeek_R1_14B,baseline_repair,case_02_inventory,results/plantuml_pipeline_run2/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_02_inventory/run_01.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""End"",""Start""]",[],"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""End"",""Start""]",16,2,0,16,2,0.0,0.0,0.0
Llama_3.1_8B,baseline_repair,case_02_inventory,results/plantuml_pipeline_run2/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_02_inventory/run_01.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""Add Goods"",""Calculate Discount Tax"",""Cancel Receipt"",""Remove Goods"",""Remove Item"",""Identify Expired"",""Initial"",""Notify User"",""Place Order"",""Record Requests"",""Replace Item"",""Generate Receipt"",""Search Items"",""Select Items"",""Update database"",""Update Inventory"",""Update Price"",""View Summary Report""]","[{""ground_truth_state"":""Add Goods"",""candidate_state"":""Add Goods"",""ground_truth_normalized"":""add goods"",""candidate_normalized"":""add goods"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Cancel Receipt"",""candidate_state"":""Cancel Receipt"",""ground_truth_normalized"":""cancel receipt"",""candidate_normalized"":""cancel receipt"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Remove Goods"",""candidate_state"":""Remove Goods"",""ground_truth_normalized"":""delete goods"",""candidate_normalized"":""delete goods"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Place Order"",""candidate_state"":""Place Order"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""place order"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Replace Item"",""candidate_state"":""Replace Item"",""ground_truth_normalized"":""replace item"",""candidate_normalized"":""replace item"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Search Item"",""candidate_state"":""Search Items"",""ground_truth_normalized"":""search item"",""candidate_normalized"":""search items"",""similarity"":0.946636,""match_type"":""strict""},{""ground_truth_state"":""View Summary Report"",""candidate_state"":""View Summary Report"",""ground_truth_normalized"":""view summary report"",""candidate_normalized"":""view summary report"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Authentication Login"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Receipt Generation"",""Tax Generation""]","[""Calculate Discount Tax"",""Remove Item"",""Identify Expired"",""Initial"",""Notify User"",""Record Requests"",""Generate Receipt"",""Select Items"",""Update database"",""Update Inventory"",""Update Price""]",16,18,7,9,11,0.388889,0.4375,0.411765
Mistral,baseline_repair,case_02_inventory,results/plantuml_pipeline_run2/runs/open_source__mistral__rag_validation_generator_critic_repair/case_02_inventory/run_01.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""CustomerDashboard"",""CustomerRegistration"",""InventoryManagement"",""OrderManagement"",""PaymentProcessing""]","[{""ground_truth_state"":""Dashboard"",""candidate_state"":""CustomerDashboard"",""ground_truth_normalized"":""dashboard"",""candidate_normalized"":""customer dashboard"",""similarity"":0.804349,""match_type"":""strict""}]","[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""CustomerRegistration"",""InventoryManagement"",""OrderManagement"",""PaymentProcessing""]",16,5,1,15,4,0.2,0.0625,0.095238
Qwen_2.5_7B,baseline_repair,case_02_inventory,results/plantuml_pipeline_run2/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair/case_02_inventory/run_01.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""CustomerRegistration"",""InventoryManagement"",""OrderPlacement"",""Reporting""]","[{""ground_truth_state"":""Place Order"",""candidate_state"":""OrderPlacement"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""order placement"",""similarity"":0.814727,""match_type"":""strict""}]","[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""CustomerRegistration"",""InventoryManagement"",""Reporting""]",16,4,1,15,3,0.25,0.0625,0.1
DeepSeek_R1_14B,baseline_repair,case_12_business_process_outsourcing_bpo_management_system_2,results/plantuml_pipeline_run2/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""search and display"",""Search users"",""Choose category"",""Choose rate range""]","[""Initial"",""SearchByCategory"",""SearchByPriceRange"",""DisplayMatchingUsers""]",[],"[""search and display"",""Search users"",""Choose category"",""Choose rate range""]","[""Initial"",""SearchByCategory"",""SearchByPriceRange"",""DisplayMatchingUsers""]",4,4,0,4,4,0.0,0.0,0.0
Llama_3.1_8B,baseline_repair,case_12_business_process_outsourcing_bpo_management_system_2,results/plantuml_pipeline_run2/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml,dataset/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,,"[""search and display"",""Search users"",""Choose category"",""Choose rate range""]","[""Filter Selection"",""Search Results""]",[],"[""search and display"",""Search users"",""Choose category"",""Choose rate range""]","[""Filter Selection"",""Search Results""]",4,2,0,4,2,0.0,0.0,0.0
