case_id,candidate_count,human_best_candidate_ids,human_best_models,human_best_methods,human_best_score,human_best_tie_count,ensemble_selected_candidate_id,ensemble_selected_model,ensemble_selected_method,ensemble_selected_human_score,human_score_gap_from_best,ensemble_matches_human_best_id,ensemble_matches_human_best_content,selection_method,fallback_used,selected_state_f1
case_01_healthcare_portal,4,"[""valid_002""]","[""Qwen_2.5_7B""]","[""syntax_grounded_repair""]",4.750000,1,valid_001,Qwen_2.5_7B,baseline_repair,3.875000,0.875000,false,false,judge_ranking_fallback,true,0.740741
case_02_inventory,3,"[""valid_006""]","[""DeepSeek_R1_14B""]","[""syntax_grounded_repair""]",5.000000,1,valid_005,DeepSeek_R1_14B,baseline_repair,3.875000,1.125000,false,false,judge_ranking_fallback,true,0.689655
case_12_business_process_outsourcing_bpo_management_system_2,4,"[""valid_008""]","[""Qwen_2.5_7B""]","[""syntax_grounded_repair""]",5.000000,1,valid_008,Qwen_2.5_7B,syntax_grounded_repair,5.000000,0.000000,true,true,judge_ranking_fallback,true,0.750000
case_15_e_ticketing_for_bus,2,"[""valid_013""]","[""DeepSeek_R1_14B""]","[""syntax_grounded_repair""]",5.000000,1,valid_012,DeepSeek_R1_14B,baseline_repair,4.375000,0.625000,false,false,meta_llm,false,0.700000
case_16_weather_monitoring_system,4,"[""valid_015""]","[""Mistral""]","[""syntax_grounded_repair""]",4.500000,1,valid_015,Mistral,syntax_grounded_repair,4.500000,0.000000,true,true,judge_ranking_fallback,true,0.307692
case_18_digidoclocker,3,"[""valid_019"",""valid_020""]","[""Llama_3.1_8B"",""Llama_3.1_8B""]","[""baseline_repair"",""syntax_grounded_repair""]",4.125000,2,valid_020,Llama_3.1_8B,syntax_grounded_repair,4.125000,0.000000,true,true,judge_ranking_fallback,true,0.823529
case_28_ott_based_system_mini_reel,3,"[""valid_022""]","[""DeepSeek_R1_14B""]","[""syntax_grounded_repair""]",4.750000,1,valid_023,Llama_3.1_8B,syntax_grounded_repair,3.750000,1.000000,false,false,judge_ranking_fallback,true,0.285714
case_32_e_visa_processing_and_follow_up_system,4,"[""valid_027""]","[""DeepSeek_R1_14B""]","[""syntax_grounded_repair""]",4.750000,1,valid_027,DeepSeek_R1_14B,syntax_grounded_repair,4.750000,0.000000,true,true,judge_ranking_fallback,true,0.400000
case_33_farm_management_system,3,"[""valid_030""]","[""Llama_3.1_8B""]","[""syntax_grounded_repair""]",4.250000,1,valid_028,Mistral,baseline_repair,3.750000,0.500000,false,false,judge_ranking_fallback,true,0.615385
case_34_green_rides,4,"[""valid_031""]","[""Qwen_2.5_7B""]","[""syntax_grounded_repair""]",5.000000,1,valid_031,Qwen_2.5_7B,syntax_grounded_repair,5.000000,0.000000,true,true,judge_ranking_fallback,true,0.428571
case_37_online_quiz_system,4,"[""valid_038""]","[""DeepSeek_R1_14B""]","[""syntax_grounded_repair""]",4.750000,1,valid_037,DeepSeek_R1_14B,baseline_repair,4.000000,0.750000,false,false,judge_ranking_fallback,true,0.714286
case_39_website_development,5,"[""valid_039"",""valid_042""]","[""Qwen_2.5_7B"",""DeepSeek_R1_14B""]","[""syntax_grounded_repair"",""syntax_grounded_repair""]",5.000000,2,valid_040,Mistral,syntax_grounded_repair,4.000000,1.000000,false,false,judge_ranking_fallback,true,0.571429
case_41_video_suggestion_system,4,"[""valid_047""]","[""Llama_3.1_8B""]","[""syntax_grounded_repair""]",4.500000,1,valid_046,Llama_3.1_8B,baseline_repair,4.250000,0.250000,false,false,judge_ranking_fallback,true,0.500000
case_45_alarm_clock,3,"[""valid_049""]","[""Llama_3.1_8B""]","[""baseline_repair""]",4.625000,1,valid_049,Llama_3.1_8B,baseline_repair,4.625000,0.000000,true,true,judge_ranking_fallback,true,0.000000
