case_name,llm_name,old_name,new_name,source_path
case_01_healthcare_portal,Qwen 2.5 7B Instruct,diagram_A.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_01_healthcare_portal/run_01.puml
case_01_healthcare_portal,Qwen 2.5 7B Instruct,diagram_A.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_01_healthcare_portal/run_01.puml
case_02_inventory,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_02_inventory/diagram.puml
case_02_inventory,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_02_inventory/diagram.puml
case_12_business_process_outsourcing_bpo_management_system_2,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml
case_12_business_process_outsourcing_bpo_management_system_2,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml
case_12_business_process_outsourcing_bpo_management_system_2,Qwen 2.5 7B Instruct,diagram_B.png,Qwen_2.5_7B__syntax_grounded_repair.png,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml
case_12_business_process_outsourcing_bpo_management_system_2,Qwen 2.5 7B Instruct,diagram_B.puml,Qwen_2.5_7B__syntax_grounded_repair.puml,results/plantuml_pipeline/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml
case_15_e_ticketing_for_bus,DeepSeek R1 14B,diagram_A.png,DeepSeek_R1_14B__syntax_grounded_repair.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_15_e_ticketing_for_bus/diagram.puml
case_15_e_ticketing_for_bus,DeepSeek R1 14B,diagram_A.puml,DeepSeek_R1_14B__syntax_grounded_repair.puml,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_15_e_ticketing_for_bus/diagram.puml
