llm_name,method_name,case_id,candidate_path,ground_truth_path,embedding_model,similarity_threshold,relaxed_similarity_threshold,ground_truth_states,candidate_states,matched_state_pairs,missing_ground_truth_states,extra_candidate_states,ground_truth_state_count,candidate_state_count,matched_state_count,missing_state_count,extra_state_count,semantic_state_precision,semantic_state_recall,semantic_state_f1
DeepSeek_R1_14B,baseline_repair,case_01_healthcare_portal,final_results/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""AccessDenied"",""SignIn"",""Logout"",""MainMenu"",""Registration""]","[{""ground_truth_state"":""Login"",""candidate_state"":""SignIn"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""News and Experts"",""Payment"",""Symptoms checker""]","[""AccessDenied"",""MainMenu""]",12,5,3,9,2,0.6,0.25,0.352941
DeepSeek_R1_14B,few_shot,case_01_healthcare_portal,final_results/runs/open_source__deepseek_r1_14b__few_shot/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashPayment"",""HealthInfo"",""Idle"",""InsurancePayment"",""InvalidLogin"",""InvalidRegister"",""Login"",""MainMenu"",""PaymentSelection"",""ProcessInsurance"",""ReadContent"",""Register"",""ViewResult""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""CashPayment"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Payment"",""candidate_state"":""PaymentSelection"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment selection"",""similarity"":0.70913,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Register"",""candidate_state"":""Register"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Logout"",""News and Experts"",""Symptoms checker""]","[""HealthInfo"",""Idle"",""InsurancePayment"",""InvalidLogin"",""InvalidRegister"",""MainMenu"",""ProcessInsurance"",""ReadContent"",""ViewResult""]",12,13,4,8,9,0.307692,0.333333,0.32
DeepSeek_R1_14B,syntax_grounded_repair,case_01_healthcare_portal,final_results/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashPayment"",""HealthInfo"",""Idle"",""InsurancePayment"",""InvalidLogin"",""InvalidRegister"",""Login"",""Logout"",""MainMenu"",""PaymentSelection"",""ProcessInsurance"",""ReadContent"",""Register"",""ViewResult""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""CashPayment"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Payment"",""candidate_state"":""PaymentSelection"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment selection"",""similarity"":0.70913,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Register"",""candidate_state"":""Register"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""News and Experts"",""Symptoms checker""]","[""HealthInfo"",""Idle"",""InsurancePayment"",""InvalidLogin"",""InvalidRegister"",""MainMenu"",""ProcessInsurance"",""ReadContent"",""ViewResult""]",12,14,5,7,9,0.357143,0.416667,0.384615
Llama_3.1_8B,baseline_repair,case_01_healthcare_portal,final_results/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Denied"",""Cash Payment Details"",""Check Symptoms"",""Failed Registration"",""Fitness Checking"",""Insurance Payment Process"",""Signed In"",""Logged Out"",""Read News"",""Payment Process"",""Registration"",""Select Payment Method"",""User Feedback"",""View Facilities"",""View Result""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""Cash Payment Details"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash payment details"",""similarity"":0.58581,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Check fitness"",""candidate_state"":""Fitness Checking"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness checking"",""similarity"":0.883875,""match_type"":""strict""},{""ground_truth_state"":""Facilities"",""candidate_state"":""View Facilities"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""view facilities"",""similarity"":0.664028,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.85144,""match_type"":""strict""},{""ground_truth_state"":""Login"",""candidate_state"":""Signed In"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logged Out"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""Read News"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news and experts"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333,""match_type"":""strict""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""Check Symptoms"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""check symptoms"",""similarity"":0.830393,""match_type"":""strict""}]","[""Apply"",""Finance""]","[""Access Denied"",""Failed Registration"",""Insurance Payment Process"",""Select Payment Method"",""View Result""]",12,15,10,2,5,0.666667,0.833333,0.740741
Llama_3.1_8B,few_shot,case_01_healthcare_portal,final_results/runs/open_source__llama31_8b_instruct__few_shot/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Denied"",""Cash Payment Details"",""Check Symptoms"",""Failed Registration"",""Fitness Checking"",""Insurance Payment Process"",""Signed In"",""Logged Out"",""Read News"",""Payment Process"",""Registration"",""Select Payment Method"",""User Feedback"",""View Facilities"",""View Result""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""Cash Payment Details"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash payment details"",""similarity"":0.58581,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Check fitness"",""candidate_state"":""Fitness Checking"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness checking"",""similarity"":0.883875,""match_type"":""strict""},{""ground_truth_state"":""Facilities"",""candidate_state"":""View Facilities"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""view facilities"",""similarity"":0.664028,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.85144,""match_type"":""strict""},{""ground_truth_state"":""Login"",""candidate_state"":""Signed In"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logged Out"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""Read News"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news and experts"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333,""match_type"":""strict""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""Check Symptoms"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""check symptoms"",""similarity"":0.830393,""match_type"":""strict""}]","[""Apply"",""Finance""]","[""Access Denied"",""Failed Registration"",""Insurance Payment Process"",""Select Payment Method"",""View Result""]",12,15,10,2,5,0.666667,0.833333,0.740741
Llama_3.1_8B,syntax_grounded_repair,case_01_healthcare_portal,final_results/runs/open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Denied"",""Cash Payment Details"",""Check Symptoms"",""Failed Registration"",""Fitness Checking"",""Insurance Payment Process"",""Signed In"",""Logged Out"",""Read News"",""Payment Process"",""Registration"",""Select Payment Method"",""User Feedback"",""View Facilities"",""View Result""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""Cash Payment Details"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash payment details"",""similarity"":0.58581,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Check fitness"",""candidate_state"":""Fitness Checking"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness checking"",""similarity"":0.883875,""match_type"":""strict""},{""ground_truth_state"":""Facilities"",""candidate_state"":""View Facilities"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""view facilities"",""similarity"":0.664028,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.85144,""match_type"":""strict""},{""ground_truth_state"":""Login"",""candidate_state"":""Signed In"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logged Out"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""Read News"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news and experts"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333,""match_type"":""strict""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""Check Symptoms"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""check symptoms"",""similarity"":0.830393,""match_type"":""strict""}]","[""Apply"",""Finance""]","[""Access Denied"",""Failed Registration"",""Insurance Payment Process"",""Select Payment Method"",""View Result""]",12,15,10,2,5,0.666667,0.833333,0.740741
Mistral,baseline_repair,case_01_healthcare_portal,final_results/runs/open_source__mistral__rag_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Entering Damaged parts list"",""Expiry Notification page"",""Logout"",""Service center Home"",""Service Center Login"",""Service Center Registration"",""Service Center Verification"",""ServiceJoin""]","[{""ground_truth_state"":""Login"",""candidate_state"":""Service Center Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""service center login"",""similarity"":0.568285,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Register"",""candidate_state"":""Service Center Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""service center registration"",""similarity"":0.668916,""match_type"":""relaxed_lexical""}]","[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""News and Experts"",""Payment"",""Symptoms checker""]","[""Entering Damaged parts list"",""Expiry Notification page"",""Service center Home"",""Service Center Verification"",""ServiceJoin""]",12,8,3,9,5,0.375,0.25,0.3
Mistral,rag,case_01_healthcare_portal,final_results/runs/open_source__mistral__rag/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CarOwnerRegistration"",""Entering Damaged parts list"",""Expiry Notification page"",""Logout"",""Service center Home"",""Service Center Login"",""Service Center Registration"",""Service Center Verification"",""Updating parts Information""]","[{""ground_truth_state"":""Login"",""candidate_state"":""Service Center Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""service center login"",""similarity"":0.568285,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Register"",""candidate_state"":""Service Center Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""service center registration"",""similarity"":0.668916,""match_type"":""relaxed_lexical""}]","[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""News and Experts"",""Payment"",""Symptoms checker""]","[""CarOwnerRegistration"",""Entering Damaged parts list"",""Expiry Notification page"",""Service center Home"",""Service Center Verification"",""Updating parts Information""]",12,9,3,9,6,0.333333,0.25,0.285714
Mistral,syntax_grounded_repair,case_01_healthcare_portal,final_results/runs/open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashPayment"",""CheckResult"",""ContinueSession"",""FeedbackSubmitted"",""InsurancePayment"",""LoginFailed"",""LoginSuccess"",""PaymentCompleted"",""RegistrationSuccess""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""CashPayment"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Feedback"",""candidate_state"":""FeedbackSubmitted"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""feedback submit"",""similarity"":0.813348,""match_type"":""strict""},{""ground_truth_state"":""Login"",""candidate_state"":""LoginSuccess"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login success"",""similarity"":0.737062,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Logout"",""candidate_state"":""ContinueSession"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""continue session"",""similarity"":0.523317,""match_type"":""relaxed""},{""ground_truth_state"":""Payment"",""candidate_state"":""PaymentCompleted"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment completed"",""similarity"":0.800125,""match_type"":""strict""},{""ground_truth_state"":""Register"",""candidate_state"":""RegistrationSuccess"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration success"",""similarity"":0.808504,""match_type"":""strict""}]","[""Apply"",""Check fitness"",""Facilities"",""Finance"",""News and Experts"",""Symptoms checker""]","[""CheckResult"",""InsurancePayment"",""LoginFailed""]",12,9,6,6,3,0.666667,0.5,0.571429
Qwen_2.5_7B,baseline_repair,case_01_healthcare_portal,final_results/runs/open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashPayment"",""Dashboard"",""DoctorConsultation"",""Facilities"",""Feedback"",""FinishSession"",""FitnessCheck"",""InsurancePayment"",""Login"",""Logout"",""News"",""Payment"",""PaymentComplete"",""Register"",""SymptomCheck""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""CashPayment"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Check fitness"",""candidate_state"":""FitnessCheck"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness check"",""similarity"":0.909404,""match_type"":""strict""},{""ground_truth_state"":""Facilities"",""candidate_state"":""Facilities"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""facilities"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Feedback"",""candidate_state"":""Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""feedback"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""News"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news and experts"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Register"",""candidate_state"":""Register"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""SymptomCheck"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""symptoms checker"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Finance""]","[""Dashboard"",""DoctorConsultation"",""FinishSession"",""InsurancePayment"",""PaymentComplete""]",12,15,10,2,5,0.666667,0.833333,0.740741
