llm_used,criterion,score,count,percent,n
DeepSeek R1 14B,completeness,1,5,7.9365,63
DeepSeek R1 14B,completeness,2,5,7.9365,63
DeepSeek R1 14B,completeness,3,10,15.873,63
DeepSeek R1 14B,completeness,4,22,34.9206,63
DeepSeek R1 14B,completeness,5,21,33.3333,63
DeepSeek R1 14B,correctness,1,3,4.7619,63
DeepSeek R1 14B,correctness,2,3,4.7619,63
DeepSeek R1 14B,correctness,3,15,23.8095,63
DeepSeek R1 14B,correctness,4,18,28.5714,63
DeepSeek R1 14B,correctness,5,24,38.0952,63
DeepSeek R1 14B,understandability,1,3,4.7619,63
DeepSeek R1 14B,understandability,2,4,6.3492,63
DeepSeek R1 14B,understandability,3,8,12.6984,63
DeepSeek R1 14B,understandability,4,9,14.2857,63
DeepSeek R1 14B,understandability,5,39,61.9048,63
DeepSeek R1 14B,terminology_alignment,1,2,3.1746,63
DeepSeek R1 14B,terminology_alignment,2,0,0.0,63
DeepSeek R1 14B,terminology_alignment,3,5,7.9365,63
DeepSeek R1 14B,terminology_alignment,4,17,26.9841,63
DeepSeek R1 14B,terminology_alignment,5,39,61.9048,63
Llama 3.1 8B Instruct,completeness,1,2,3.8462,52
Llama 3.1 8B Instruct,completeness,2,6,11.5385,52
Llama 3.1 8B Instruct,completeness,3,19,36.5385,52
Llama 3.1 8B Instruct,completeness,4,12,23.0769,52
Llama 3.1 8B Instruct,completeness,5,13,25.0,52
Llama 3.1 8B Instruct,correctness,1,4,7.6923,52
Llama 3.1 8B Instruct,correctness,2,6,11.5385,52
Llama 3.1 8B Instruct,correctness,3,17,32.6923,52
Llama 3.1 8B Instruct,correctness,4,14,26.9231,52
Llama 3.1 8B Instruct,correctness,5,11,21.1538,52
Llama 3.1 8B Instruct,understandability,1,2,3.8462,52
Llama 3.1 8B Instruct,understandability,2,2,3.8462,52
Llama 3.1 8B Instruct,understandability,3,4,7.6923,52
Llama 3.1 8B Instruct,understandability,4,12,23.0769,52
Llama 3.1 8B Instruct,understandability,5,32,61.5385,52
Llama 3.1 8B Instruct,terminology_alignment,1,0,0.0,52
Llama 3.1 8B Instruct,terminology_alignment,2,2,3.8462,52
Llama 3.1 8B Instruct,terminology_alignment,3,9,17.3077,52
Llama 3.1 8B Instruct,terminology_alignment,4,13,25.0,52
Llama 3.1 8B Instruct,terminology_alignment,5,28,53.8462,52
Mistral,completeness,1,0,0.0,23
Mistral,completeness,2,1,4.3478,23
Mistral,completeness,3,6,26.087,23
Mistral,completeness,4,6,26.087,23
Mistral,completeness,5,10,43.4783,23
Mistral,correctness,1,0,0.0,23
Mistral,correctness,2,2,8.6957,23
Mistral,correctness,3,6,26.087,23
Mistral,correctness,4,7,30.4348,23
Mistral,correctness,5,8,34.7826,23
Mistral,understandability,1,0,0.0,23
Mistral,understandability,2,1,4.3478,23
Mistral,understandability,3,1,4.3478,23
Mistral,understandability,4,7,30.4348,23
Mistral,understandability,5,14,60.8696,23
Mistral,terminology_alignment,1,0,0.0,23
Mistral,terminology_alignment,2,0,0.0,23
Mistral,terminology_alignment,3,4,17.3913,23
Mistral,terminology_alignment,4,7,30.4348,23
Mistral,terminology_alignment,5,12,52.1739,23
Qwen 2.5 7B Instruct,completeness,1,1,3.5714,28
Qwen 2.5 7B Instruct,completeness,2,1,3.5714,28
Qwen 2.5 7B Instruct,completeness,3,11,39.2857,28
Qwen 2.5 7B Instruct,completeness,4,10,35.7143,28
Qwen 2.5 7B Instruct,completeness,5,5,17.8571,28
Qwen 2.5 7B Instruct,correctness,1,1,3.5714,28
Qwen 2.5 7B Instruct,correctness,2,5,17.8571,28
Qwen 2.5 7B Instruct,correctness,3,5,17.8571,28
Qwen 2.5 7B Instruct,correctness,4,11,39.2857,28
Qwen 2.5 7B Instruct,correctness,5,6,21.4286,28
Qwen 2.5 7B Instruct,understandability,1,1,3.5714,28
Qwen 2.5 7B Instruct,understandability,2,5,17.8571,28
Qwen 2.5 7B Instruct,understandability,3,9,32.1429,28
Qwen 2.5 7B Instruct,understandability,4,2,7.1429,28
Qwen 2.5 7B Instruct,understandability,5,11,39.2857,28
Qwen 2.5 7B Instruct,terminology_alignment,1,2,7.1429,28
Qwen 2.5 7B Instruct,terminology_alignment,2,3,10.7143,28
Qwen 2.5 7B Instruct,terminology_alignment,3,7,25.0,28
Qwen 2.5 7B Instruct,terminology_alignment,4,5,17.8571,28
Qwen 2.5 7B Instruct,terminology_alignment,5,11,39.2857,28
