diagram_id,case_id,criterion,human_score,human_mean_score,human_rating_count,deepseek_score,llama_score,prometheus_score,generator_model,repair_strategy
diagram_1deca7034b19,case_01_healthcare_portal,completeness,5,4.5000,2,4,4,4,Qwen_2.5_7B,baseline_repair
diagram_1deca7034b19,case_01_healthcare_portal,correctness,4,3.5000,2,5,3,5,Qwen_2.5_7B,baseline_repair
diagram_1deca7034b19,case_01_healthcare_portal,understandability,4,3.5000,2,4,5,4,Qwen_2.5_7B,baseline_repair
diagram_1deca7034b19,case_01_healthcare_portal,terminological_alignment,4,4.0000,2,5,4,4,Qwen_2.5_7B,baseline_repair
diagram_6edb38062916,case_01_healthcare_portal,completeness,5,5.0000,1,4,4,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_6edb38062916,case_01_healthcare_portal,correctness,5,5.0000,1,3,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_6edb38062916,case_01_healthcare_portal,understandability,4,4.0000,1,5,5,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_6edb38062916,case_01_healthcare_portal,terminological_alignment,5,5.0000,1,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_4df9e5c58a70,case_01_healthcare_portal,completeness,5,5.0000,2,2,3,3,DeepSeek_R1_14B,baseline_repair
diagram_4df9e5c58a70,case_01_healthcare_portal,correctness,4,4.0000,2,3,2,2,DeepSeek_R1_14B,baseline_repair
diagram_4df9e5c58a70,case_01_healthcare_portal,understandability,4,3.5000,2,4,4,2,DeepSeek_R1_14B,baseline_repair
diagram_4df9e5c58a70,case_01_healthcare_portal,terminological_alignment,4,4.0000,2,5,5,2,DeepSeek_R1_14B,baseline_repair
diagram_7d420e50cbd2,case_01_healthcare_portal,completeness,4,3.5000,2,4,4,5,Llama_3.1_8B,few_shot
diagram_7d420e50cbd2,case_01_healthcare_portal,correctness,3,3.0000,2,3,2,4,Llama_3.1_8B,few_shot
diagram_7d420e50cbd2,case_01_healthcare_portal,understandability,5,4.5000,2,4,3,4,Llama_3.1_8B,few_shot
diagram_7d420e50cbd2,case_01_healthcare_portal,terminological_alignment,4,3.5000,2,4,5,4,Llama_3.1_8B,few_shot
diagram_2da60ff8d47f,case_02_inventory,completeness,4,4.0000,2,5,4,3,DeepSeek_R1_14B,baseline_repair
diagram_2da60ff8d47f,case_02_inventory,correctness,4,3.5000,2,5,2,4,DeepSeek_R1_14B,baseline_repair
diagram_2da60ff8d47f,case_02_inventory,understandability,4,4.0000,2,5,5,3,DeepSeek_R1_14B,baseline_repair
diagram_2da60ff8d47f,case_02_inventory,terminological_alignment,4,4.0000,2,5,4,5,DeepSeek_R1_14B,baseline_repair
diagram_3762ee8a314d,case_02_inventory,completeness,5,5.0000,1,3,4,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_3762ee8a314d,case_02_inventory,correctness,5,5.0000,1,4,1,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_3762ee8a314d,case_02_inventory,understandability,5,5.0000,1,2,5,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_3762ee8a314d,case_02_inventory,terminological_alignment,5,5.0000,1,5,4,,DeepSeek_R1_14B,syntax_grounded_repair
