criterion,case_number,diagram_number,original_diagram_name,evaluator_1_id,evaluator_2_id,score_1,score_2,absolute_difference
completeness,18.0,B,deepseek_r1_14b__rag__run_01.png,15.0,23.0,5.0,2.0,3.0
completeness,28.0,B,llama_3_1_8b_instruct__rag__run_01.png,15.0,1.0,5.0,2.0,3.0
completeness,39.0,A,deepseek_r1_14b__rag__run_01.png,6.0,23.0,1.0,5.0,4.0
completeness,75.0,C,llama_3_1_8b_instruct__one_shot__run_01.png,8.0,9.0,5.0,3.0,2.0
completeness,41.0,A,mistral__rag__run_01.png,11.0,14.0,2.0,5.0,3.0
completeness,60.0,B,mistral__rag__run_01.png,11.0,14.0,3.0,5.0,2.0
completeness,2.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,20.0,22.0,3.0,5.0,2.0
completeness,2.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,20.0,22.0,3.0,5.0,2.0
completeness,15.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,20.0,22.0,2.0,4.0,2.0
completeness,16.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,19.0,18.0,1.0,5.0,4.0
completeness,18.0,A,llama_3_1_8b_instruct__few_shot_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
completeness,41.0,A,llama_3_1_8b_instruct__few_shot_repair__run_01.png,26.0,14.0,5.0,3.0,2.0
completeness,45.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,23.0,27.0,2.0,4.0,2.0
completeness,46.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,14.0,27.0,3.0,5.0,2.0
completeness,51.0,A,llama_3_1_8b_instruct__few_shot_repair__run_01.png,26.0,14.0,5.0,3.0,2.0
completeness,54.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,25.0,2.0,5.0,3.0,2.0
completeness,54.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,25.0,2.0,4.0,2.0,2.0
completeness,67.0,A,qwen25_7b_instruct__rag_repair__run_01.png,26.0,14.0,5.0,2.0,3.0
completeness,70.0,B,qwen25_7b_instruct__rag_repair__run_01.png,22.0,28.0,3.0,5.0,2.0
completeness,1.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,19.0,2.0,2.0,5.0,3.0
correctness,18.0,A,deepseek_r1_14b__few_shot__run_01.png,15.0,1.0,5.0,3.0,2.0
correctness,18.0,B,deepseek_r1_14b__rag__run_01.png,15.0,23.0,5.0,2.0,3.0
correctness,28.0,A,deepseek_r1_14b__one_shot__run_01.png,15.0,1.0,5.0,3.0,2.0
correctness,28.0,B,llama_3_1_8b_instruct__rag__run_01.png,15.0,1.0,3.0,1.0,2.0
correctness,37.0,A,llama_3_1_8b_instruct__rag__run_01.png,6.0,4.0,3.0,5.0,2.0
correctness,41.0,A,deepseek_r1_14b__rag__run_01.png,14.0,10.0,3.0,5.0,2.0
correctness,41.0,B,llama_3_1_8b_instruct__rag__run_01.png,10.0,23.0,2.0,5.0,3.0
correctness,47.0,A,llama_3_1_8b_instruct__few_shot__run_01.png,14.0,10.0,2.0,4.0,2.0
correctness,75.0,C,llama_3_1_8b_instruct__one_shot__run_01.png,8.0,9.0,5.0,3.0,2.0
correctness,41.0,A,mistral__rag__run_01.png,11.0,14.0,2.0,4.0,2.0
correctness,2.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,20.0,22.0,3.0,5.0,2.0
correctness,16.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,19.0,18.0,2.0,5.0,3.0
correctness,16.0,B,qwen25_7b_instruct__rag_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
correctness,18.0,A,llama_3_1_8b_instruct__few_shot_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
correctness,33.0,A,mistral__rag_repair__run_01.png,23.0,27.0,5.0,3.0,2.0
correctness,45.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,23.0,27.0,2.0,4.0,2.0
correctness,45.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,23.0,27.0,5.0,3.0,2.0
correctness,47.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,26.0,14.0,5.0,3.0,2.0
correctness,54.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,25.0,2.0,5.0,3.0,2.0
correctness,54.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,25.0,2.0,4.0,2.0,2.0
correctness,67.0,A,qwen25_7b_instruct__rag_repair__run_01.png,26.0,14.0,5.0,3.0,2.0
correctness,70.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,22.0,28.0,3.0,1.0,2.0
correctness,80.0,B,mistral__rag_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
correctness,1.0,B,qwen25_7b_instruct__rag_repair__run_01.png,19.0,2.0,4.0,2.0,2.0
understandability,16.0,A,llama_3_1_8b_instruct__one_shot__run_01.png,15.0,1.0,5.0,3.0,2.0
understandability,18.0,A,deepseek_r1_14b__few_shot__run_01.png,15.0,1.0,5.0,2.0,3.0
understandability,18.0,B,deepseek_r1_14b__rag__run_01.png,15.0,23.0,5.0,3.0,2.0
understandability,28.0,A,deepseek_r1_14b__one_shot__run_01.png,15.0,1.0,5.0,2.0,3.0
understandability,41.0,A,deepseek_r1_14b__rag__run_01.png,14.0,10.0,3.0,5.0,2.0
understandability,70.0,A,llama_3_1_8b_instruct__one_shot__run_01.png,8.0,9.0,5.0,2.0,3.0
understandability,75.0,B,llama_3_1_8b_instruct__few_shot__run_01.png,8.0,9.0,5.0,3.0,2.0
understandability,75.0,C,llama_3_1_8b_instruct__one_shot__run_01.png,8.0,9.0,5.0,3.0,2.0
understandability,2.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,20.0,22.0,5.0,3.0,2.0
understandability,18.0,A,llama_3_1_8b_instruct__few_shot_repair__run_01.png,19.0,18.0,3.0,5.0,2.0
understandability,33.0,A,mistral__rag_repair__run_01.png,23.0,27.0,2.0,4.0,2.0
