model,method,run_id,case_id,run_file,plantuml_valid,structural_valid,violation_count,violation_types,path
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_01_healthcare_portal,run_01.puml,True,False,7,missing_final_state;unreachable_states;orphan_states;invalid_choice_node;invalid_choice_guards;invalid_choice_guards;invalid_choice_guards,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_01_healthcare_portal/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_02_inventory,run_01.puml,True,False,1,missing_final_state,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_02_inventory/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_12_business_process_outsourcing_bpo_management_system_2,run_01.puml,True,False,1,invalid_choice_guards,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_15_e_ticketing_for_bus,run_01.puml,True,False,9,multiple_initial_states;duplicate_transitions;orphan_states;invalid_choice_guards;invalid_choice_node;invalid_choice_guards;invalid_choice_node;invalid_choice_guards;invalid_choice_guards,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_15_e_ticketing_for_bus/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_16_weather_monitoring_system,run_01.puml,False,False,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_16_weather_monitoring_system/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_18_digidoclocker,run_01.puml,True,True,0,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_18_digidoclocker/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_28_ott_based_system_mini_reel,run_01.puml,True,False,3,missing_initial_state;missing_final_state;invalid_choice_guards,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_28_ott_based_system_mini_reel/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_32_e_visa_processing_and_follow_up_system,run_01.puml,True,False,3,multiple_initial_states;orphan_states;invalid_choice_guards,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_32_e_visa_processing_and_follow_up_system/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_33_farm_management_system,run_01.puml,False,False,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_33_farm_management_system/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_34_green_rides,run_01.puml,True,False,3,missing_initial_state;missing_final_state;orphan_states,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_34_green_rides/run_01.puml
DeepSeek R1 14B,RAG,open_source__deepseek_r1_14b__rag,case_37_online_quiz_system,run_01.puml,True,False,1,multiple_initial_states,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__rag/case_37_online_quiz_system/run_01.puml
