excel_row,evaluator_id,original_evaluator_id,case_number,diagram_number,assigned_folder,reason,evaluator_14_response_number,evaluator_23_last5,normalized_from
2,14,14.0,41.0,A,Evaluation,evaluator 14 first 7 responses,1,no,
3,14,14.0,14.0,B,Evaluation,evaluator 14 first 7 responses,2,no,
4,14,14.0,41.0,C,Evaluation,evaluator 14 first 7 responses,3,no,
5,14,14.0,45.0,A,Evaluation,evaluator 14 first 7 responses,4,no,
6,14,14.0,45.0,B,Evaluation,evaluator 14 first 7 responses,5,no,
7,14,14.0,47.0,A,Evaluation,evaluator 14 first 7 responses,6,no,
8,14,14.0,47.0,B,Evaluation,evaluator 14 first 7 responses,7,no,
9,20,20.0,2.0,A,Evaluation C,evaluator 2 or 18-28,,no,
10,20,20.0,2.0,B,Evaluation C,evaluator 2 or 18-28,,no,
11,20,20.0,15.0,A,Evaluation C,evaluator 2 or 18-28,,no,
12,6,06,33.0,E,Evaluation,all other response,,no,
13,6,06,34.0,A,Evaluation,all other response,,no,
14,7,07,54.0,A,Evaluation,all other response,,no,
15,7,07,59.0,A,Evaluation,all other response,,no,
16,7,07,67.0,A,Evaluation,all other response,,no,
17,8,08,75.0,A,Evaluation,all other response,,no,
18,8,08,75.0,B,Evaluation,all other response,,no,
19,8,08,75.0,C,Evaluation,all other response,,no,
20,8,08,75.0,D,Evaluation,all other response,,no,
21,10,10.0,41.0,A,Evaluation,all other response,,no,
22,10,10.0,41.0,B,Evaluation,all other response,,no,
23,10,10.0,41.0,C,Evaluation,all other response,,no,
24,10,10.0,45.0,A,Evaluation,all other response,,no,
25,10,10.0,45.0,B,Evaluation,all other response,,no,
26,10,10.0,47.0,A,Evaluation,all other response,,no,
27,10,10.0,47.0,B,Evaluation,all other response,,no,
28,7,07,60.0,A,Evaluation,all other response,,no,
29,7,07,60.0,B,Evaluation,all other response,,no,
30,5,5.0,54.0,A,Evaluation,all other response,,no,
31,5,5.0,59.0,A,Evaluation,all other response,,no,
32,7,07,60.0,C,Evaluation,all other response,,no,
33,5,5.0,67.0,A,Evaluation,all other response,,no,
34,8,08,70.0,A,Evaluation,all other response,,no,
35,7,07,60.0,D,Evaluation,all other response,,no,
36,5,5.0,60.0,A,Evaluation,all other response,,no,
37,5,5.0,60.0,B,Evaluation,all other response,,no,
38,5,5.0,60.0,C,Evaluation,all other response,,no,
39,5,5.0,60.0,D,Evaluation,all other response,,no,
40,8,08,65.0,A,Evaluation,all other response,,no,
41,8,08,65.0,B,Evaluation,all other response,,no,
42,9,9.0,65.0,A,Evaluation,all other response,,no,
43,9,9.0,65.0,B,Evaluation,all other response,,no,
44,9,9.0,70.0,A,Evaluation,all other response,,no,
45,9,9.0,75.0,A,Evaluation,all other response,,no,
46,9,9.0,75.0,B,Evaluation,all other response,,no,
47,9,9.0,75.0,C,Evaluation,all other response,,no,
48,11,11.0,51.0,A,Evaluation B,evaluator 11,,no,
49,9,9.0,75.0,D,Evaluation,all other response,,no,
50,11,11.0,41.0,A,Evaluation B,evaluator 11,,no,
51,11,11.0,60.0,A,Evaluation B,evaluator 11,,no,
52,11,11.0,60.0,B,Evaluation B,evaluator 11,,no,
53,11,11.0,75.0,A,Evaluation B,evaluator 11,,no,
54,11,11.0,15.0,A,Evaluation B,evaluator 11,,no,
55,11,11.0,80.0,A,Evaluation B,evaluator 11,,no,
56,15,15.0,1.0,A,Evaluation,all other response,,no,
57,15,15.0,12.0,A,Evaluation,all other response,,no,
58,15,15.0,16.0,A,Evaluation,all other response,,no,
59,15,15.0,18.0,A,Evaluation,all other response,,no,
60,15,15.0,18.0,B,Evaluation,all other response,,no,
61,15,15.0,28.0,A,Evaluation,all other response,,no,
62,15,15.0,28.0,B,Evaluation,all other response,,no,
63,6,06,34.0,B,Evaluation,all other response,,no,
64,6,06,37.0,A,Evaluation,all other response,,no,
65,6,06,39.0,A,Evaluation,all other response,,no,
66,6,06,39.0,B,Evaluation,all other response,,no,
67,6,06,51.0,A,Evaluation,all other response,,no,
68,1,01,1.0,A,Evaluation,all other response,,no,
69,1,1.0,12.0,A,Evaluation,all other response,,no,
70,1,1.0,16.0,A,Evaluation,all other response,,no,
71,26,26.0,28.0,A,Evaluation C,evaluator 2 or 18-28,,no,
72,1,1.0,18.0,A,Evaluation,all other response,,no,
73,1,1.0,16.0,B,Evaluation,all other response,,no,
74,1,1.0,28.0,A,Evaluation,all other response,,no,
75,1,1.0,28.0,B,Evaluation,all other response,,no,
76,25,25.0,52.0,A,Evaluation C,evaluator 2 or 18-28,,no,
77,25,25.0,54.0,A,Evaluation C,evaluator 2 or 18-28,,no,
78,25,25.0,54.0,B,Evaluation C,evaluator 2 or 18-28,,no,
79,25,25.0,59.0,A,Evaluation C,evaluator 2 or 18-28,,no,
80,25,25.0,59.0,B,Evaluation C,evaluator 2 or 18-28,,no,
81,25,25.0,59.0,C,Evaluation C,evaluator 2 or 18-28,,no,
82,25,25.0,65.0,A,Evaluation C,evaluator 2 or 18-28,,no,
83,19,19.0,1.0,A,Evaluation C,evaluator 2 or 18-28,,no,
84,26,26.0,41.0,A,Evaluation C,evaluator 2 or 18-28,,no,
85,26,26.0,47.0,A,Evaluation C,evaluator 2 or 18-28,,no,
86,26,26.0,51.0,A,Evaluation C,evaluator 2 or 18-28,,no,
87,26,26.0,67.0,A,Evaluation C,evaluator 2 or 18-28,,no,
88,19,19.0,1.0,B,Evaluation C,evaluator 2 or 18-28,,no,
89,19,19.0,12.0,A,Evaluation C,evaluator 2 or 18-28,,no,
90,19,19.0,16.0,A,Evaluation C,evaluator 2 or 18-28,,no,
91,19,19.0,16.0,B,Evaluation C,evaluator 2 or 18-28,,no,
92,19,19.0,18.0,A,Evaluation C,evaluator 2 or 18-28,,no,
93,19,19.0,80.0,A,Evaluation C,evaluator 2 or 18-28,,no,
94,19,19.0,80.0,B,Evaluation C,evaluator 2 or 18-28,,no,
95,4,04,33.0,A,Evaluation,all other response,,no,
96,2,Sifat Islam,1.0,A,Evaluation C,evaluator 2 or 18-28,,no,Sifat Islam
97,2,Sifat Islam,1.0,B,Evaluation C,evaluator 2 or 18-28,,no,Sifat Islam
98,18,18.0,1.0,A,Evaluation C,evaluator 2 or 18-28,,no,
99,18,18.0,1.0,B,Evaluation C,evaluator 2 or 18-28,,no,
100,18,18.0,12.0,A,Evaluation C,evaluator 2 or 18-28,,no,
101,18,18.0,16.0,A,Evaluation C,evaluator 2 or 18-28,,no,
102,18,18.0,16.0,B,Evaluation C,evaluator 2 or 18-28,,no,
103,18,18.0,18.0,A,Evaluation C,evaluator 2 or 18-28,,no,
104,18,18.0,80.0,A,Evaluation C,evaluator 2 or 18-28,,no,
105,18,18.0,80.0,B,Evaluation C,evaluator 2 or 18-28,,no,
106,3,03,01,A,Evaluation,all other response,,no,
107,22,22.0,2.0,A,Evaluation C,evaluator 2 or 18-28,,no,
108,22,22.0,2.0,B,Evaluation C,evaluator 2 or 18-28,,no,
109,22,22.0,15.0,A,Evaluation C,evaluator 2 or 18-28,,no,
110,4,04,34.0,B,Evaluation,all other response,,no,
111,22,22.0,32.0,A,Evaluation C,evaluator 2 or 18-28,,no,
112,22,22.0,32.0,B,Evaluation C,evaluator 2 or 18-28,,no,
113,22,22.0,70.0,A,Evaluation C,evaluator 2 or 18-28,,no,
114,22,22.0,70.0,B,Evaluation C,evaluator 2 or 18-28,,no,
115,4,04,34.0,A,Evaluation,all other response,,no,
116,4,04,37.0,A,Evaluation,all other response,,no,
117,23,23.0,33.0,A,Evaluation C,evaluator 2 or 18-28,,no,
118,23,23.0,34.0,A,Evaluation C,evaluator 2 or 18-28,,no,
119,23,23.0,37.0,A,Evaluation C,evaluator 2 or 18-28,,no,
120,23,23.0,37.0,B,Evaluation C,evaluator 2 or 18-28,,no,
121,23,23.0,39.0,A,Evaluation C,evaluator 2 or 18-28,,no,
122,23,23.0,45.0,A,Evaluation C,evaluator 2 or 18-28,,no,
123,23,23.0,45.0,B,Evaluation C,evaluator 2 or 18-28,,no,
124,14,14.0,28.0,A,Evaluation C,evaluator 14 middle 7 responses,8,no,
125,14,14.0,41.0,A,Evaluation C,evaluator 14 middle 7 responses,9,no,
126,14,14.0,46.0,A,Evaluation C,evaluator 14 middle 7 responses,10,no,
