llm_name,method_name,case_id,candidate_path,ground_truth_path,embedding_model,similarity_threshold,ground_truth_states,candidate_states,matched_state_pairs,missing_ground_truth_states,extra_candidate_states,ground_truth_state_count,candidate_state_count,matched_state_count,missing_state_count,extra_state_count,semantic_state_precision,semantic_state_recall,semantic_state_f1
DeepSeek_R1_14B,baseline_repair,case_01_healthcare_portal,valid_diagrams/DeepSeek_R1_14B/baseline_repair/case_01_healthcare_portal/diagram.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""AccessDenied"",""Logout"",""MainMenu"",""Registration"",""SignIn""]","[{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""register"",""candidate_normalized"":""registration"",""similarity"":0.881089}]","[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""News and Experts"",""Payment"",""Symptoms checker""]","[""AccessDenied"",""MainMenu"",""SignIn""]",12,5,2,10,3,0.4,0.166667,0.235294
Llama_3.1_8B,baseline_repair,case_01_healthcare_portal,valid_diagrams/Llama_3.1_8B/baseline_repair/case_01_healthcare_portal/diagram.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Denied"",""Cash Payment Details"",""Check Symptoms"",""Failed Registration"",""Fitness Checking"",""Insurance Payment Process"",""Logged Out"",""Payment Process"",""Read News"",""Registration"",""Select Payment Method"",""Signed In"",""User Feedback"",""View Facilities"",""View Result""]","[{""ground_truth_state"":""Check fitness"",""candidate_state"":""Fitness Checking"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness checking"",""similarity"":0.883875},{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.85144},{""ground_truth_state"":""Logout"",""candidate_state"":""Logged Out"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logged out"",""similarity"":0.805794},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""register"",""candidate_normalized"":""registration"",""similarity"":0.881089},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""Check Symptoms"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""check symptoms"",""similarity"":0.830393}]","[""Apply"",""Cash"",""Facilities"",""Finance"",""Login"",""News and Experts""]","[""Access Denied"",""Cash Payment Details"",""Failed Registration"",""Insurance Payment Process"",""Read News"",""Select Payment Method"",""Signed In"",""View Facilities"",""View Result""]",12,15,6,6,9,0.4,0.5,0.444444
Llama_3.1_8B,few_shot,case_01_healthcare_portal,valid_diagrams/Llama_3.1_8B/few_shot/case_01_healthcare_portal/diagram.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Denied"",""Cash Payment Details"",""Check Symptoms"",""Failed Registration"",""Fitness Checking"",""Insurance Payment Process"",""Logged Out"",""Payment Process"",""Read News"",""Registration"",""Select Payment Method"",""Signed In"",""User Feedback"",""View Facilities"",""View Result""]","[{""ground_truth_state"":""Check fitness"",""candidate_state"":""Fitness Checking"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness checking"",""similarity"":0.883875},{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.85144},{""ground_truth_state"":""Logout"",""candidate_state"":""Logged Out"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logged out"",""similarity"":0.805794},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""register"",""candidate_normalized"":""registration"",""similarity"":0.881089},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""Check Symptoms"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""check symptoms"",""similarity"":0.830393}]","[""Apply"",""Cash"",""Facilities"",""Finance"",""Login"",""News and Experts""]","[""Access Denied"",""Cash Payment Details"",""Failed Registration"",""Insurance Payment Process"",""Read News"",""Select Payment Method"",""Signed In"",""View Facilities"",""View Result""]",12,15,6,6,9,0.4,0.5,0.444444
Llama_3.1_8B,syntax_grounded_repair,case_01_healthcare_portal,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_01_healthcare_portal/diagram.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Denied"",""Cash Payment Details"",""Check Symptoms"",""Failed Registration"",""Fitness Checking"",""Insurance Payment Process"",""Logged Out"",""Payment Process"",""Read News"",""Registration"",""Select Payment Method"",""Signed In"",""User Feedback"",""View Facilities"",""View Result""]","[{""ground_truth_state"":""Check fitness"",""candidate_state"":""Fitness Checking"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness checking"",""similarity"":0.883875},{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.85144},{""ground_truth_state"":""Logout"",""candidate_state"":""Logged Out"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logged out"",""similarity"":0.805794},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""register"",""candidate_normalized"":""registration"",""similarity"":0.881089},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""Check Symptoms"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""check symptoms"",""similarity"":0.830393}]","[""Apply"",""Cash"",""Facilities"",""Finance"",""Login"",""News and Experts""]","[""Access Denied"",""Cash Payment Details"",""Failed Registration"",""Insurance Payment Process"",""Read News"",""Select Payment Method"",""Signed In"",""View Facilities"",""View Result""]",12,15,6,6,9,0.4,0.5,0.444444
Qwen_2.5_7B,baseline_repair,case_01_healthcare_portal,valid_diagrams/Qwen_2.5_7B/baseline_repair/case_01_healthcare_portal/diagram.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashPayment"",""Dashboard"",""DoctorConsultation"",""Facilities"",""Feedback"",""FinishSession"",""FitnessCheck"",""InsurancePayment"",""Login"",""Logout"",""News"",""Payment"",""PaymentComplete"",""Register"",""SymptomCheck""]","[{""ground_truth_state"":""Check fitness"",""candidate_state"":""FitnessCheck"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness check"",""similarity"":0.909404},{""ground_truth_state"":""Facilities"",""candidate_state"":""Facilities"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""facilities"",""similarity"":1.0},{""ground_truth_state"":""Feedback"",""candidate_state"":""Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""feedback"",""similarity"":1.0},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment"",""similarity"":1.0},{""ground_truth_state"":""Register"",""candidate_state"":""Register"",""ground_truth_normalized"":""register"",""candidate_normalized"":""register"",""similarity"":1.0}]","[""Apply"",""Cash"",""Finance"",""News and Experts"",""Symptoms checker""]","[""CashPayment"",""Dashboard"",""DoctorConsultation"",""FinishSession"",""InsurancePayment"",""News"",""PaymentComplete"",""SymptomCheck""]",12,15,7,5,8,0.466667,0.583333,0.518519
Qwen_2.5_7B,syntax_grounded_repair,case_01_healthcare_portal,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_01_healthcare_portal/diagram.puml,dataset/case_01_healthcare_portal/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashPayment"",""Dashboard"",""DoctorConsultation"",""End"",""Facilities"",""Feedback"",""FinishSession"",""FitnessCheck"",""InsurancePayment"",""Login"",""Logout"",""News"",""Payment"",""PaymentComplete"",""Register"",""SymptomCheck""]","[{""ground_truth_state"":""Check fitness"",""candidate_state"":""FitnessCheck"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness check"",""similarity"":0.909404},{""ground_truth_state"":""Facilities"",""candidate_state"":""Facilities"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""facilities"",""similarity"":1.0},{""ground_truth_state"":""Feedback"",""candidate_state"":""Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""feedback"",""similarity"":1.0},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment"",""similarity"":1.0},{""ground_truth_state"":""Register"",""candidate_state"":""Register"",""ground_truth_normalized"":""register"",""candidate_normalized"":""register"",""similarity"":1.0}]","[""Apply"",""Cash"",""Finance"",""News and Experts"",""Symptoms checker""]","[""CashPayment"",""Dashboard"",""DoctorConsultation"",""End"",""FinishSession"",""InsurancePayment"",""News"",""PaymentComplete"",""SymptomCheck""]",12,16,7,5,9,0.4375,0.583333,0.5
DeepSeek_R1_14B,baseline_repair,case_02_inventory,valid_diagrams/DeepSeek_R1_14B/baseline_repair/case_02_inventory/diagram.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Remove Goods"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""AddGoods"",""CalculateDiscountTax"",""CheckExpiry"",""GenerateInvoice"",""GenerateReceipt"",""GenerateReport"",""PlaceOrder"",""RecordRequest"",""RemoveGoods"",""ReplaceCancelReceipt"",""SearchItems"",""Start"",""UpdatePrice""]","[{""ground_truth_state"":""Add Goods"",""candidate_state"":""AddGoods"",""ground_truth_normalized"":""add goods"",""candidate_normalized"":""add goods"",""similarity"":1.0},{""ground_truth_state"":""Cancel Receipt"",""candidate_state"":""ReplaceCancelReceipt"",""ground_truth_normalized"":""cancel receipt"",""candidate_normalized"":""replace cancel receipt"",""similarity"":0.894516},{""ground_truth_state"":""Invoice Generation"",""candidate_state"":""GenerateInvoice"",""ground_truth_normalized"":""invoice generation"",""candidate_normalized"":""generate invoice"",""similarity"":0.921053},{""ground_truth_state"":""Place Order"",""candidate_state"":""PlaceOrder"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""place order"",""similarity"":1.0},{""ground_truth_state"":""Receipt Generation"",""candidate_state"":""GenerateReceipt"",""ground_truth_normalized"":""receipt generation"",""candidate_normalized"":""generate receipt"",""similarity"":0.867102},{""ground_truth_state"":""Remove Goods"",""candidate_state"":""RemoveGoods"",""ground_truth_normalized"":""remove goods"",""candidate_normalized"":""remove goods"",""similarity"":1.0},{""ground_truth_state"":""Search Item"",""candidate_state"":""SearchItems"",""ground_truth_normalized"":""search item"",""candidate_normalized"":""search items"",""similarity"":0.946636}]","[""Authentication Login"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Replace Item"",""Tax Generation"",""View Summary Report""]","[""CalculateDiscountTax"",""CheckExpiry"",""GenerateReport"",""RecordRequest"",""Start"",""UpdatePrice""]",16,13,7,9,6,0.538462,0.4375,0.482759
DeepSeek_R1_14B,syntax_grounded_repair,case_02_inventory,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_02_inventory/diagram.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Remove Goods"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""AddGoods"",""CalculateDiscountTax"",""CheckExpiry"",""GenerateInvoice"",""GenerateReceipt"",""GenerateReport"",""PlaceOrder"",""RecordRequest"",""RemoveGoods"",""ReplaceCancelReceipt"",""SearchItems"",""Start"",""UpdatePrice""]","[{""ground_truth_state"":""Add Goods"",""candidate_state"":""AddGoods"",""ground_truth_normalized"":""add goods"",""candidate_normalized"":""add goods"",""similarity"":1.0},{""ground_truth_state"":""Cancel Receipt"",""candidate_state"":""ReplaceCancelReceipt"",""ground_truth_normalized"":""cancel receipt"",""candidate_normalized"":""replace cancel receipt"",""similarity"":0.894516},{""ground_truth_state"":""Invoice Generation"",""candidate_state"":""GenerateInvoice"",""ground_truth_normalized"":""invoice generation"",""candidate_normalized"":""generate invoice"",""similarity"":0.921053},{""ground_truth_state"":""Place Order"",""candidate_state"":""PlaceOrder"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""place order"",""similarity"":1.0},{""ground_truth_state"":""Receipt Generation"",""candidate_state"":""GenerateReceipt"",""ground_truth_normalized"":""receipt generation"",""candidate_normalized"":""generate receipt"",""similarity"":0.867102},{""ground_truth_state"":""Remove Goods"",""candidate_state"":""RemoveGoods"",""ground_truth_normalized"":""remove goods"",""candidate_normalized"":""remove goods"",""similarity"":1.0},{""ground_truth_state"":""Search Item"",""candidate_state"":""SearchItems"",""ground_truth_normalized"":""search item"",""candidate_normalized"":""search items"",""similarity"":0.946636}]","[""Authentication Login"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Replace Item"",""Tax Generation"",""View Summary Report""]","[""CalculateDiscountTax"",""CheckExpiry"",""GenerateReport"",""RecordRequest"",""Start"",""UpdatePrice""]",16,13,7,9,6,0.538462,0.4375,0.482759
Llama_3.1_8B,baseline_repair,case_02_inventory,valid_diagrams/Llama_3.1_8B/baseline_repair/case_02_inventory/diagram.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Remove Goods"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""Adding"",""Billing"",""Cancelled"",""Expired"",""Idle"",""Invoicing"",""Ordering"",""Removing"",""Replaced"",""Searching"",""Summary"",""Updating""]",[],"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Remove Goods"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""Adding"",""Billing"",""Cancelled"",""Expired"",""Idle"",""Invoicing"",""Ordering"",""Removing"",""Replaced"",""Searching"",""Summary"",""Updating""]",16,12,0,16,12,0.0,0.0,0.0
Llama_3.1_8B,syntax_grounded_repair,case_02_inventory,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_02_inventory/diagram.puml,dataset/case_02_inventory/diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Remove Goods"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""Adding"",""Billing"",""Cancelled"",""Expired"",""Idle"",""Invoicing"",""Ordering"",""Removing"",""Replaced"",""Searching"",""Summary"",""Updating""]",[],"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Remove Goods"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""Adding"",""Billing"",""Cancelled"",""Expired"",""Idle"",""Invoicing"",""Ordering"",""Removing"",""Replaced"",""Searching"",""Summary"",""Updating""]",16,12,0,16,12,0.0,0.0,0.0
