diagram_id,case_id,generation_model,generation_method,source_run_id,removed_because,raw_methods_present
diagram_10d20011f1b2,case_47_safehome_security_function,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_16e1e931c0cf,case_65_plane,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_17c4ef736a7c,case_60_atm_2,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_17e95b79d526,case_41_video_suggestion_system,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_1a9b69240ca8,case_51_process_sale,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_1c07a8ee4da7,case_12_business_process_outsourcing_bpo_management_system_2,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_27d8f3fed028,case_75_graderate,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_2cfe2f0c1114,case_41_video_suggestion_system,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_2f01175b2467,case_78_class_campaign_version_2,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_30138ef84402,case_65_plane,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_32e9e5cc3aa4,case_33_farm_management_system,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_379b4b67e0ef,case_75_graderate,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_3f65fab8ff25,case_75_graderate,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_45b0f16052cc,case_47_safehome_security_function,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_53c7da5bc4c5,case_51_process_sale,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_68c660d1d3e2,case_41_video_suggestion_system,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_6af9f17ac497,case_39_website_development,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_6d7f016b6d89,case_60_atm_2,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_70a185546912,case_75_graderate,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_7243c579da39,case_34_green_rides,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_83c1ee12d5d2,case_75_graderate,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_84ca3a5b997b,case_33_farm_management_system,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_85a0568cb2f0,case_60_atm_2,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,rag
diagram_86810ca60920,case_78_class_campaign_version_2,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_875d21b1c23f,case_39_website_development,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_93cd634e0b2e,case_18_digidoclocker,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_953053f42248,case_67_atm_many_scenarios_1,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_9ee8e9cf736d,case_60_atm_2,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,selected_best_raw_duplicate_of_existing_raw_diagram,few_shot
diagram_9f37aa78ef1d,case_75_graderate,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,selected_best_raw_duplicate_of_existing_raw_diagram,rag
