case_id,original_domain,broader_domain
case_03_online_marketplace,Online Marketplace,E-Commerce/Retail/Sales
case_04_product_recommendation,Product Recommendation,E-Commerce/Retail/Sales
case_05_advocate_diary,Advocate Diary,Legal/Public Safety/Government
case_06_my_helper,My Helper,Business/Workflow/Services
case_07_covid,Covid,Healthcare/Medical/Pharmacy
case_08_textile,Textile,Inventory/Manufacturing/Asset
case_09_national_health_id,National Health Id,Healthcare/Medical/Pharmacy
case_10_device_handout,Device Handout,Inventory/Manufacturing/Asset
case_11_business_process_outsourcing_bpo_management_system_1,Business Process Outsourcing Bpo Management System Scenario 1,Business/Workflow/Services
case_13_business_process_outsourcing_bpo_management_system_3,Business Process Outsourcing Bpo Management System Scenario 3,Business/Workflow/Services
case_14_business_process_outsourcing_bpo_management_system_4,Business Process Outsourcing Bpo Management System Scenario 4,Business/Workflow/Services
case_17_e_province,E Province,Legal/Public Safety/Government
case_19_car_care,Car Care,Business/Workflow/Services
case_20_e_ration_shop,E Ration Shop,E-Commerce/Retail/Sales
case_21_for_online_college_magazine_system,For Online College Magazine System,Education/Academic/Library
case_22_crime_bureau,Crime Bureau,Legal/Public Safety/Government
case_23_smart_traffic_management_system,Smart Traffic Management System,Transportation/Traffic/Aviation
case_24_online_pharmacy_management_system_1,Online Pharmacy Management System Scenario 1,Healthcare/Medical/Pharmacy
case_25_online_pharmacy_management_system_2,Online Pharmacy Management System Scenario 2,Healthcare/Medical/Pharmacy
case_26_online_pharmacy_management_system_3,Online Pharmacy Management System Scenario 3,Healthcare/Medical/Pharmacy
case_27_equihealth,Equihealth,Healthcare/Medical/Pharmacy
case_29_e_med_medical_assistance_tool,E Med Medical Assistance Tool,Healthcare/Medical/Pharmacy
case_30_diet_care,Diet Care,Healthcare/Medical/Pharmacy
case_31_student_counselling_management_system,Student Counselling Management System,Education/Academic/Library
case_35_art_gallery_mananement_system,Art Gallery Mananement System,Media/Games/Culture
case_36_guide_dropshipping_website,Guide Dropshipping Website,E-Commerce/Retail/Sales
case_38_book_bank_management_system,Book Bank Management System,Education/Academic/Library
case_40_startup_meet,Startup Meet,Business/Workflow/Services
case_42_cash_register,Cash Register,E-Commerce/Retail/Sales
case_43_information_system,Information System,Business/Workflow/Services
case_44_coin_operated_pay_phone,Coin Operated Pay Phone,Telecommunication
case_48_controlpanel_class,Controlpanel Class,Software/Auth/UI/Programming
case_49_account,Account,Finance/Banking/ATM
case_50_java,Java,Software/Auth/UI/Programming
case_53_microwave_oven_operation,Microwave Oven Operation,Embedded/Appliance/Device
case_55_petrol_gas_pump,Petrol Gas Pump,Embedded/Appliance/Device
case_56_accountapplication,Accountapplication,Finance/Banking/ATM
case_57_cd_player,Cd Player,Embedded/Appliance/Device
case_58_first_person_shooter_fps_games,First Person Shooter Fps Games,Media/Games/Culture
case_61_atm_3,Atm Scenario 3,Finance/Banking/ATM
case_62_telephone,Telephone,Telecommunication
case_63_displayitem,Displayitem,E-Commerce/Retail/Sales
case_64_loggedin_mechanism,Loggedin Mechanism,Software/Auth/UI/Programming
case_66_flight,Flight,Transportation/Traffic/Aviation
case_68_atm_many_scenarios_3,Atm Many Scenarios Scenario 3,Finance/Banking/ATM
case_69_atm_many_scenarios_6,Atm Many Scenarios Scenario 6,Finance/Banking/ATM
case_71_atm_many_scenarios_8,Atm Many Scenarios Scenario 8,Finance/Banking/ATM
case_72_atm_many_scenarios_9,Atm Many Scenarios Scenario 9,Finance/Banking/ATM
case_73_oven,Oven,Embedded/Appliance/Device
case_74_alert_notifier,Alert Notifier,Notification/Alert
case_76_ui,Ui,Software/Auth/UI/Programming
case_77_class_campaign,Class Campaign,Campaign/Marketing
case_79_class_campaign_final_version,Class Campaign Final Version,Campaign/Marketing
