diagram_id,case_id,generation_model,generation_method,source_run_id,removed_because,raw_methods_present
diagram_0c68eaef4a08,case_41_video_suggestion_system,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_10d20011f1b2,case_47_safehome_security_function,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
diagram_12ca9187a47c,case_39_website_development,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_16e1e931c0cf,case_65_plane,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_17c4ef736a7c,case_60_atm_2,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_17e95b79d526,case_41_video_suggestion_system,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_1a9b69240ca8,case_51_process_sale,Mistral,baseline_repair,open_source__mistral__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_1c07a8ee4da7,case_12_business_process_outsourcing_bpo_management_system_2,Llama_3.1_8B,baseline_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_27d8f3fed028,case_75_graderate,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_2cfe2f0c1114,case_41_video_suggestion_system,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_2f01175b2467,case_78_class_campaign_version_2,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
diagram_30138ef84402,case_65_plane,Qwen_2.5_7B,baseline_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_32e9e5cc3aa4,case_33_farm_management_system,DeepSeek_R1_14B,baseline_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_379b4b67e0ef,case_75_graderate,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_original_rag,raw_diagram_for_same_model_and_case_already_exists,rag
diagram_3f65fab8ff25,case_75_graderate,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot
diagram_45b0f16052cc,case_47_safehome_security_function,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,raw_diagram_for_same_model_and_case_already_exists,few_shot|rag
