case_id,valid_candidate_count,top3_candidate_ids,selected_candidate_id,selected_model,selection_method,meta_reason,selected_state_f1,fallback_used,ensemble_failure
case_01_healthcare_portal,4,"[""valid_001"",""valid_002"",""valid_004""]",valid_001,Qwen_2.5_7B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.740741,true,false
case_02_inventory,3,"[""valid_005"",""valid_007"",""valid_006""]",valid_005,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.689655,true,false
case_12_business_process_outsourcing_bpo_management_system_2,4,"[""valid_008"",""valid_011"",""valid_009""]",valid_008,Qwen_2.5_7B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.750000,true,false
case_15_e_ticketing_for_bus,2,"[""valid_012"",""valid_013""]",valid_012,DeepSeek_R1_14B,meta_llm,Candidate A accurately models the logout as ending the user's session rather than shutting down the entire system.,0.700000,false,false
case_16_weather_monitoring_system,4,"[""valid_015"",""valid_014"",""valid_016""]",valid_015,Mistral,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.307692,true,false
case_18_digidoclocker,3,"[""valid_020"",""valid_019"",""valid_018""]",valid_020,Llama_3.1_8B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.823529,true,false
case_28_ott_based_system_mini_reel,3,"[""valid_023"",""valid_022"",""valid_021""]",valid_023,Llama_3.1_8B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.285714,true,false
case_32_e_visa_processing_and_follow_up_system,4,"[""valid_027"",""valid_025"",""valid_024""]",valid_027,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.400000,true,false
case_33_farm_management_system,3,"[""valid_028"",""valid_030"",""valid_029""]",valid_028,Mistral,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.615385,true,false
case_34_green_rides,4,"[""valid_031"",""valid_032"",""valid_033""]",valid_031,Qwen_2.5_7B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.428571,true,false
case_37_online_quiz_system,4,"[""valid_037"",""valid_038"",""valid_035""]",valid_037,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.714286,true,false
case_39_website_development,5,"[""valid_040"",""valid_043"",""valid_039""]",valid_040,Mistral,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.571429,true,false
case_41_video_suggestion_system,4,"[""valid_046"",""valid_047"",""valid_045""]",valid_046,Llama_3.1_8B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.500000,true,false
case_45_alarm_clock,3,"[""valid_049"",""valid_050"",""valid_048""]",valid_049,Llama_3.1_8B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.000000,true,false
case_46_digital_watch,4,"[""valid_054"",""valid_053"",""valid_052""]",valid_054,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.375000,true,false
case_47_safehome_security_function,4,"[""valid_058"",""valid_055"",""valid_056""]",valid_058,Llama_3.1_8B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.461538,true,false
case_51_process_sale,4,"[""valid_060"",""valid_061"",""valid_062""]",valid_060,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.800000,true,false
case_52_microwave_oven,2,"[""valid_063"",""valid_064""]",valid_063,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.461538,true,false
case_54_weather_station_system,4,"[""valid_065"",""valid_068"",""valid_066""]",valid_065,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.615385,true,false
case_59_atm_1,6,"[""valid_071"",""valid_072"",""valid_069""]",valid_071,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.500000,true,false
case_60_atm_2,3,"[""valid_077"",""valid_075"",""valid_076""]",valid_076,DeepSeek_R1_14B,meta_llm,It comprehensively covers all functional requirements with clear state transitions.,0.600000,false,false
case_65_plane,3,"[""valid_078"",""valid_079"",""valid_080""]",valid_078,Qwen_2.5_7B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.363636,true,false
case_67_atm_many_scenarios_1,3,"[""valid_081"",""valid_082"",""valid_083""]",valid_081,Qwen_2.5_7B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.900000,true,false
case_70_atm_many_scenarios_7,3,"[""valid_086"",""valid_084"",""valid_085""]",valid_086,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.285714,true,false
case_75_graderate,4,"[""valid_088"",""valid_089"",""valid_087""]",valid_088,Mistral,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.571429,true,false
case_78_class_campaign_version_2,3,"[""valid_092"",""valid_093"",""valid_091""]",valid_092,Mistral,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.933333,true,false
case_80_staff_member_class,4,"[""valid_096"",""valid_097"",""valid_094""]",valid_096,DeepSeek_R1_14B,judge_ranking_fallback,Meta-LLM output could not be parsed after two attempts; the highest-ranked candidate was selected.,0.363636,true,false
