table,evaluation_group,metric,method,model,value,n,total,raw
Prompting Strategy,Automatic (accuracy),Structural validity,Zero-shot,llama,0.0,0,27,0.00% (n=0/27)
Prompting Strategy,Automatic (accuracy),Structural validity,Zero-shot,mistral,0.0,0,27,0.00% (n=0/27)
Prompting Strategy,Automatic (accuracy),Structural validity,Zero-shot,deepseek,0.0,0,27,0.00% (n=0/27)
Prompting Strategy,Automatic (accuracy),Structural validity,Zero-shot,qwen,0.0,0,27,0.00% (n=0/27)
Prompting Strategy,Automatic (accuracy),Structural validity,One-shot,llama,18.52,5,27,18.52% (n=5/27)
Prompting Strategy,Automatic (accuracy),Structural validity,One-shot,mistral,3.7,1,27,3.70% (n=1/27)
Prompting Strategy,Automatic (accuracy),Structural validity,One-shot,deepseek,11.11,3,27,11.11% (n=3/27)
Prompting Strategy,Automatic (accuracy),Structural validity,One-shot,qwen,3.7,1,27,3.70% (n=1/27)
Prompting Strategy,Automatic (accuracy),Structural validity,Few-shot,llama,29.63,8,27,29.63% (n=8/27)
Prompting Strategy,Automatic (accuracy),Structural validity,Few-shot,mistral,7.41,2,27,7.41% (n=2/27)
Prompting Strategy,Automatic (accuracy),Structural validity,Few-shot,deepseek,22.22,6,27,22.22% (n=6/27)
Prompting Strategy,Automatic (accuracy),Structural validity,Few-shot,qwen,11.11,3,27,11.11% (n=3/27)
Prompting Strategy,Automatic (accuracy),Structural validity,RAG,llama,22.22,6,27,22.22% (n=6/27)
Prompting Strategy,Automatic (accuracy),Structural validity,RAG,mistral,14.81,4,27,14.81% (n=4/27)
Prompting Strategy,Automatic (accuracy),Structural validity,RAG,deepseek,14.81,4,27,14.81% (n=4/27)
Prompting Strategy,Automatic (accuracy),Structural validity,RAG,qwen,14.81,4,27,14.81% (n=4/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Zero-shot,llama,29.63,8,27,29.63% (n=8/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Zero-shot,mistral,3.7,1,27,3.70% (n=1/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Zero-shot,deepseek,59.26,16,27,59.26% (n=16/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Zero-shot,qwen,22.22,6,27,22.22% (n=6/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,One-shot,llama,96.3,26,27,96.30% (n=26/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,One-shot,mistral,85.19,23,27,85.19% (n=23/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,One-shot,deepseek,92.59,25,27,92.59% (n=25/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,One-shot,qwen,74.07,20,27,74.07% (n=20/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Few-shot,llama,92.59,25,27,92.59% (n=25/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Few-shot,mistral,96.3,26,27,96.30% (n=26/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Few-shot,deepseek,88.89,24,27,88.89% (n=24/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,Few-shot,qwen,96.3,26,27,96.30% (n=26/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,RAG,llama,100.0,27,27,100.00% (n=27/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,RAG,mistral,74.07,20,27,74.07% (n=20/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,RAG,deepseek,85.19,23,27,85.19% (n=23/27)
Prompting Strategy,Automatic (accuracy),Syntactic validity,RAG,qwen,100.0,27,27,100.00% (n=27/27)
Prompting Strategy,Human (Likert scale 1-5),Completeness,Zero-shot,llama,,,,
Prompting Strategy,Human (Likert scale 1-5),Completeness,Zero-shot,mistral,,,,
Prompting Strategy,Human (Likert scale 1-5),Completeness,Zero-shot,deepseek,,,,
Prompting Strategy,Human (Likert scale 1-5),Completeness,Zero-shot,qwen,,,,
Prompting Strategy,Human (Likert scale 1-5),Completeness,One-shot,llama,4.0,10,,4 (n=10)
Prompting Strategy,Human (Likert scale 1-5),Completeness,One-shot,mistral,5.0,2,,5 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Completeness,One-shot,deepseek,4.0,6,,4 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Completeness,One-shot,qwen,3.5,2,,3.5 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Completeness,Few-shot,llama,3.0,19,,3 (n=19)
Prompting Strategy,Human (Likert scale 1-5),Completeness,Few-shot,mistral,4.0,4,,4 (n=4)
Prompting Strategy,Human (Likert scale 1-5),Completeness,Few-shot,deepseek,4.0,12,,4 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Completeness,Few-shot,qwen,4.0,6,,4 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Completeness,RAG,llama,3.0,12,,3 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Completeness,RAG,mistral,4.5,8,,4.5 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Completeness,RAG,deepseek,4.5,8,,4.5 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Completeness,RAG,qwen,3.0,8,,3 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Correctness,Zero-shot,llama,,,,
Prompting Strategy,Human (Likert scale 1-5),Correctness,Zero-shot,mistral,,,,
Prompting Strategy,Human (Likert scale 1-5),Correctness,Zero-shot,deepseek,,,,
Prompting Strategy,Human (Likert scale 1-5),Correctness,Zero-shot,qwen,,,,
Prompting Strategy,Human (Likert scale 1-5),Correctness,One-shot,llama,4.0,10,,4 (n=10)
Prompting Strategy,Human (Likert scale 1-5),Correctness,One-shot,mistral,4.5,2,,4.5 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Correctness,One-shot,deepseek,3.5,6,,3.5 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Correctness,One-shot,qwen,2.5,2,,2.5 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Correctness,Few-shot,llama,3.0,19,,3 (n=19)
Prompting Strategy,Human (Likert scale 1-5),Correctness,Few-shot,mistral,4.0,4,,4 (n=4)
Prompting Strategy,Human (Likert scale 1-5),Correctness,Few-shot,deepseek,4.0,12,,4 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Correctness,Few-shot,qwen,4.0,6,,4 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Correctness,RAG,llama,3.0,12,,3 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Correctness,RAG,mistral,4.0,8,,4 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Correctness,RAG,deepseek,4.5,8,,4.5 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Correctness,RAG,qwen,3.5,8,,3.5 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Understandability,Zero-shot,llama,,,,
Prompting Strategy,Human (Likert scale 1-5),Understandability,Zero-shot,mistral,,,,
Prompting Strategy,Human (Likert scale 1-5),Understandability,Zero-shot,deepseek,,,,
Prompting Strategy,Human (Likert scale 1-5),Understandability,Zero-shot,qwen,,,,
Prompting Strategy,Human (Likert scale 1-5),Understandability,One-shot,llama,5.0,10,,5 (n=10)
Prompting Strategy,Human (Likert scale 1-5),Understandability,One-shot,mistral,4.5,2,,4.5 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Understandability,One-shot,deepseek,3.5,6,,3.5 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Understandability,One-shot,qwen,2.5,2,,2.5 (n=2)
Prompting Strategy,Human (Likert scale 1-5),Understandability,Few-shot,llama,5.0,19,,5 (n=19)
Prompting Strategy,Human (Likert scale 1-5),Understandability,Few-shot,mistral,4.5,4,,4.5 (n=4)
Prompting Strategy,Human (Likert scale 1-5),Understandability,Few-shot,deepseek,5.0,12,,5 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Understandability,Few-shot,qwen,5.0,6,,5 (n=6)
Prompting Strategy,Human (Likert scale 1-5),Understandability,RAG,llama,4.5,12,,4.5 (n=12)
Prompting Strategy,Human (Likert scale 1-5),Understandability,RAG,mistral,5.0,8,,5 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Understandability,RAG,deepseek,5.0,8,,5 (n=8)
Prompting Strategy,Human (Likert scale 1-5),Understandability,RAG,qwen,4.5,8,,4.5 (n=8)
