RAG method,Group,Metric,Llama,Mistral,DeepSeek,Qwen
RAG examples only,Automatic (%),Structural validity,15.38%,4.17%,10.00%,12.00%
RAG examples only,Automatic (%),Syntactic validity,96.30%,88.89%,74.07%,92.59%
RAG examples only,Human Likert,Completeness,"3.5 (1.75-5), n=4","5 (5-5), n=1","5 (5-5), n=2","5 (3.5-5), n=3"
RAG examples only,Human Likert,Correctness,"3 (2.75-3.5), n=4","3 (3-3), n=1","5 (5-5), n=2","4 (3.5-4), n=3"
RAG examples only,Human Likert,Understandability,"4.5 (3.5-5), n=4","4 (4-4), n=1","4.5 (4.25-4.75), n=2","5 (4-5), n=3"
RAG examples only,Human Likert,Terminology alignment,"5 (4.25-5), n=4","5 (5-5), n=1","5 (5-5), n=2","5 (4-5), n=3"
RAG PlantUML/rules only,Automatic (%),Structural validity,42.86%,5.56%,18.18%,50.00%
RAG PlantUML/rules only,Automatic (%),Syntactic validity,77.78%,66.67%,81.48%,81.48%
RAG PlantUML/rules only,Human Likert,Completeness,"5 (4-5), n=9","2 (2-2), n=1","4.5 (3.75-5), n=4","4 (3-5), n=11"
RAG PlantUML/rules only,Human Likert,Correctness,"4 (4-5), n=9","2 (2-2), n=1","4.5 (4-5), n=4","4 (3.5-5), n=11"
RAG PlantUML/rules only,Human Likert,Understandability,"5 (5-5), n=9","3 (3-3), n=1","5 (4.5-5), n=4","5 (5-5), n=11"
RAG PlantUML/rules only,Human Likert,Terminology alignment,"5 (5-5), n=9","4 (4-4), n=1","5 (4.75-5), n=4","5 (5-5), n=11"
RAG state-rules/theory only,Automatic (%),Structural validity,4.17%,0.00%,0.00%,4.55%
RAG state-rules/theory only,Automatic (%),Syntactic validity,88.89%,25.93%,62.96%,81.48%
RAG state-rules/theory only,Human Likert,Completeness,"5 (5-5), n=1",,,"5 (5-5), n=1"
RAG state-rules/theory only,Human Likert,Correctness,"3 (3-3), n=1",,,"5 (5-5), n=1"
RAG state-rules/theory only,Human Likert,Understandability,"5 (5-5), n=1",,,"5 (5-5), n=1"
RAG state-rules/theory only,Human Likert,Terminology alignment,"5 (5-5), n=1",,,"5 (5-5), n=1"
