assigned_folder,response_count_group,case_number,diagram_number,response_index_for_diagram,evaluator_id,excel_row,llm_used,method,renamed_evaluation_file,folder_relative_path,original_unbiased_diagram_name,original_unbiased_relative_path,completeness,correctness,understandability,terminology_alignment,completeness_justification,correctness_justification,understandability_justification,terminology_alignment_justification
Evaluation,2_responses,16,A,1,15,58,Llama 3.1 8B Instruct,One-shot,a.png,Evaluation/case_16_weather_monitoring_system/a.png,llama_3_1_8b_instruct__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_16_weather_monitoring_system/llama_3_1_8b_instruct__one_shot__run_01.png,5,5,5,5,N/A,N/A,N/A,N/A
Evaluation,2_responses,16,A,2,1,70,Llama 3.1 8B Instruct,One-shot,a.png,Evaluation/case_16_weather_monitoring_system/a.png,llama_3_1_8b_instruct__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_16_weather_monitoring_system/llama_3_1_8b_instruct__one_shot__run_01.png,4,5,3,5,- J1 branches and J2 branches lack labeling.,N/A,"- Unnecessarily LONG
- J4 J5 J6 J7 are not required at all.",N/A
Evaluation,2_responses,18,A,1,15,59,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_18_digidoclocker/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_18_digidoclocker/deepseek_r1_14b__few_shot__run_01.png,3,5,5,5,"View profile missing, after registration forward to login transition missing",N/A,N/A,N/A
Evaluation,2_responses,18,A,2,1,72,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_18_digidoclocker/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_18_digidoclocker/deepseek_r1_14b__few_shot__run_01.png,4,3,2,5,"- No specification on when one goes from unregistered to registered citizen.
- After Sending request to issuer is not mentioned.","- Login credential check is not mentioned
- User can go to Done state from any other state.",- No methods/input/output,N/A
Evaluation,2_responses,18,B,1,15,60,DeepSeek R1 14B,RAG,b.png,Evaluation/case_18_digidoclocker/b.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_18_digidoclocker/deepseek_r1_14b__rag__run_01.png,5,5,5,5,N/A,N/A,N/A,N/A
Evaluation,2_responses,18,B,2,23,132,DeepSeek R1 14B,RAG,b.png,Evaluation/case_18_digidoclocker/b.png,deepseek_r1_14b__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_18_digidoclocker/deepseek_r1_14b__rag__run_01.png,2,2,3,5,User type is missing & not all session paths end in the diagram,User type is missing & not all session paths end in the diagram,Diagram contains too much loop,N/A
Evaluation,2_responses,28,A,1,15,61,DeepSeek R1 14B,One-shot,a.png,Evaluation/case_28_ott_based_system_mini_reel/a.png,deepseek_r1_14b__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_28_ott_based_system_mini_reel/deepseek_r1_14b__one_shot__run_01.png,5,5,5,5,N/A,N/A,N/A,N/A
Evaluation,2_responses,28,A,2,1,74,DeepSeek R1 14B,One-shot,a.png,Evaluation/case_28_ott_based_system_mini_reel/a.png,deepseek_r1_14b__one_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_28_ott_based_system_mini_reel/deepseek_r1_14b__one_shot__run_01.png,4,3,2,5,- Backward direction from likedvideo to watch video is missing,"- AccountCreated is both a label and state. Redundant.
- SavedVideo to Discussion edge is not mentioned in requirements.","- The states should also contain entry, do, exit
- Unnecessarily long",N/A
Evaluation,2_responses,28,B,1,15,62,Llama 3.1 8B Instruct,RAG,b.png,Evaluation/case_28_ott_based_system_mini_reel/b.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_28_ott_based_system_mini_reel/llama_3_1_8b_instruct__rag__run_01.png,5,3,5,5,N/A,Wrong strict state flow. Can upload videos without watching.,N/A,N/A
Evaluation,2_responses,28,B,2,1,75,Llama 3.1 8B Instruct,RAG,b.png,Evaluation/case_28_ott_based_system_mini_reel/b.png,llama_3_1_8b_instruct__rag__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_28_ott_based_system_mini_reel/llama_3_1_8b_instruct__rag__run_01.png,2,1,5,5,- Liking video is missing,- Not sequential,N/A,N/A
Evaluation,2_responses,33,A,1,4,95,DeepSeek R1 14B,Few-shot,a.png,Evaluation/case_33_farm_management_system/a.png,deepseek_r1_14b__few_shot__run_01.png,results/plantuml_pipeline/valid_diagrams_by_case/case_33_farm_management_system/deepseek_r1_14b__few_shot__run_01.png,3,3,5,4,Some parts are missing,All conditions are not present,N/A,Some are missing
