model,case_id,repair_method,initial_issues,final_issues,solved_issues,new_issues,syntax_valid,structural_valid
Qwen 2.5 7B,case_01_healthcare_portal,baseline,missing_final_transition;multiple_initial_transitions,,missing_final_transition;multiple_initial_transitions,,True,True
Qwen 2.5 7B,case_01_healthcare_portal,syntax_grounded,missing_final_transition;multiple_initial_transitions,,missing_final_transition;multiple_initial_transitions,,True,True
Qwen 2.5 7B,case_02_inventory,baseline,missing_final_transition;unreachable_states,unreachable_states,missing_final_transition,,True,False
Qwen 2.5 7B,case_02_inventory,syntax_grounded,missing_final_transition;unreachable_states,unreachable_states,missing_final_transition,,True,False
Qwen 2.5 7B,case_12_business_process_outsourcing_bpo_management_system_2,baseline,multiple_initial_transitions,multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_12_business_process_outsourcing_bpo_management_system_2,syntax_grounded,multiple_initial_transitions,,multiple_initial_transitions,,True,True
Qwen 2.5 7B,case_15_e_ticketing_for_bus,baseline,duplicate_transitions;multiple_initial_transitions,multiple_initial_transitions;plantuml_syntax_error,duplicate_transitions,plantuml_syntax_error,False,False
Qwen 2.5 7B,case_15_e_ticketing_for_bus,syntax_grounded,duplicate_transitions;multiple_initial_transitions,multiple_initial_transitions;plantuml_syntax_error,duplicate_transitions,plantuml_syntax_error,False,False
Qwen 2.5 7B,case_16_weather_monitoring_system,baseline,invalid_initial_to_final;multiple_initial_transitions,,invalid_initial_to_final;multiple_initial_transitions,,True,True
Qwen 2.5 7B,case_16_weather_monitoring_system,syntax_grounded,invalid_initial_to_final;multiple_initial_transitions,multiple_initial_transitions,invalid_initial_to_final,,True,False
Qwen 2.5 7B,case_18_digidoclocker,baseline,invalid_initial_to_final;multiple_initial_transitions,invalid_initial_to_final;multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_18_digidoclocker,syntax_grounded,invalid_initial_to_final;multiple_initial_transitions,multiple_initial_transitions,invalid_initial_to_final,,True,False
Qwen 2.5 7B,case_28_ott_based_system_mini_reel,baseline,choice_without_outgoing_paths;orphan_states;unreachable_states,choice_without_outgoing_paths;multiple_initial_transitions,orphan_states;unreachable_states,multiple_initial_transitions,True,False
Qwen 2.5 7B,case_28_ott_based_system_mini_reel,syntax_grounded,choice_without_outgoing_paths;orphan_states;unreachable_states,missing_final_transition;missing_initial_transition,choice_without_outgoing_paths;orphan_states;unreachable_states,missing_final_transition;missing_initial_transition,True,False
Qwen 2.5 7B,case_32_e_visa_processing_and_follow_up_system,baseline,duplicate_transitions;multiple_initial_transitions,duplicate_transitions;multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_32_e_visa_processing_and_follow_up_system,syntax_grounded,duplicate_transitions;multiple_initial_transitions,duplicate_transitions;multiple_initial_transitions,,,True,False
Qwen 2.5 7B,case_33_farm_management_system,baseline,multiple_initial_transitions,multiple_initial_transitions,,,True,False
