criterion,method,model,median_likert_score,n
Completeness,One-shot,Llama,3.5,8
Completeness,One-shot,Mistral,5.0,2
Completeness,One-shot,DeepSeek,4.0,6
Completeness,One-shot,Qwen,3.5,2
Completeness,Few-shot,Llama,3.0,19
Completeness,Few-shot,Mistral,4.0,4
Completeness,Few-shot,DeepSeek,4.0,10
Completeness,Few-shot,Qwen,4.5,4
Completeness,RAG,Llama,3.0,10
Completeness,RAG,Mistral,4.5,8
Completeness,RAG,DeepSeek,4.5,8
Completeness,RAG,Qwen,3.0,6
Completeness,Repair,Llama,4.0,15
Completeness,Repair,Mistral,4.0,9
Completeness,Repair,DeepSeek,4.0,39
Completeness,Repair,Qwen,4.0,16
Correctness,One-shot,Llama,4.0,8
Correctness,One-shot,Mistral,4.5,2
Correctness,One-shot,DeepSeek,3.5,6
Correctness,One-shot,Qwen,2.5,2
Correctness,Few-shot,Llama,3.0,19
Correctness,Few-shot,Mistral,4.0,4
Correctness,Few-shot,DeepSeek,4.0,10
Correctness,Few-shot,Qwen,4.0,4
Correctness,RAG,Llama,3.0,10
Correctness,RAG,Mistral,4.0,8
Correctness,RAG,DeepSeek,4.5,8
Correctness,RAG,Qwen,2.5,6
Correctness,Repair,Llama,4.0,15
Correctness,Repair,Mistral,5.0,9
Correctness,Repair,DeepSeek,4.0,39
Correctness,Repair,Qwen,4.0,16
Understandability,One-shot,Llama,5.0,8
Understandability,One-shot,Mistral,4.5,2
Understandability,One-shot,DeepSeek,3.5,6
Understandability,One-shot,Qwen,2.5,2
Understandability,Few-shot,Llama,5.0,19
Understandability,Few-shot,Mistral,4.5,4
Understandability,Few-shot,DeepSeek,5.0,10
Understandability,Few-shot,Qwen,5.0,4
Understandability,RAG,Llama,4.5,10
Understandability,RAG,Mistral,5.0,8
Understandability,RAG,DeepSeek,5.0,8
Understandability,RAG,Qwen,4.0,6
Understandability,Repair,Llama,5.0,15
Understandability,Repair,Mistral,5.0,9
Understandability,Repair,DeepSeek,5.0,39
Understandability,Repair,Qwen,3.0,16
Terminology alignment,One-shot,Llama,4.5,8
Terminology alignment,One-shot,Mistral,3.5,2
Terminology alignment,One-shot,DeepSeek,4.0,6
Terminology alignment,One-shot,Qwen,3.0,2
Terminology alignment,Few-shot,Llama,5.0,19
Terminology alignment,Few-shot,Mistral,4.5,4
Terminology alignment,Few-shot,DeepSeek,5.0,10
Terminology alignment,Few-shot,Qwen,5.0,4
Terminology alignment,RAG,Llama,4.5,10
Terminology alignment,RAG,Mistral,4.0,8
Terminology alignment,RAG,DeepSeek,5.0,8
Terminology alignment,RAG,Qwen,2.5,6
Terminology alignment,Repair,Llama,4.0,15
Terminology alignment,Repair,Mistral,5.0,9
Terminology alignment,Repair,DeepSeek,5.0,39
Terminology alignment,Repair,Qwen,4.0,16
