table,evaluation_group,metric,method,model,value,n,total,raw
RAG Ablation,Automatic (accuracy),Structural validity,Rag (fully),llama,22.22,6,27,22.22% (n=6/27)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (fully),mistral,20.0,4,20,20.00% (n=4/20)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (fully),deepseek,17.39,4,23,17.39% (n=4/23)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (fully),qwen,14.81,4,27,14.81% (n=4/27)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only rules),llama,42.86,9,21,42.86% (n=9/21)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only rules),mistral,5.56,1,18,5.56% (n=1/18)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only rules),deepseek,18.18,4,22,18.18% (n=4/22)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only rules),qwen,50.0,11,22,50.00% (n=11/22)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only example),llama,15.38,4,26,15.38% (n=4/26)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only example),mistral,4.17,1,24,4.17% (n=1/24)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only example),deepseek,10.0,2,20,10.00% (n=2/20)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only example),qwen,12.0,3,25,12.00% (n=3/25)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only theory),llama,4.17,1,24,4.17% (n=1/24)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only theory),mistral,0.0,0,7,0.00% (n=0/7)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only theory),deepseek,0.0,0,17,0.00% (n=0/17)
RAG Ablation,Automatic (accuracy),Structural validity,Rag (only theory),qwen,4.55,1,22,4.55% (n=1/22)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (fully),llama,100.0,27,27,100.00% (n=27/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (fully),mistral,74.07,20,27,74.07% (n=20/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (fully),deepseek,85.19,23,27,85.19% (n=23/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (fully),qwen,100.0,27,27,100.00% (n=27/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only rules),llama,77.78,21,27,77.78% (n=21/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only rules),mistral,66.67,18,27,66.67% (n=18/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only rules),deepseek,81.48,22,27,81.48% (n=22/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only rules),qwen,81.48,22,27,81.48% (n=22/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only example),llama,96.3,26,27,96.30% (n=26/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only example),mistral,88.89,24,27,88.89% (n=24/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only example),deepseek,74.07,20,27,74.07% (n=20/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only example),qwen,92.59,25,27,92.59% (n=25/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only theory),llama,88.89,24,27,88.89% (n=24/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only theory),mistral,25.93,7,27,25.93% (n=7/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only theory),deepseek,62.96,17,27,62.96% (n=17/27)
RAG Ablation,Automatic (accuracy),Syntactic validity,Rag (only theory),qwen,81.48,22,27,81.48% (n=22/27)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (fully),llama,3.0,10,,3 (n=10)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (fully),mistral,4.5,8,,4.5 (n=8)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (fully),deepseek,4.5,8,,4.5 (n=8)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (fully),qwen,3.0,6,,3 (n=6)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only rules),llama,5.0,9,,5 (n=9)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only rules),mistral,2.0,1,,2 (n=1)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only rules),deepseek,4.5,4,,4.5 (n=4)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only rules),qwen,4.0,11,,4 (n=11)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only example),llama,3.5,4,,3.5 (n=4)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only example),mistral,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only example),deepseek,5.0,2,,5 (n=2)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only example),qwen,5.0,3,,5 (n=3)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only theory),llama,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only theory),mistral,,,,
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only theory),deepseek,,,,
RAG Ablation,Human (Likert scale 1-5),Completeness,Rag (only theory),qwen,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (fully),llama,3.0,10,,3 (n=10)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (fully),mistral,4.0,8,,4 (n=8)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (fully),deepseek,4.5,8,,4.5 (n=8)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (fully),qwen,2.5,6,,2.5 (n=6)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only rules),llama,4.0,9,,4 (n=9)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only rules),mistral,2.0,1,,2 (n=1)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only rules),deepseek,4.5,4,,4.5 (n=4)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only rules),qwen,4.0,11,,4 (n=11)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only example),llama,3.0,4,,3 (n=4)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only example),mistral,3.0,1,,3 (n=1)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only example),deepseek,5.0,2,,5 (n=2)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only example),qwen,4.0,3,,4 (n=3)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only theory),llama,3.0,1,,3 (n=1)
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only theory),mistral,,,,
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only theory),deepseek,,,,
RAG Ablation,Human (Likert scale 1-5),Correctness,Rag (only theory),qwen,5.0,1,,5 (n=1)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (fully),llama,4.5,10,,4.5 (n=10)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (fully),mistral,5.0,8,,5 (n=8)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (fully),deepseek,5.0,8,,5 (n=8)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (fully),qwen,4.0,6,,4 (n=6)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only rules),llama,5.0,9,,5 (n=9)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only rules),mistral,3.0,1,,3 (n=1)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only rules),deepseek,5.0,4,,5 (n=4)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only rules),qwen,5.0,11,,5 (n=11)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only example),llama,4.5,4,,4.5 (n=4)
RAG Ablation,Human (Likert scale 1-5),Understandability,Rag (only example),mistral,4.0,1,,4 (n=1)
