case_id,diagram_variant,generation_model,generation_method,original_diagram_name,rating_count,unique_evaluator_count,evaluator_ids,has_exactly_two_humans
case_01,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,3,3,18.0|19.0|2.0,False
case_01,A,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,3,3,1.0|15.0|3.0,False
case_01,B,Qwen 2.5 7B,baseline_repair,qwen25_7b_instruct__rag_repair__run_01.png,3,3,18.0|19.0|2.0,False
case_02,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,20.0|22.0,True
case_02,B,Llama 3.1 8B,baseline_repair,llama_3_1_8b_instruct__few_shot_repair__run_01.png,2,2,20.0|22.0,True
case_12,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,18.0|19.0,True
case_12,A,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,3,3,1.0|15.0|3.0,False
case_15,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,20.0|22.0,True
case_15,A,Mistral,few_shot,mistral__few_shot__run_01.png,2,2,11.0|14.0,True
case_16,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,18.0|19.0,True
case_16,A,Llama 3.1 8B,One-shot,llama_3_1_8b_instruct__one_shot__run_01.png,2,2,1.0|15.0,True
case_16,B,Qwen 2.5 7B,baseline_repair,qwen25_7b_instruct__rag_repair__run_01.png,2,2,18.0|19.0,True
case_18,A,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,2,2,1.0|15.0,True
case_18,A,Llama 3.1 8B,baseline_repair,llama_3_1_8b_instruct__few_shot_repair__run_01.png,2,2,18.0|19.0,True
case_18,B,DeepSeek R1 14B,rag,deepseek_r1_14b__rag__run_01.png,2,2,15.0|23.0,True
case_28,A,DeepSeek R1 14B,One-shot,deepseek_r1_14b__one_shot__run_01.png,2,2,1.0|15.0,True
case_28,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,14.0|26.0,True
case_28,B,Llama 3.1 8B,rag,llama_3_1_8b_instruct__rag__run_01.png,2,2,1.0|15.0,True
case_32,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,22.0|27.0,True
case_32,B,Mistral,baseline_repair,mistral__rag_repair__run_01.png,2,2,22.0|27.0,True
case_33,A,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,2,2,23.0|4.0,True
case_33,A,Mistral,baseline_repair,mistral__rag_repair__run_01.png,2,2,23.0|27.0,True
case_34,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,23.0|27.0,True
case_34,A,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,2,2,4.0|6.0,True
case_34,B,Qwen 2.5 7B,few_shot,qwen_2_5_7b_instruct__few_shot__run_01.png,2,2,4.0|6.0,True
case_37,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,23.0|27.0,True
case_37,A,Llama 3.1 8B,rag,llama_3_1_8b_instruct__rag__run_01.png,2,2,4.0|6.0,True
case_37,B,Qwen 2.5 7B,baseline_repair,qwen25_7b_instruct__rag_repair__run_01.png,2,2,23.0|27.0,True
case_39,A,DeepSeek R1 14B,baseline_repair,deepseek_r1_14b__few_shot_repair__run_01.png,2,2,23.0|28.0,True
