status,assigned_folder,case_number,diagram_number,folder_has_diagram,excel_response_count,evaluator_ids,excel_rows,folder_case_name,folder_diagram_file,folder_relative_path
MATCHED,Evaluation,1,A,yes,3,"15, 1, 3","56, 68, 106",case_01_healthcare_portal,a.png,Evaluation/case_01_healthcare_portal/a.png
MATCHED,Evaluation,12,A,yes,3,"15, 1, 3","57, 69, 131",case_12_business_process_outsourcing_bpo_management_system_2,a.png,Evaluation/case_12_business_process_outsourcing_bpo_management_system_2/a.png
EXCEL_RESPONSE_BUT_NO_FOLDER_DIAGRAM,Evaluation,14,B,no,1,14,3,,,
MATCHED,Evaluation,16,A,yes,2,"15, 1","58, 70",case_16_weather_monitoring_system,a.png,Evaluation/case_16_weather_monitoring_system/a.png
EXCEL_RESPONSE_BUT_NO_FOLDER_DIAGRAM,Evaluation,16,B,no,1,1,73,,,
MATCHED,Evaluation,18,A,yes,2,"15, 1","59, 72",case_18_digidoclocker,a.png,Evaluation/case_18_digidoclocker/a.png
MATCHED,Evaluation,18,B,yes,2,"15, 23","60, 132",case_18_digidoclocker,b.png,Evaluation/case_18_digidoclocker/b.png
MATCHED,Evaluation,28,A,yes,2,"15, 1","61, 74",case_28_ott_based_system_mini_reel,a.png,Evaluation/case_28_ott_based_system_mini_reel/a.png
MATCHED,Evaluation,28,B,yes,2,"15, 1","62, 75",case_28_ott_based_system_mini_reel,b.png,Evaluation/case_28_ott_based_system_mini_reel/b.png
MATCHED,Evaluation,33,A,yes,2,"4, 23","95, 133",case_33_farm_management_system,a.png,Evaluation/case_33_farm_management_system/a.png
EXCEL_RESPONSE_BUT_NO_FOLDER_DIAGRAM,Evaluation,33,E,no,1,6,12,,,
MATCHED,Evaluation,34,A,yes,2,"6, 4","13, 115",case_34_green_rides,a.png,Evaluation/case_34_green_rides/a.png
MATCHED,Evaluation,34,B,yes,2,"6, 4","63, 110",case_34_green_rides,b.png,Evaluation/case_34_green_rides/b.png
