case_id,human_best_rank,human_best_tie_count,candidate_id,model,method,human_mean_score,human_rating_count,puml_path,png_path
case_01_healthcare_portal,1,1,valid_002,Qwen_2.5_7B,syntax_grounded_repair,4.750000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_01_healthcare_portal/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_01_healthcare_portal/human_best.png
case_02_inventory,1,1,valid_006,DeepSeek_R1_14B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_02_inventory/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_02_inventory/human_best.png
case_12_business_process_outsourcing_bpo_management_system_2,1,1,valid_008,Qwen_2.5_7B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_12_business_process_outsourcing_bpo_management_system_2/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_12_business_process_outsourcing_bpo_management_system_2/human_best.png
case_15_e_ticketing_for_bus,1,1,valid_013,DeepSeek_R1_14B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_15_e_ticketing_for_bus/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_15_e_ticketing_for_bus/human_best.png
case_16_weather_monitoring_system,1,1,valid_015,Mistral,syntax_grounded_repair,4.500000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_16_weather_monitoring_system/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_16_weather_monitoring_system/human_best.png
case_18_digidoclocker,1,2,valid_019,Llama_3.1_8B,baseline_repair,4.125000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_18_digidoclocker/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_18_digidoclocker/human_best.png
case_18_digidoclocker,2,2,valid_020,Llama_3.1_8B,syntax_grounded_repair,4.125000,2,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_18_digidoclocker/human_best_tie_02.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_18_digidoclocker/human_best_tie_02.png
case_28_ott_based_system_mini_reel,1,1,valid_022,DeepSeek_R1_14B,syntax_grounded_repair,4.750000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_28_ott_based_system_mini_reel/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_28_ott_based_system_mini_reel/human_best.png
case_32_e_visa_processing_and_follow_up_system,1,1,valid_027,DeepSeek_R1_14B,syntax_grounded_repair,4.750000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_32_e_visa_processing_and_follow_up_system/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_32_e_visa_processing_and_follow_up_system/human_best.png
case_33_farm_management_system,1,1,valid_030,Llama_3.1_8B,syntax_grounded_repair,4.250000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_33_farm_management_system/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_33_farm_management_system/human_best.png
case_34_green_rides,1,1,valid_031,Qwen_2.5_7B,syntax_grounded_repair,5.000000,1,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_34_green_rides/human_best.puml,final_results/meta_ensemble/human_best_analysis/human_best_diagrams/case_34_green_rides/human_best.png
