repair_method,model,round,initially_structurally_valid,entering_round,newly_structurally_valid,remaining_structurally_invalid,cumulative_structurally_valid,total_cases
syntax_grounded,Llama,R1,8,19,7,12,15,27
syntax_grounded,Llama,R2,8,12,1,11,16,27
syntax_grounded,Llama,R3,8,11,0,11,16,27
syntax_grounded,Llama,R4,8,11,1,10,17,27
syntax_grounded,Llama,R5,8,10,0,10,17,27
syntax_grounded,Mistral,R1,4,23,2,21,6,27
syntax_grounded,Mistral,R2,4,21,2,19,8,27
syntax_grounded,Mistral,R3,4,19,0,19,8,27
syntax_grounded,Mistral,R4,4,19,1,18,9,27
syntax_grounded,Mistral,R5,4,18,1,17,10,27
syntax_grounded,DeepSeek,R1,6,21,9,12,15,27
syntax_grounded,DeepSeek,R2,6,12,4,8,19,27
syntax_grounded,DeepSeek,R3,6,8,3,5,22,27
syntax_grounded,DeepSeek,R4,6,5,0,5,22,27
syntax_grounded,DeepSeek,R5,6,5,0,5,22,27
syntax_grounded,Qwen,R1,4,23,9,14,13,27
syntax_grounded,Qwen,R2,4,14,0,14,13,27
syntax_grounded,Qwen,R3,4,14,0,14,13,27
syntax_grounded,Qwen,R4,4,14,1,13,14,27
syntax_grounded,Qwen,R5,4,13,0,13,14,27
