assigned_folder,case_id,diagram_variant,evaluator_id,generation_model,generation_method,original_diagram_name,completeness_score,correctness_score,understandability_score,terminology_alignment_score,completeness_justification,correctness_justification,understandability_justification,terminology_alignment_justification,combined_justifications,combined_meaning
Evaluation,case_18,A,15.0,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,3.0,5.0,5.0,5.0,"View profile missing, after registration forward to login transition missing",N/A,N/A,N/A,"Completeness: View profile missing, after registration forward to login transition missing",Missing state/concept/requirement detail; Missing transition/path
Evaluation,case_18,A,1.0,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,4.0,3.0,2.0,5.0,"- No specification on when one goes from unregistered to registered citizen.
- After Sending request to issuer is not mentioned.","- Login credential check is not mentioned
- User can go to Done state from any other state.",- No methods/input/output,N/A,Completeness: - No specification on when one goes from unregistered to registered citizen. - After Sending request to issuer is not mentioned. | Correctness: - Login credential check is not mentioned - User can go to Done state from any other state. | Understandability: - No methods/input/output,Missing state/concept/requirement detail; Missing guard/event/label/action; Readability/clarity issue
Evaluation,case_33,A,4.0,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,3.0,3.0,5.0,4.0,Some parts are missing,All conditions are not present,N/A,Some are missing,Completeness: Some parts are missing | Correctness: All conditions are not present | Terminology: Some are missing,Missing state/concept/requirement detail; Missing guard/event/label/action; Terminology/naming mismatch
Evaluation,case_33,A,23.0,DeepSeek R1 14B,few_shot,deepseek_r1_14b__few_shot__run_01.png,3.0,3.0,4.0,5.0,"user inputs (location, pest control photo etc.) missing","system should ask for location, photo etc. user input where needed",the diagram could be more readable,N/A,"Completeness: user inputs (location, pest control photo etc.) missing | Correctness: system should ask for location, photo etc. user input where needed | Understandability: the diagram could be more readable",Missing state/concept/requirement detail; Missing guard/event/label/action; Readability/clarity issue
Evaluation,case_34,A,6.0,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,5.0,5.0,5.0,5.0,N/A,N/A,N/A,N/A,,No issue mentioned
Evaluation,case_34,A,4.0,Llama 3.1 8B,few_shot,llama_3_1_8b_instruct__few_shot__run_01.png,4.0,4.0,5.0,5.0,some states are missing,some logic is missing,N/A,N/A,Completeness: some states are missing | Correctness: some logic is missing,Missing state/concept/requirement detail; Wrong or inconsistent logic/flow
Evaluation,case_34,B,6.0,Qwen 2.5 7B,few_shot,qwen_2_5_7b_instruct__few_shot__run_01.png,5.0,4.0,5.0,5.0,N/A,Accident -> Feedback transition should not exist.,N/A,N/A,Correctness: Accident -> Feedback transition should not exist.,Wrong or inconsistent logic/flow; Extra/unsupported/redundant behavior
Evaluation,case_34,B,4.0,Qwen 2.5 7B,few_shot,qwen_2_5_7b_instruct__few_shot__run_01.png,4.0,4.0,5.0,5.0,Some transitions are missing,Some logic are not aligned with the description,N/A,N/A,Completeness: Some transitions are missing | Correctness: Some logic are not aligned with the description,Missing transition/path; Wrong or inconsistent logic/flow
Evaluation,case_45,B,14.0,Qwen 2.5 7B,few_shot,qwen_2_5_7b_instruct__few_shot__run_01.png,5.0,5.0,5.0,4.0,N/A,N/A,N/A,User keyword not used in state names and text,Terminology: User keyword not used in state names and text,Terminology/naming mismatch
Evaluation,case_45,B,10.0,Qwen 2.5 7B,few_shot,qwen_2_5_7b_instruct__few_shot__run_01.png,4.0,4.0,5.0,5.0,"One case of transition is missing in the diagram- he system shall ensure that the user shall be able to turn off the activated alarm.

The diagram shows no such path from ""Alarm Set"" to ""Off"" if the user wants to turn the alarm off before ringing.","Missed one logical behavior—the path from ""Alarm Set"" to ""Off"" if the user wants to turn off the alarm before it reaches the time to ring.",N/A,N/A,"Completeness: One case of transition is missing in the diagram- he system shall ensure that the user shall be able to turn off the activated alarm. The diagram shows no such path from ""Alarm Set"" to ""Off"" if the user wants to turn the alarm off before ringing. | Correctness: Missed one logical behavior—the path from ""Alarm Set"" to ""Off"" if the user wants to turn off the alarm before it reaches the time to ring.",Missing state/concept/requirement detail; Missing transition/path; Wrong or inconsistent logic/flow
