model,method,case_id,case_number,attempted_repair_iterations,accepted_repair_iterations,repair_success,final_plantuml_valid,final_structural_valid,initial_violation_count,final_violation_count,review_folder,copied_files
DeepSeek R1 14B,Few-shot + Repair,case_01_healthcare_portal,1,4,4,True,True,True,3,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_four_iterations/case_01_healthcare_portal,18
DeepSeek R1 14B,Few-shot + Repair,case_02_inventory,2,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_02_inventory,9
DeepSeek R1 14B,Few-shot + Repair,case_12_business_process_outsourcing_bpo_management_system_2,12,2,2,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_two_iterations/case_12_business_process_outsourcing_bpo_management_system_2,12
DeepSeek R1 14B,Few-shot + Repair,case_15_e_ticketing_for_bus,15,2,2,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_two_iterations/case_15_e_ticketing_for_bus,12
DeepSeek R1 14B,Few-shot + Repair,case_16_weather_monitoring_system,16,3,3,True,True,True,4,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_three_iterations/case_16_weather_monitoring_system,15
DeepSeek R1 14B,Few-shot + Repair,case_18_digidoclocker,18,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_zero_iterations/case_18_digidoclocker,6
DeepSeek R1 14B,Few-shot + Repair,case_28_ott_based_system_mini_reel,28,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_28_ott_based_system_mini_reel,9
DeepSeek R1 14B,Few-shot + Repair,case_32_e_visa_processing_and_follow_up_system,32,4,4,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_four_iterations/case_32_e_visa_processing_and_follow_up_system,18
DeepSeek R1 14B,Few-shot + Repair,case_33_farm_management_system,33,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_zero_iterations/case_33_farm_management_system,6
DeepSeek R1 14B,Few-shot + Repair,case_34_green_rides,34,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_34_green_rides,9
DeepSeek R1 14B,Few-shot + Repair,case_37_online_quiz_system,37,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_37_online_quiz_system,9
DeepSeek R1 14B,Few-shot + Repair,case_39_website_development,39,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_39_website_development,9
DeepSeek R1 14B,Few-shot + Repair,case_45_alarm_clock,45,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_45_alarm_clock,9
DeepSeek R1 14B,Few-shot + Repair,case_46_digital_watch,46,3,3,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_three_iterations/case_46_digital_watch,15
DeepSeek R1 14B,Few-shot + Repair,case_47_safehome_security_function,47,1,1,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_47_safehome_security_function,9
DeepSeek R1 14B,Few-shot + Repair,case_51_process_sale,51,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_zero_iterations/case_51_process_sale,6
DeepSeek R1 14B,Few-shot + Repair,case_52_microwave_oven,52,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_52_microwave_oven,9
DeepSeek R1 14B,Few-shot + Repair,case_54_weather_station_system,54,1,1,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_54_weather_station_system,9
DeepSeek R1 14B,Few-shot + Repair,case_59_atm_1,59,2,2,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_two_iterations/case_59_atm_1,12
DeepSeek R1 14B,Few-shot + Repair,case_60_atm_2,60,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_zero_iterations/case_60_atm_2,6
DeepSeek R1 14B,Few-shot + Repair,case_70_atm_many_scenarios_7,70,1,1,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_70_atm_many_scenarios_7,9
DeepSeek R1 14B,Few-shot + Repair,case_75_graderate,75,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_zero_iterations/case_75_graderate,6
DeepSeek R1 14B,Few-shot + Repair,case_78_class_campaign_version_2,78,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_zero_iterations/case_78_class_campaign_version_2,6
DeepSeek R1 14B,Few-shot + Repair,case_80_staff_member_class,80,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/deepseek/repair_at_once/case_80_staff_member_class,9
Llama 3.1 8B Instruct,Few-shot + Repair,case_01_healthcare_portal,1,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_01_healthcare_portal,6
Llama 3.1 8B Instruct,Few-shot + Repair,case_02_inventory,2,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_once/case_02_inventory,9
Llama 3.1 8B Instruct,Few-shot + Repair,case_12_business_process_outsourcing_bpo_management_system_2,12,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_12_business_process_outsourcing_bpo_management_system_2,6
Llama 3.1 8B Instruct,Few-shot + Repair,case_18_digidoclocker,18,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_once/case_18_digidoclocker,9
Llama 3.1 8B Instruct,Few-shot + Repair,case_34_green_rides,34,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_34_green_rides,6
Llama 3.1 8B Instruct,Few-shot + Repair,case_39_website_development,39,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_39_website_development,6
Llama 3.1 8B Instruct,Few-shot + Repair,case_41_video_suggestion_system,41,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_once/case_41_video_suggestion_system,9
Llama 3.1 8B Instruct,Few-shot + Repair,case_45_alarm_clock,45,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_once/case_45_alarm_clock,9
Llama 3.1 8B Instruct,Few-shot + Repair,case_47_safehome_security_function,47,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_47_safehome_security_function,6
Llama 3.1 8B Instruct,Few-shot + Repair,case_51_process_sale,51,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_once/case_51_process_sale,9
Llama 3.1 8B Instruct,Few-shot + Repair,case_54_weather_station_system,54,3,3,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_three_iterations/case_54_weather_station_system,15
Llama 3.1 8B Instruct,Few-shot + Repair,case_59_atm_1,59,1,1,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_once/case_59_atm_1,9
Llama 3.1 8B Instruct,Few-shot + Repair,case_60_atm_2,60,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_60_atm_2,6
Llama 3.1 8B Instruct,Few-shot + Repair,case_67_atm_many_scenarios_1,67,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_67_atm_many_scenarios_1,6
Llama 3.1 8B Instruct,Few-shot + Repair,case_75_graderate,75,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/llama/repair_at_zero_iterations/case_75_graderate,6
Mistral,RAG + Repair,case_32_e_visa_processing_and_follow_up_system,32,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_once/case_32_e_visa_processing_and_follow_up_system,9
Mistral,RAG + Repair,case_33_farm_management_system,33,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_once/case_33_farm_management_system,9
Mistral,RAG + Repair,case_41_video_suggestion_system,41,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_zero_iterations/case_41_video_suggestion_system,6
Mistral,RAG + Repair,case_51_process_sale,51,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_zero_iterations/case_51_process_sale,6
Mistral,RAG + Repair,case_60_atm_2,60,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_zero_iterations/case_60_atm_2,6
Mistral,RAG + Repair,case_65_plane,65,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_once/case_65_plane,9
Mistral,RAG + Repair,case_75_graderate,75,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_zero_iterations/case_75_graderate,6
Mistral,RAG + Repair,case_80_staff_member_class,80,2,2,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/mistral/repair_at_two_iterations/case_80_staff_member_class,12
Qwen 2.5 7B Instruct,RAG + Repair,case_01_healthcare_portal,1,2,2,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/qwen/repair_at_two_iterations/case_01_healthcare_portal,12
Qwen 2.5 7B Instruct,RAG + Repair,case_16_weather_monitoring_system,16,2,2,True,True,True,2,0,results/plantuml_pipeline/repair_iteration_review/qwen/repair_at_two_iterations/case_16_weather_monitoring_system,12
Qwen 2.5 7B Instruct,RAG + Repair,case_37_online_quiz_system,37,1,1,True,True,True,1,0,results/plantuml_pipeline/repair_iteration_review/qwen/repair_at_once/case_37_online_quiz_system,9
Qwen 2.5 7B Instruct,RAG + Repair,case_41_video_suggestion_system,41,0,0,True,True,True,0,0,results/plantuml_pipeline/repair_iteration_review/qwen/repair_at_zero_iterations/case_41_video_suggestion_system,6
