case_number,diagram_number,original_diagram_name,available_responses,selected_evaluator_1,selected_evaluator_2,selection_mean_abs_diff,selection_overall_abs_diff,selection_max_abs_diff
1.0,A,llama_3_1_8b_instruct__few_shot__run_01.png,3,15.0,1.0,0.5,0.5,1.0
12.0,A,llama_3_1_8b_instruct__few_shot__run_01.png,3,1.0,3.0,0.5,0.0,1.0
39.0,B,llama_3_1_8b_instruct__few_shot__run_01.png,3,6.0,23.0,0.75,0.25,1.0
1.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,3,19.0,2.0,1.5,0.0,3.0
1.0,B,qwen25_7b_instruct__rag_repair__run_01.png,3,19.0,2.0,1.0,1.0,2.0
52.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,3,25.0,28.0,0.25,0.25,1.0
59.0,A,deepseek_r1_14b__few_shot_repair__run_01.png,3,28.0,2.0,0.0,0.0,0.0
59.0,B,llama_3_1_8b_instruct__few_shot_repair__run_01.png,3,25.0,28.0,0.75,0.25,1.0
59.0,C,qwen25_7b_instruct__rag_repair__run_01.png,3,25.0,28.0,0.75,0.25,2.0
65.0,A,mistral__rag_repair__run_01.png,3,25.0,2.0,0.0,0.0,0.0
