diagram_id,case_id,criterion,deepseek_score,llama_score,prometheus_score,generator_model,repair_strategy
diagram_08a849211701,case_45_alarm_clock,completeness,5,3,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_08a849211701,case_45_alarm_clock,correctness,5,2,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_08a849211701,case_45_alarm_clock,understandability,5,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_08a849211701,case_45_alarm_clock,terminological_alignment,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_18069852ccc5,case_51_process_sale,completeness,5,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_18069852ccc5,case_51_process_sale,correctness,5,3,4,Llama_3.1_8B,syntax_grounded_repair
diagram_18069852ccc5,case_51_process_sale,understandability,5,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_18069852ccc5,case_51_process_sale,terminological_alignment,5,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,completeness,3,3,3,Mistral,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,correctness,4,2,,Mistral,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,understandability,4,4,,Mistral,syntax_grounded_repair
diagram_1b1b9b3fc6a3,case_39_website_development,terminological_alignment,4,5,3,Mistral,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,completeness,3,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,correctness,4,2,3,Llama_3.1_8B,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,understandability,4,3,3,Llama_3.1_8B,syntax_grounded_repair
diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,terminological_alignment,3,1,4,Llama_3.1_8B,syntax_grounded_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,completeness,3,5,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,correctness,4,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,understandability,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2616d52bfe70,case_15_e_ticketing_for_bus,terminological_alignment,4,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2d69bd8b350f,case_78_class_campaign_version_2,completeness,4,4,5,Mistral,syntax_grounded_repair
diagram_2d69bd8b350f,case_78_class_campaign_version_2,correctness,4,3,4,Mistral,syntax_grounded_repair
diagram_2d69bd8b350f,case_78_class_campaign_version_2,understandability,4,5,3,Mistral,syntax_grounded_repair
diagram_2d69bd8b350f,case_78_class_campaign_version_2,terminological_alignment,5,4,5,Mistral,syntax_grounded_repair
diagram_2f62a7a70a24,case_52_microwave_oven,completeness,5,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2f62a7a70a24,case_52_microwave_oven,correctness,5,3,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2f62a7a70a24,case_52_microwave_oven,understandability,5,5,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2f62a7a70a24,case_52_microwave_oven,terminological_alignment,5,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_2fcc1f4afac3,case_33_farm_management_system,completeness,4,4,3,Llama_3.1_8B,syntax_grounded_repair
diagram_2fcc1f4afac3,case_33_farm_management_system,correctness,4,3,2,Llama_3.1_8B,syntax_grounded_repair
diagram_2fcc1f4afac3,case_33_farm_management_system,understandability,4,5,1,Llama_3.1_8B,syntax_grounded_repair
diagram_2fcc1f4afac3,case_33_farm_management_system,terminological_alignment,4,4,1,Llama_3.1_8B,syntax_grounded_repair
diagram_35e83cef1b26,case_54_weather_station_system,completeness,3,4,4,Llama_3.1_8B,syntax_grounded_repair
diagram_35e83cef1b26,case_54_weather_station_system,correctness,2,2,3,Llama_3.1_8B,syntax_grounded_repair
diagram_35e83cef1b26,case_54_weather_station_system,understandability,3,3,3,Llama_3.1_8B,syntax_grounded_repair
diagram_35e83cef1b26,case_54_weather_station_system,terminological_alignment,2,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,completeness,4,4,3,Mistral,syntax_grounded_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,correctness,3,2,,Mistral,syntax_grounded_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,understandability,5,5,,Mistral,syntax_grounded_repair
diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,terminological_alignment,3,4,1,Mistral,syntax_grounded_repair
diagram_3762ee8a314d,case_02_inventory,completeness,2,4,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_3762ee8a314d,case_02_inventory,correctness,4,1,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_3762ee8a314d,case_02_inventory,understandability,5,2,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_3762ee8a314d,case_02_inventory,terminological_alignment,4,1,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_4cbb66801f45,case_70_atm_many_scenarios_7,completeness,3,4,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_4cbb66801f45,case_70_atm_many_scenarios_7,correctness,3,3,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_4cbb66801f45,case_70_atm_many_scenarios_7,understandability,4,5,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_4cbb66801f45,case_70_atm_many_scenarios_7,terminological_alignment,5,4,4,Qwen_2.5_7B,syntax_grounded_repair
diagram_584115cefc97,case_45_alarm_clock,completeness,5,4,5,Llama_3.1_8B,syntax_grounded_repair
diagram_584115cefc97,case_45_alarm_clock,correctness,4,2,4,Llama_3.1_8B,syntax_grounded_repair
diagram_584115cefc97,case_45_alarm_clock,understandability,4,5,4,Llama_3.1_8B,syntax_grounded_repair
diagram_584115cefc97,case_45_alarm_clock,terminological_alignment,3,4,,Llama_3.1_8B,syntax_grounded_repair
diagram_5ab4518d7115,case_80_staff_member_class,completeness,1,2,5,Mistral,syntax_grounded_repair
diagram_5ab4518d7115,case_80_staff_member_class,correctness,1,1,1,Mistral,syntax_grounded_repair
diagram_5ab4518d7115,case_80_staff_member_class,understandability,4,4,1,Mistral,syntax_grounded_repair
diagram_5ab4518d7115,case_80_staff_member_class,terminological_alignment,1,2,,Mistral,syntax_grounded_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,completeness,2,4,3,DeepSeek_R1_14B,syntax_grounded_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,correctness,3,3,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,understandability,4,5,,DeepSeek_R1_14B,syntax_grounded_repair
diagram_5c657605103c,case_28_ott_based_system_mini_reel,terminological_alignment,3,4,4,DeepSeek_R1_14B,syntax_grounded_repair
diagram_5d3d7dd2a7e1,case_46_digital_watch,completeness,3,4,5,Qwen_2.5_7B,syntax_grounded_repair
diagram_5d3d7dd2a7e1,case_46_digital_watch,correctness,4,2,4,Qwen_2.5_7B,syntax_grounded_repair
