source_sheet,source_excel_row,timestamp,evaluator_id,affiliation,experience,case_number,diagram_name,llm_used,method,llm_key,method_key,completeness,completeness_justification,correctness,correctness_justification,understandability,understandability_justification,terminology_alignment,terminology_alignment_justification,consent
maymuna,2,,,,,1,qwen25_7b_instruct__rag_examples_only__run_01,Qwen 2.5 7B Instruct,RAG examples only,qwen25_7b_instruct,rag_examples_only,5.0,,4.0,some logical flow seems invalid. like the diagram is sequencial but there should be some flow like ;finish the session after viewing a result' are not present in the diagram.,5.0,,5.0,,
maymuna,3,,,,,12,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,5.0,,4.0,"This shouldn't be sequential, must have a choice node. like category and price range can be selected from the start",5.0,,5.0,,
maymuna,4,,,,,16,llama_3_1_8b_instruct__rag_examples_only__run_01.png,Llama 3.1 8B Instruct,RAG examples only,llama_3_1_8b_instruct,rag_examples_only,2.0,"missed requirements:  login to existing account,new location checking,temperature, humidity, rainfall, pressure, or dew point checking.",3.0,"some flow are missing and some are added which are not present in the requirement. Like improper login, then also register to new user login is a wrong flow. ",5.0,,5.0,,
maymuna,5,,,,,16,llama_3_1_8b_instruct__rag_rules_only__run_01.png,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,3.0,"the main requirements are present but missed details. like checking (temperature, humidity, rainfall, pressure, or dew point) if the location is valid. Also extra info weather details (alerts, a weekly analysis, a future prediction, or a graph).",5.0,,5.0,,5.0,,
maymuna,6,,,,,16,qwen25_7b_instruct__rag_rules_only__run_01.png,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,2.0,"requirement missing: like checking (temperature, humidity, rainfall, pressure, or dew point) if the location is valid. Also extra info weather details (alerts, a weekly analysis, a future prediction, or a graph) login to existing account,new location checking",3.0,"sequentical, branching is not done. like current location and new location two branching should be done",5.0,,3.0,The state names are not reflecting the work properly.,
maymuna,7,,,,,28,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,5.0,,5.0,,5.0,,5.0,,
maymuna,8,,,,,33,qwen25_7b_instruct__rag_theory_only__run_01,Qwen 2.5 7B Instruct,RAG state-rules/theory only,qwen25_7b_instruct,rag_theory_only,5.0,,5.0,,5.0,,5.0,,
maymuna,9,,,,,34,llama_3_1_8b_instruct__rag_rules_only__run_01,Llama 3.1 8B Instruct,RAG PlantUML/rules only,llama_3_1_8b_instruct,rag_rules_only,4.0,login and destination selection option is not found,4.0,"Transition is sequential, like providing a feedback or accicent notification should be connected to the start state. ",5.0,,5.0,,
maymuna,10,,,,,34,llama_3_1_8b_instruct__rag_theory_only__run_01,Llama 3.1 8B Instruct,RAG state-rules/theory only,llama_3_1_8b_instruct,rag_theory_only,5.0,,3.0,"Transition is sequential, like providing a feedback or accicent notification should be connected to the start state. Also wrong transition choose other options to select to eat.",5.0,,5.0,,
maymuna,11,,,,,37,deepseek_r1_14b__rag_examples_only__run_01,DeepSeek R1 14B,RAG examples only,deepseek_r1_14b,rag_examples_only,5.0,,5.0,,4.0,in some place two transition is seen and the 1st choice node was not necessary. ,5.0,,
maymuna,12,,,,,39,deepseek_r1_14b__rag_rules_only__run_01,DeepSeek R1 14B,RAG PlantUML/rules only,deepseek_r1_14b,rag_rules_only,3.0,"requirement: check submitted job applications is missing from the diagram, also transition label missing ( user selecting career or project then projectinfo shown)",5.0,,5.0,,4.0,naming like applicationform is not correct. doesn't contain full information,
maymuna,13,,,,,39,mistral__rag_rules_only__run_01,Mistral,RAG PlantUML/rules only,mistral,rag_rules_only,2.0,no transition is define,2.0,logical flow is not correct as user can choose career oppurtunities from the start,3.0,the diagram is confusing as can't understand where is it going,4.0,naming like applicationform is not correct. doesn't contain full information,
maymuna,14,,,,,39,qwen25_7b_instruct__rag_rules_only__run_01,Qwen 2.5 7B Instruct,RAG PlantUML/rules only,qwen25_7b_instruct,rag_rules_only,3.0,"requirement: check submitted job applications is missing from the diagram, also transition label missing ( user selecting career or project then projectinfo shown)",5.0,,5.0,,4.0,naming like applicationform is not correct. doesn't contain full information,
maymuna,15,,,,,41,llama_3_1_8b_instruct__rag_examples_only__run_01,Llama 3.1 8B Instruct,RAG examples only,llama_3_1_8b_instruct,rag_examples_only,5.0,,5.0,,5.0,,5.0,,
