evaluation_id,case_id,model,method,source_run_id,content_sha256,puml_path,png_path,requirement_path
diagram_001,case_01_healthcare_portal,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_no_rules_original_rag,d12a41763789cbb7c186298e5c01e672efa562d6194c73786b1c2b098908c5d1,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_01_healthcare_portal/diagram_001.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_01_healthcare_portal/diagram_001.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_01_healthcare_portal/requirement.txt
diagram_002,case_02_inventory,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,845b5976b5cf2bcdcaa3777e13bcfd3bd4ce558922683fd68c26c301b8abbbe2,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_02_inventory/diagram_002.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_02_inventory/diagram_002.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_02_inventory/requirement.txt
diagram_003,case_12_business_process_outsourcing_bpo_management_system_2,Qwen_2.5_7B,syntax_grounded_repair,open_source__qwen25_7b_instruct__rag_validation_generator_critic_repair__syntax_grounded_no_rules_original_rag,18fe4a01d775ad7ec01ab37a4032cfe61852b923e6b01b7ed6fce667259d3c32,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_12_business_process_outsourcing_bpo_management_system_2/diagram_003.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_12_business_process_outsourcing_bpo_management_system_2/diagram_003.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_12_business_process_outsourcing_bpo_management_system_2/requirement.txt
diagram_004,case_12_business_process_outsourcing_bpo_management_system_2,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,5a624314bfb2921b1f3d483863467888ddd9ca0420c33191243d27a1173503ae,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_12_business_process_outsourcing_bpo_management_system_2/diagram_004.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_12_business_process_outsourcing_bpo_management_system_2/diagram_004.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_12_business_process_outsourcing_bpo_management_system_2/requirement.txt
diagram_005,case_15_e_ticketing_for_bus,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,87bd45c0755e9567ea044086473c750d8f3d805f0917b9e210db2acff3d3a02b,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_15_e_ticketing_for_bus/diagram_005.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_15_e_ticketing_for_bus/diagram_005.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_15_e_ticketing_for_bus/requirement.txt
diagram_006,case_16_weather_monitoring_system,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,4c3637b2767c1dd4805a7d600d6202f72ecb545a70ffe9fab85236156f7bbec2,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_16_weather_monitoring_system/diagram_006.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_16_weather_monitoring_system/diagram_006.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_16_weather_monitoring_system/requirement.txt
diagram_007,case_16_weather_monitoring_system,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,7d018ada247c8d1967d3fbef7105c50a6d021f28f5e5a6d5ed64de8dafb2f7af,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_16_weather_monitoring_system/diagram_007.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_16_weather_monitoring_system/diagram_007.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_16_weather_monitoring_system/requirement.txt
diagram_008,case_28_ott_based_system_mini_reel,DeepSeek_R1_14B,syntax_grounded_repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair__syntax_grounded_no_rules,141d066531b76d5e04176f4284191ade6769a783cc28ab607dc57347fc8c89f5,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_28_ott_based_system_mini_reel/diagram_008.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_28_ott_based_system_mini_reel/diagram_008.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_28_ott_based_system_mini_reel/requirement.txt
diagram_009,case_28_ott_based_system_mini_reel,Llama_3.1_8B,syntax_grounded_repair,open_source__llama31_8b_instruct__few_shot_validation_generator_critic_repair__syntax_grounded,9bf4dc6f01c20204d1d73e866a92b9f7edb8dc1d088148347798e5c78a081547,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_28_ott_based_system_mini_reel/diagram_009.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_28_ott_based_system_mini_reel/diagram_009.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_28_ott_based_system_mini_reel/requirement.txt
diagram_010,case_32_e_visa_processing_and_follow_up_system,Mistral,syntax_grounded_repair,open_source__mistral__rag_validation_generator_critic_repair__syntax_grounded,64ea853f757b0e7d8ea4c687ef3a691b5e0b0f51652cfde84e33bf47f1ef345b,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_32_e_visa_processing_and_follow_up_system/diagram_010.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_32_e_visa_processing_and_follow_up_system/diagram_010.png,/Users/faria/State_transition_Diagram_generated_by_LLM/final_results/need_to_validate_by_human/case_32_e_visa_processing_and_follow_up_system/requirement.txt
