llm_name,method_name,case_id,candidate_path,ground_truth_path,embedding_model,similarity_threshold,relaxed_similarity_threshold,ground_truth_states,candidate_states,matched_state_pairs,missing_ground_truth_states,extra_candidate_states,ground_truth_state_count,candidate_state_count,matched_state_count,missing_state_count,extra_state_count,semantic_state_precision,semantic_state_recall,semantic_state_f1
DeepSeek_R1_14B,few_shot,case_01_healthcare_portal,results\plantuml_pipeline_run2\runs\open_source__deepseek_r1_14b__few_shot\case_01_healthcare_portal\run_01.puml,dataset\case_01_healthcare_portal\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""FitnessOptions"",""HealthInfo"",""Home"",""InsuranceValidation"",""SignIn"",""News/Expert Content"",""Registration"",""Registration Failed"",""SymptomCheck""]","[{""ground_truth_state"":""Check fitness"",""candidate_state"":""FitnessOptions"",""ground_truth_normalized"":""check fitness"",""candidate_normalized"":""fitness options"",""similarity"":0.747912,""match_type"":""relaxed""},{""ground_truth_state"":""Login"",""candidate_state"":""SignIn"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""News/Expert Content"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news/expert content"",""similarity"":0.83758,""match_type"":""strict""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""SymptomCheck"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""symptoms checker"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Cash"",""Facilities"",""Feedback"",""Finance"",""Logout"",""Payment""]","[""HealthInfo"",""Home"",""InsuranceValidation"",""Registration Failed""]",12,9,5,7,4,0.555556,0.416667,0.47619
Llama_3.1_8B,few_shot,case_01_healthcare_portal,results\plantuml_pipeline_run2\runs\open_source__llama31_8b_instruct__few_shot\case_01_healthcare_portal\run_01.puml,dataset\case_01_healthcare_portal\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""Access Facilities"",""Cash Payment Details"",""Health Information"",""Insurance-Based Payments"",""Login"",""Logout"",""News and Expert Content"",""Payment Process"",""Registration"",""User Feedback""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""Cash Payment Details"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash payment details"",""similarity"":0.58581,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Facilities"",""candidate_state"":""Access Facilities"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""access facilities"",""similarity"":0.778238,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Feedback"",""candidate_state"":""User Feedback"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""user feedback"",""similarity"":0.851441,""match_type"":""strict""},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""News and Expert Content"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news and expert content"",""similarity"":0.844819,""match_type"":""strict""},{""ground_truth_state"":""Payment"",""candidate_state"":""Payment Process"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment process"",""similarity"":0.80333,""match_type"":""strict""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Check fitness"",""Finance"",""Symptoms checker""]","[""Health Information"",""Insurance-Based Payments""]",12,10,8,4,2,0.8,0.666667,0.727273
Mistral,rag,case_01_healthcare_portal,results\plantuml_pipeline_run2\runs\open_source__mistral__rag\case_01_healthcare_portal\run_01.puml,dataset\case_01_healthcare_portal\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]",[],[],"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]",[],12,0,0,12,0,0.0,0.0,0.0
Qwen_2.5_7B,rag,case_01_healthcare_portal,results\plantuml_pipeline_run2\runs\open_source__qwen25_7b_instruct__rag\case_01_healthcare_portal\run_01.puml,dataset\case_01_healthcare_portal\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Apply"",""Cash"",""Check fitness"",""Facilities"",""Feedback"",""Finance"",""Login"",""Logout"",""News and Experts"",""Payment"",""Register"",""Symptoms checker""]","[""CashDetails"",""FacilityAccess"",""FeedbackCollection"",""InsurancePayment"",""InsuranceProcessing"",""Login"",""Logout"",""NewsAndContent"",""PaymentSelection"",""Registration"",""SymptomChecker""]","[{""ground_truth_state"":""Cash"",""candidate_state"":""CashDetails"",""ground_truth_normalized"":""cash"",""candidate_normalized"":""cash details"",""similarity"":0.76589,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Facilities"",""candidate_state"":""FacilityAccess"",""ground_truth_normalized"":""facilities"",""candidate_normalized"":""facility access"",""similarity"":0.782966,""match_type"":""relaxed""},{""ground_truth_state"":""Feedback"",""candidate_state"":""FeedbackCollection"",""ground_truth_normalized"":""feedback"",""candidate_normalized"":""feedback collection"",""similarity"":0.722265,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Login"",""candidate_state"":""Login"",""ground_truth_normalized"":""login"",""candidate_normalized"":""login"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Logout"",""candidate_state"":""Logout"",""ground_truth_normalized"":""logout"",""candidate_normalized"":""logout"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""News and Experts"",""candidate_state"":""NewsAndContent"",""ground_truth_normalized"":""news and experts"",""candidate_normalized"":""news and content"",""similarity"":0.627486,""match_type"":""relaxed""},{""ground_truth_state"":""Payment"",""candidate_state"":""PaymentSelection"",""ground_truth_normalized"":""payment"",""candidate_normalized"":""payment selection"",""similarity"":0.70913,""match_type"":""relaxed_lexical""},{""ground_truth_state"":""Register"",""candidate_state"":""Registration"",""ground_truth_normalized"":""registration"",""candidate_normalized"":""registration"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Symptoms checker"",""candidate_state"":""SymptomChecker"",""ground_truth_normalized"":""symptoms checker"",""candidate_normalized"":""symptoms checker"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Apply"",""Check fitness"",""Finance""]","[""InsurancePayment"",""InsuranceProcessing""]",12,11,9,3,2,0.818182,0.75,0.782609
DeepSeek_R1_14B,few_shot,case_02_inventory,results\plantuml_pipeline_run2\runs\open_source__deepseek_r1_14b__few_shot\case_02_inventory\run_01.puml,dataset\case_02_inventory\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""AddingGoods"",""CalculatingTotals"",""CheckingExpired"",""RemovingGoods"",""ExpiredNotification"",""MainMenu"",""PlacingOrder"",""GeneratingInvoice"",""SearchingInventory"",""SelectingItems"",""UpdatingPrices""]","[{""ground_truth_state"":""Add Goods"",""candidate_state"":""AddingGoods"",""ground_truth_normalized"":""add goods"",""candidate_normalized"":""adding goods"",""similarity"":0.987096,""match_type"":""strict""},{""ground_truth_state"":""Remove Goods"",""candidate_state"":""RemovingGoods"",""ground_truth_normalized"":""delete goods"",""candidate_normalized"":""delete goods"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Expired Goods"",""candidate_state"":""CheckingExpired"",""ground_truth_normalized"":""expired goods"",""candidate_normalized"":""checking expired"",""similarity"":0.652859,""match_type"":""relaxed""},{""ground_truth_state"":""Invoice Generation"",""candidate_state"":""GeneratingInvoice"",""ground_truth_normalized"":""invoice generation"",""candidate_normalized"":""report invoice"",""similarity"":0.740952,""match_type"":""relaxed""},{""ground_truth_state"":""Place Order"",""candidate_state"":""PlacingOrder"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""placing order"",""similarity"":0.835942,""match_type"":""strict""},{""ground_truth_state"":""Search Item"",""candidate_state"":""SearchingInventory"",""ground_truth_normalized"":""search item"",""candidate_normalized"":""search inventory"",""similarity"":0.706338,""match_type"":""relaxed""}]","[""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Edit Goods"",""Final State"",""Receipt Generation"",""Replace Item"",""Tax Generation"",""View Summary Report""]","[""CalculatingTotals"",""ExpiredNotification"",""MainMenu"",""SelectingItems"",""UpdatingPrices""]",16,11,6,10,5,0.545455,0.375,0.444444
Llama_3.1_8B,few_shot,case_02_inventory,results\plantuml_pipeline_run2\runs\open_source__llama31_8b_instruct__few_shot\case_02_inventory\run_01.puml,dataset\case_02_inventory\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""Add Goods"",""Calculate Discount Tax"",""Cancel Receipt"",""Remove Goods"",""Remove Item"",""Identify Expired"",""Initial"",""Notify User"",""Place Order"",""Record Requests"",""Replace Item"",""Generate Receipt"",""Search Items"",""Select Items"",""Update database"",""Update Inventory"",""Update Price"",""View Summary Report""]","[{""ground_truth_state"":""Add Goods"",""candidate_state"":""Add Goods"",""ground_truth_normalized"":""add goods"",""candidate_normalized"":""add goods"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Cancel Receipt"",""candidate_state"":""Cancel Receipt"",""ground_truth_normalized"":""cancel receipt"",""candidate_normalized"":""cancel receipt"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Customer Request"",""candidate_state"":""Record Requests"",""ground_truth_normalized"":""customer request"",""candidate_normalized"":""record request"",""similarity"":0.549682,""match_type"":""relaxed""},{""ground_truth_state"":""Remove Goods"",""candidate_state"":""Remove Goods"",""ground_truth_normalized"":""delete goods"",""candidate_normalized"":""delete goods"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Edit Goods"",""candidate_state"":""Update Inventory"",""ground_truth_normalized"":""edit goods"",""candidate_normalized"":""update inventory"",""similarity"":0.498793,""match_type"":""relaxed""},{""ground_truth_state"":""Expired Goods"",""candidate_state"":""Identify Expired"",""ground_truth_normalized"":""expired goods"",""candidate_normalized"":""identify expired"",""similarity"":0.750988,""match_type"":""relaxed""},{""ground_truth_state"":""Place Order"",""candidate_state"":""Place Order"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""place order"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Receipt Generation"",""candidate_state"":""Generate Receipt"",""ground_truth_normalized"":""receipt generation"",""candidate_normalized"":""report receipt"",""similarity"":0.679628,""match_type"":""relaxed""},{""ground_truth_state"":""Replace Item"",""candidate_state"":""Replace Item"",""ground_truth_normalized"":""replace item"",""candidate_normalized"":""replace item"",""similarity"":1.0,""match_type"":""exact_normalized""},{""ground_truth_state"":""Search Item"",""candidate_state"":""Search Items"",""ground_truth_normalized"":""search item"",""candidate_normalized"":""search items"",""similarity"":0.946636,""match_type"":""strict""},{""ground_truth_state"":""View Summary Report"",""candidate_state"":""View Summary Report"",""ground_truth_normalized"":""view summary report"",""candidate_normalized"":""view summary report"",""similarity"":1.0,""match_type"":""exact_normalized""}]","[""Authentication Login"",""Dashboard"",""Final State"",""Invoice Generation"",""Tax Generation""]","[""Calculate Discount Tax"",""Remove Item"",""Initial"",""Notify User"",""Select Items"",""Update database"",""Update Price""]",16,18,11,5,7,0.611111,0.6875,0.647059
Mistral,rag,case_02_inventory,results\plantuml_pipeline_run2\runs\open_source__mistral__rag\case_02_inventory\run_01.puml,dataset\case_02_inventory\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""CustomerDashboard"",""CustomerRegistration"",""InventoryManagement"",""OrderManagement"",""PaymentProcessing""]","[{""ground_truth_state"":""Add Goods"",""candidate_state"":""InventoryManagement"",""ground_truth_normalized"":""add goods"",""candidate_normalized"":""inventory management"",""similarity"":0.489002,""match_type"":""relaxed""},{""ground_truth_state"":""Customer Request"",""candidate_state"":""CustomerRegistration"",""ground_truth_normalized"":""customer request"",""candidate_normalized"":""customer registration"",""similarity"":0.557713,""match_type"":""relaxed""},{""ground_truth_state"":""Dashboard"",""candidate_state"":""CustomerDashboard"",""ground_truth_normalized"":""dashboard"",""candidate_normalized"":""customer dashboard"",""similarity"":0.804349,""match_type"":""strict""},{""ground_truth_state"":""Place Order"",""candidate_state"":""OrderManagement"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""order management"",""similarity"":0.588641,""match_type"":""relaxed""}]","[""Authentication Login"",""Cancel Receipt"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""PaymentProcessing""]",16,5,4,12,1,0.8,0.25,0.380952
Qwen_2.5_7B,rag,case_02_inventory,results\plantuml_pipeline_run2\runs\open_source__qwen25_7b_instruct__rag\case_02_inventory\run_01.puml,dataset\case_02_inventory\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""Add Goods"",""Authentication Login"",""Cancel Receipt"",""Customer Request"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Place Order"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""CustomerRegistration"",""InventoryManagement"",""OrderPlacement"",""Reporting""]","[{""ground_truth_state"":""Add Goods"",""candidate_state"":""InventoryManagement"",""ground_truth_normalized"":""add goods"",""candidate_normalized"":""inventory management"",""similarity"":0.489002,""match_type"":""relaxed""},{""ground_truth_state"":""Customer Request"",""candidate_state"":""CustomerRegistration"",""ground_truth_normalized"":""customer request"",""candidate_normalized"":""customer registration"",""similarity"":0.557713,""match_type"":""relaxed""},{""ground_truth_state"":""Place Order"",""candidate_state"":""OrderPlacement"",""ground_truth_normalized"":""place order"",""candidate_normalized"":""order placement"",""similarity"":0.814727,""match_type"":""strict""}]","[""Authentication Login"",""Cancel Receipt"",""Dashboard"",""Remove Goods"",""Edit Goods"",""Expired Goods"",""Final State"",""Invoice Generation"",""Receipt Generation"",""Replace Item"",""Search Item"",""Tax Generation"",""View Summary Report""]","[""Reporting""]",16,4,3,13,1,0.75,0.1875,0.3
DeepSeek_R1_14B,few_shot,case_12_business_process_outsourcing_bpo_management_system_2,results\plantuml_pipeline_run2\runs\open_source__deepseek_r1_14b__few_shot\case_12_business_process_outsourcing_bpo_management_system_2\run_01.puml,dataset\case_12_business_process_outsourcing_bpo_management_system_2\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""search and display"",""Search users"",""Choose category"",""Choose rate range""]","[""Initial"",""SearchByCategory"",""SearchByPriceRange"",""DisplayMatchingUsers""]","[{""ground_truth_state"":""Search users"",""candidate_state"":""DisplayMatchingUsers"",""ground_truth_normalized"":""search user"",""candidate_normalized"":""view matching user"",""similarity"":0.585992,""match_type"":""relaxed""},{""ground_truth_state"":""Choose category"",""candidate_state"":""SearchByCategory"",""ground_truth_normalized"":""select category"",""candidate_normalized"":""search by category"",""similarity"":0.62024,""match_type"":""relaxed""}]","[""search and display"",""Choose rate range""]","[""Initial"",""SearchByPriceRange""]",4,4,2,2,2,0.5,0.5,0.5
Llama_3.1_8B,few_shot,case_12_business_process_outsourcing_bpo_management_system_2,results\plantuml_pipeline_run2\runs\open_source__llama31_8b_instruct__few_shot\case_12_business_process_outsourcing_bpo_management_system_2\run_01.puml,dataset\case_12_business_process_outsourcing_bpo_management_system_2\diagram.puml,sentence-transformers/all-MiniLM-L6-v2,0.800000,0.480000,"[""search and display"",""Search users"",""Choose category"",""Choose rate range""]","[""Filter Selection"",""Search Results""]","[{""ground_truth_state"":""search and display"",""candidate_state"":""Search Results"",""ground_truth_normalized"":""search and view"",""candidate_normalized"":""search results"",""similarity"":0.708398,""match_type"":""relaxed""}]","[""Search users"",""Choose category"",""Choose rate range""]","[""Filter Selection""]",4,2,1,3,1,0.5,0.25,0.333333
