model,method,total,valid,invalid,validity_percent
DeepSeek R1 14B,RAG,27,23,4,85.19
DeepSeek R1 14B,RAG [examples only],27,20,7,74.07
DeepSeek R1 14B,RAG [rules only],27,22,5,81.48
DeepSeek R1 14B,RAG [theory only],27,17,10,62.96
Llama 3.1 8B Instruct,RAG,27,27,0,100.0
Llama 3.1 8B Instruct,RAG [examples only],27,26,1,96.3
Llama 3.1 8B Instruct,RAG [rules only],27,21,6,77.78
Llama 3.1 8B Instruct,RAG [theory only],27,24,3,88.89
Mistral,RAG,27,20,7,74.07
Mistral,RAG [examples only],27,24,3,88.89
Mistral,RAG [rules only],27,18,9,66.67
Mistral,RAG [theory only],27,7,20,25.93
Qwen 2.5 7B Instruct,RAG,27,27,0,100.0
Qwen 2.5 7B Instruct,RAG [examples only],27,25,2,92.59
Qwen 2.5 7B Instruct,RAG [rules only],27,22,5,81.48
Qwen 2.5 7B Instruct,RAG [theory only],27,22,5,81.48
