criterion,method,model,median_likert_score,n
Completeness,Few-shot,Llama,3.0,19
Completeness,Few-shot,Mistral,4.0,4
Completeness,Few-shot,DeepSeek,4.0,10
Completeness,Few-shot,Qwen,4.5,4
Completeness,RAG,Llama,3.0,10
Completeness,RAG,Mistral,4.5,8
Completeness,RAG,DeepSeek,4.5,8
Completeness,RAG,Qwen,3.0,6
Correctness,Few-shot,Llama,3.0,19
Correctness,Few-shot,Mistral,4.0,4
Correctness,Few-shot,DeepSeek,4.0,10
Correctness,Few-shot,Qwen,4.0,4
Correctness,RAG,Llama,3.0,10
Correctness,RAG,Mistral,4.0,8
Correctness,RAG,DeepSeek,4.5,8
Correctness,RAG,Qwen,2.5,6
Understandability,Few-shot,Llama,5.0,19
Understandability,Few-shot,Mistral,4.5,4
Understandability,Few-shot,DeepSeek,5.0,10
Understandability,Few-shot,Qwen,5.0,4
Understandability,RAG,Llama,4.5,10
Understandability,RAG,Mistral,5.0,8
Understandability,RAG,DeepSeek,5.0,8
Understandability,RAG,Qwen,4.0,6
Terminology alignment,Few-shot,Llama,5.0,19
Terminology alignment,Few-shot,Mistral,4.5,4
Terminology alignment,Few-shot,DeepSeek,5.0,10
Terminology alignment,Few-shot,Qwen,5.0,4
Terminology alignment,RAG,Llama,4.5,10
Terminology alignment,RAG,Mistral,4.0,8
Terminology alignment,RAG,DeepSeek,5.0,8
Terminology alignment,RAG,Qwen,2.5,6
