table,evaluation_group,metric,method,model,value,n,total,raw
Repair,Automatic (accuracy),Structural validity,Repair,llama,55.56,15,27,55.56% (n=15/27)
Repair,Automatic (accuracy),Structural validity,Repair,mistral,29.63,8,27,29.63% (n=8/27)
Repair,Automatic (accuracy),Structural validity,Repair,deepseek,88.89,24,27,88.89% (n=24/27)
Repair,Automatic (accuracy),Structural validity,Repair,qwen,40.74,11,27,40.74% (n=11/27)
Repair,Automatic (accuracy),Syntactic validity,Repair,llama,96.3,26,27,96.30% (n=26/27)
Repair,Automatic (accuracy),Syntactic validity,Repair,mistral,74.07,20,27,74.07% (n=20/27)
Repair,Automatic (accuracy),Syntactic validity,Repair,deepseek,92.59,25,27,92.59% (n=25/27)
Repair,Automatic (accuracy),Syntactic validity,Repair,qwen,92.59,25,27,92.59% (n=25/27)
Repair,Human (Likert scale 1-5),Completeness,Repair,llama,4.0,15,,4 (n=15)
Repair,Human (Likert scale 1-5),Completeness,Repair,mistral,4.0,9,,4 (n=9)
Repair,Human (Likert scale 1-5),Completeness,Repair,deepseek,4.0,39,,4 (n=39)
Repair,Human (Likert scale 1-5),Completeness,Repair,qwen,4.0,16,,4 (n=16)
Repair,Human (Likert scale 1-5),Correctness,Repair,llama,4.0,15,,4 (n=15)
Repair,Human (Likert scale 1-5),Correctness,Repair,mistral,5.0,9,,5 (n=9)
Repair,Human (Likert scale 1-5),Correctness,Repair,deepseek,4.0,39,,4 (n=39)
Repair,Human (Likert scale 1-5),Correctness,Repair,qwen,4.0,16,,4 (n=16)
Repair,Human (Likert scale 1-5),Understandability,Repair,llama,5.0,15,,5 (n=15)
Repair,Human (Likert scale 1-5),Understandability,Repair,mistral,5.0,9,,5 (n=9)
Repair,Human (Likert scale 1-5),Understandability,Repair,deepseek,5.0,39,,5 (n=39)
Repair,Human (Likert scale 1-5),Understandability,Repair,qwen,3.0,16,,3 (n=16)
Repair,Human (Likert scale 1-5),Terminology alignment,Repair,llama,4.0,15,,4 (n=15)
Repair,Human (Likert scale 1-5),Terminology alignment,Repair,mistral,5.0,9,,5 (n=9)
Repair,Human (Likert scale 1-5),Terminology alignment,Repair,deepseek,5.0,39,,5 (n=39)
Repair,Human (Likert scale 1-5),Terminology alignment,Repair,qwen,4.0,16,,4 (n=16)
