complexity,method,model,metric,median_score,response_n,diagram_n
complex,Few-shot,DeepSeek R1 14B,Completeness,3.0,2,1
complex,Few-shot,DeepSeek R1 14B,Correctness,3.0,2,1
complex,Few-shot,DeepSeek R1 14B,Terminology alignment,4.5,2,1
complex,Few-shot,DeepSeek R1 14B,Understandability,4.5,2,1
complex,Few-shot,Llama 3.1 8B Instruct,Completeness,4.0,3,1
complex,Few-shot,Llama 3.1 8B Instruct,Correctness,3.0,3,1
complex,Few-shot,Llama 3.1 8B Instruct,Terminology alignment,4.0,3,1
complex,Few-shot,Llama 3.1 8B Instruct,Understandability,5.0,3,1
complex,Few-shot + Repair,DeepSeek R1 14B,Completeness,4.0,11,1
complex,Few-shot + Repair,DeepSeek R1 14B,Correctness,3.0,11,1
complex,Few-shot + Repair,DeepSeek R1 14B,Terminology alignment,4.0,11,1
complex,Few-shot + Repair,DeepSeek R1 14B,Understandability,3.0,11,1
complex,Few-shot + Repair,Llama 3.1 8B Instruct,Completeness,4.0,2,1
complex,Few-shot + Repair,Llama 3.1 8B Instruct,Correctness,4.0,2,1
complex,Few-shot + Repair,Llama 3.1 8B Instruct,Terminology alignment,4.0,2,1
complex,Few-shot + Repair,Llama 3.1 8B Instruct,Understandability,5.0,2,1
complex,One-shot,Llama 3.1 8B Instruct,Completeness,4.5,2,1
complex,One-shot,Llama 3.1 8B Instruct,Correctness,5.0,2,1
complex,One-shot,Llama 3.1 8B Instruct,Terminology alignment,5.0,2,1
complex,One-shot,Llama 3.1 8B Instruct,Understandability,4.0,2,1
complex,RAG,Llama 3.1 8B Instruct,Completeness,3.0,2,1
complex,RAG,Llama 3.1 8B Instruct,Correctness,4.0,2,1
complex,RAG,Llama 3.1 8B Instruct,Terminology alignment,5.0,2,1
complex,RAG,Llama 3.1 8B Instruct,Understandability,4.5,2,1
complex,RAG + Repair,Mistral,Completeness,3.0,4,1
complex,RAG + Repair,Mistral,Correctness,3.0,4,1
complex,RAG + Repair,Mistral,Terminology alignment,5.0,4,1
complex,RAG + Repair,Mistral,Understandability,4.0,4,1
complex,RAG + Repair,Qwen 2.5 7B Instruct,Completeness,4.0,7,1
complex,RAG + Repair,Qwen 2.5 7B Instruct,Correctness,4.0,7,1
complex,RAG + Repair,Qwen 2.5 7B Instruct,Terminology alignment,5.0,7,1
complex,RAG + Repair,Qwen 2.5 7B Instruct,Understandability,3.0,7,1
complex,RAG [examples only],DeepSeek R1 14B,Completeness,5.0,1,1
complex,RAG [examples only],DeepSeek R1 14B,Correctness,5.0,1,1
complex,RAG [examples only],DeepSeek R1 14B,Terminology alignment,5.0,1,1
