evaluation_id,llm_name,method_name,case_number,case_name,source_path
diagram_001,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,47,case_47_safehome_security_function,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_47_safehome_security_function/diagram.puml
diagram_002,DeepSeek R1 14B,Syntax-Grounded Repair,16,case_16_weather_monitoring_system,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
diagram_003,Mistral,Syntax-Grounded Repair,80,case_80_staff_member_class,valid_diagrams/Mistral/syntax_grounded_repair/case_80_staff_member_class/diagram.puml
diagram_004,DeepSeek R1 14B,Syntax-Grounded Repair,47,case_47_safehome_security_function,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_47_safehome_security_function/diagram.puml
diagram_005,Llama 3.1 8B Instruct,Syntax-Grounded Repair,28,case_28_ott_based_system_mini_reel,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
diagram_006,Mistral,Syntax-Grounded Repair,39,case_39_website_development,valid_diagrams/Mistral/syntax_grounded_repair/case_39_website_development/diagram.puml
diagram_007,DeepSeek R1 14B,Syntax-Grounded Repair,59,case_59_atm_1,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_59_atm_1/diagram.puml
diagram_008,Llama 3.1 8B Instruct,Syntax-Grounded Repair,51,case_51_process_sale,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_51_process_sale/diagram.puml
diagram_009,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,34,case_34_green_rides,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_34_green_rides/diagram.puml
diagram_010,Llama 3.1 8B Instruct,Syntax-Grounded Repair,18,case_18_digidoclocker,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_18_digidoclocker/diagram.puml
diagram_011,DeepSeek R1 14B,Syntax-Grounded Repair,32,case_32_e_visa_processing_and_follow_up_system,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
diagram_012,Mistral,Syntax-Grounded Repair,78,case_78_class_campaign_version_2,valid_diagrams/Mistral/syntax_grounded_repair/case_78_class_campaign_version_2/diagram.puml
diagram_013,Mistral,Syntax-Grounded Repair,32,case_32_e_visa_processing_and_follow_up_system,valid_diagrams/Mistral/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
diagram_014,DeepSeek R1 14B,Syntax-Grounded Repair,52,case_52_microwave_oven,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_52_microwave_oven/diagram.puml
diagram_015,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,1,case_01_healthcare_portal,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_01_healthcare_portal/diagram.puml
diagram_016,DeepSeek R1 14B,Syntax-Grounded Repair,28,case_28_ott_based_system_mini_reel,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
