evaluation_id,previous_evaluation_id,llm_name,method_name,case_number,case_name,human_package_path,source_path
case_01_healthcare_portal__diagram_A,diagram_015,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,1,case_01_healthcare_portal,human_evaluation_missing_syntax_grounded/case_01_healthcare_portal/diagram_A.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_01_healthcare_portal/diagram.puml
case_02_inventory__diagram_A,diagram_026,DeepSeek R1 14B,Syntax-Grounded Repair,2,case_02_inventory,human_evaluation_missing_syntax_grounded/case_02_inventory/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_02_inventory/diagram.puml
case_12_business_process_outsourcing_bpo_management_system_2__diagram_A,diagram_022,DeepSeek R1 14B,Syntax-Grounded Repair,12,case_12_business_process_outsourcing_bpo_management_system_2,human_evaluation_missing_syntax_grounded/case_12_business_process_outsourcing_bpo_management_system_2/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_12_business_process_outsourcing_bpo_management_system_2/diagram.puml
case_15_e_ticketing_for_bus__diagram_A,diagram_037,DeepSeek R1 14B,Syntax-Grounded Repair,15,case_15_e_ticketing_for_bus,human_evaluation_missing_syntax_grounded/case_15_e_ticketing_for_bus/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_15_e_ticketing_for_bus/diagram.puml
case_16_weather_monitoring_system__diagram_A,diagram_002,DeepSeek R1 14B,Syntax-Grounded Repair,16,case_16_weather_monitoring_system,human_evaluation_missing_syntax_grounded/case_16_weather_monitoring_system/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
case_16_weather_monitoring_system__diagram_B,diagram_033,Mistral,Syntax-Grounded Repair,16,case_16_weather_monitoring_system,human_evaluation_missing_syntax_grounded/case_16_weather_monitoring_system/diagram_B.png,valid_diagrams/Mistral/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
case_16_weather_monitoring_system__diagram_C,diagram_038,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,16,case_16_weather_monitoring_system,human_evaluation_missing_syntax_grounded/case_16_weather_monitoring_system/diagram_C.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_16_weather_monitoring_system/diagram.puml
case_18_digidoclocker__diagram_A,diagram_010,Llama 3.1 8B Instruct,Syntax-Grounded Repair,18,case_18_digidoclocker,human_evaluation_missing_syntax_grounded/case_18_digidoclocker/diagram_A.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_18_digidoclocker/diagram.puml
case_28_ott_based_system_mini_reel__diagram_A,diagram_005,Llama 3.1 8B Instruct,Syntax-Grounded Repair,28,case_28_ott_based_system_mini_reel,human_evaluation_missing_syntax_grounded/case_28_ott_based_system_mini_reel/diagram_A.png,valid_diagrams/Llama_3.1_8B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
case_28_ott_based_system_mini_reel__diagram_B,diagram_016,DeepSeek R1 14B,Syntax-Grounded Repair,28,case_28_ott_based_system_mini_reel,human_evaluation_missing_syntax_grounded/case_28_ott_based_system_mini_reel/diagram_B.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
case_28_ott_based_system_mini_reel__diagram_C,diagram_027,Qwen 2.5 7B Instruct,Syntax-Grounded Repair,28,case_28_ott_based_system_mini_reel,human_evaluation_missing_syntax_grounded/case_28_ott_based_system_mini_reel/diagram_C.png,valid_diagrams/Qwen_2.5_7B/syntax_grounded_repair/case_28_ott_based_system_mini_reel/diagram.puml
case_32_e_visa_processing_and_follow_up_system__diagram_A,diagram_011,DeepSeek R1 14B,Syntax-Grounded Repair,32,case_32_e_visa_processing_and_follow_up_system,human_evaluation_missing_syntax_grounded/case_32_e_visa_processing_and_follow_up_system/diagram_A.png,valid_diagrams/DeepSeek_R1_14B/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
case_32_e_visa_processing_and_follow_up_system__diagram_B,diagram_013,Mistral,Syntax-Grounded Repair,32,case_32_e_visa_processing_and_follow_up_system,human_evaluation_missing_syntax_grounded/case_32_e_visa_processing_and_follow_up_system/diagram_B.png,valid_diagrams/Mistral/syntax_grounded_repair/case_32_e_visa_processing_and_follow_up_system/diagram.puml
