model,method,run_id,case_id,initial_plantuml_valid,final_plantuml_valid,initial_structural_valid,final_structural_valid,repair_success,validity_recovered,structurally_improved,structurally_worsened,unchanged_violation_count,initial_violation_count,final_violation_count,violation_reduction,violation_reduction_percent,regressed_new_violation_type,new_violation_type_count,new_violation_types,eliminated_violation_types,attempted_repair_iterations,accepted_repair_iterations,added_states_count,deleted_states_count,added_transitions_count,deleted_transitions_count,added_transition_edges_count,deleted_transition_edges_count,modified_transition_labels_count,total_graph_change_count,added_states,deleted_states,initial_path,final_path
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_01_healthcare_portal,True,True,False,True,True,True,True,False,False,3,0,3,100.0,False,0,,missing_final_state;missing_initial_state;orphan_states,4,4,4,12,5,0,5,0,0,21,AccessDenied;Logout;Registration;SignIn,CashPayment;HealthInfo;Idle;InsurancePayment;InvalidLogin;InvalidRegister;Login;PaymentSelection;ProcessInsurance;ReadContent;Register;ViewResult,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_01_healthcare_portal/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_02_inventory,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,2,0,2,0,2,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_02_inventory/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_02_inventory/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_12_business_process_outsourcing_bpo_management_system_2,True,True,False,True,True,True,True,False,False,2,0,2,100.0,False,0,,missing_final_state;missing_initial_state,2,2,3,0,2,0,2,0,0,5,ResultsDisplayed;SearchCriteriaEntered;Start,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_12_business_process_outsourcing_bpo_management_system_2/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_15_e_ticketing_for_bus,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,2,2,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_15_e_ticketing_for_bus/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_15_e_ticketing_for_bus/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_16_weather_monitoring_system,True,True,False,True,True,True,True,False,False,4,0,4,100.0,False,0,,duplicate_transitions;invalid_choice_guards,3,3,3,14,2,14,2,14,0,33,LoggedIn;LoggedOut;Start,AdditionalDetails;CreateUser;CreateUserDecision;Failed Login;Failed Registration;LocationInvalid;Login;LoginDecision;Logout;Successful Login;Successful Registration;WeatherCheck;WeatherInfo;WeatherSelection,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_16_weather_monitoring_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_16_weather_monitoring_system/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_18_digidoclocker,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_18_digidoclocker/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_18_digidoclocker/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_28_ott_based_system_mini_reel,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_final_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_28_ott_based_system_mini_reel/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_28_ott_based_system_mini_reel/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_32_e_visa_processing_and_follow_up_system,True,True,False,True,True,True,True,False,False,2,0,2,100.0,False,0,,duplicate_transitions;missing_final_state,4,4,0,7,0,21,0,13,0,28,,ApplicationApproved;ApplicationProcessing;ApplicationRejected;ApplicationSubmitted;LoggedIn;LoggedOut;NotLoggedIn,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_32_e_visa_processing_and_follow_up_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_32_e_visa_processing_and_follow_up_system/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_33_farm_management_system,True,True,True,True,True,False,False,False,True,0,0,0,0.0,False,0,,,0,0,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_33_farm_management_system/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_33_farm_management_system/run_01.puml
DeepSeek R1 14B,Few-shot + Repair,open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair,case_34_green_rides,True,True,False,True,True,True,True,False,False,1,0,1,100.0,False,0,,missing_initial_state,1,1,0,0,0,0,0,0,0,0,,,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_34_green_rides/run_01.initial.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot_validation_generator_critic_repair/case_34_green_rides/run_01.puml
