assigned_folder,response_count_group,case_number,diagram_number,evaluator_ids,excel_rows,folder_relative_path,source_valid_diagram_folder,source_case_folder,renamed_evaluation_file,original_unbiased_diagram_name,llm_used,method,original_unbiased_relative_path,original_name_match_status
Evaluation,0_no_response,78,A,,,Evaluation/case_78_class_campaign_version_2/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_78_class_campaign_version_2,a.png,deepseek_r1_14b__few_shot__run_01.png,DeepSeek R1 14B,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_78_class_campaign_version_2/deepseek_r1_14b__few_shot__run_01.png,matched_by_hash
Evaluation,0_no_response,78,B,,,Evaluation/case_78_class_campaign_version_2/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_78_class_campaign_version_2,b.png,llama_3_1_8b_instruct__rag__run_01.png,Llama 3.1 8B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_78_class_campaign_version_2/llama_3_1_8b_instruct__rag__run_01.png,matched_by_hash
Evaluation,0_no_response,78,C,,,Evaluation/case_78_class_campaign_version_2/c.png,results/plantuml_pipeline/valid_diagrams_by_case,case_78_class_campaign_version_2,c.png,qwen_2_5_7b_instruct__few_shot__run_01.png,Qwen 2.5 7B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_78_class_campaign_version_2/qwen_2_5_7b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,0_no_response,78,D,,,Evaluation/case_78_class_campaign_version_2/d.png,results/plantuml_pipeline/valid_diagrams_by_case,case_78_class_campaign_version_2,d.png,qwen_2_5_7b_instruct__rag__run_01.png,Qwen 2.5 7B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_78_class_campaign_version_2/qwen_2_5_7b_instruct__rag__run_01.png,matched_by_hash
Evaluation,0_no_response,80,A,,,Evaluation/case_80_staff_member_class/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_80_staff_member_class,a.png,llama_3_1_8b_instruct__one_shot__run_01.png,Llama 3.1 8B Instruct,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_80_staff_member_class/llama_3_1_8b_instruct__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,16,A,"15, 1","58, 70",Evaluation/case_16_weather_monitoring_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_16_weather_monitoring_system,a.png,llama_3_1_8b_instruct__one_shot__run_01.png,Llama 3.1 8B Instruct,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_16_weather_monitoring_system/llama_3_1_8b_instruct__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,18,A,"15, 1","59, 72",Evaluation/case_18_digidoclocker/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_18_digidoclocker,a.png,deepseek_r1_14b__few_shot__run_01.png,DeepSeek R1 14B,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_18_digidoclocker/deepseek_r1_14b__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,18,B,"15, 23","60, 132",Evaluation/case_18_digidoclocker/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_18_digidoclocker,b.png,deepseek_r1_14b__rag__run_01.png,DeepSeek R1 14B,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_18_digidoclocker/deepseek_r1_14b__rag__run_01.png,matched_by_hash
Evaluation,2_responses,28,A,"15, 1","61, 74",Evaluation/case_28_ott_based_system_mini_reel/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_28_ott_based_system_mini_reel,a.png,deepseek_r1_14b__one_shot__run_01.png,DeepSeek R1 14B,One-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_28_ott_based_system_mini_reel/deepseek_r1_14b__one_shot__run_01.png,matched_by_hash
Evaluation,2_responses,28,B,"15, 1","62, 75",Evaluation/case_28_ott_based_system_mini_reel/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_28_ott_based_system_mini_reel,b.png,llama_3_1_8b_instruct__rag__run_01.png,Llama 3.1 8B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_28_ott_based_system_mini_reel/llama_3_1_8b_instruct__rag__run_01.png,matched_by_hash
Evaluation,2_responses,33,A,"4, 23","95, 133",Evaluation/case_33_farm_management_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_33_farm_management_system,a.png,deepseek_r1_14b__few_shot__run_01.png,DeepSeek R1 14B,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_33_farm_management_system/deepseek_r1_14b__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,34,A,"6, 4","13, 115",Evaluation/case_34_green_rides/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_34_green_rides,a.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_34_green_rides/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,34,B,"6, 4","63, 110",Evaluation/case_34_green_rides/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_34_green_rides,b.png,qwen_2_5_7b_instruct__few_shot__run_01.png,Qwen 2.5 7B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_34_green_rides/qwen_2_5_7b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,37,A,"6, 4","64, 116",Evaluation/case_37_online_quiz_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_37_online_quiz_system,a.png,llama_3_1_8b_instruct__rag__run_01.png,Llama 3.1 8B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_37_online_quiz_system/llama_3_1_8b_instruct__rag__run_01.png,matched_by_hash
Evaluation,2_responses,39,A,"6, 23","65, 134",Evaluation/case_39_website_development/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_39_website_development,a.png,deepseek_r1_14b__rag__run_01.png,DeepSeek R1 14B,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_39_website_development/deepseek_r1_14b__rag__run_01.png,matched_by_hash
Evaluation,2_responses,41,A,"14, 10","2, 21",Evaluation/case_41_video_suggestion_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_41_video_suggestion_system,a.png,deepseek_r1_14b__rag__run_01.png,DeepSeek R1 14B,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/deepseek_r1_14b__rag__run_01.png,matched_by_hash
Evaluation,2_responses,41,B,"10, 23","22, 136",Evaluation/case_41_video_suggestion_system/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_41_video_suggestion_system,b.png,llama_3_1_8b_instruct__rag__run_01.png,Llama 3.1 8B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/llama_3_1_8b_instruct__rag__run_01.png,matched_by_hash
Evaluation,2_responses,41,C,"14, 10","4, 23",Evaluation/case_41_video_suggestion_system/c.png,results/plantuml_pipeline/valid_diagrams_by_case,case_41_video_suggestion_system,c.png,qwen_2_5_7b_instruct__rag__run_01.png,Qwen 2.5 7B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_41_video_suggestion_system/qwen_2_5_7b_instruct__rag__run_01.png,matched_by_hash
Evaluation,2_responses,45,A,"14, 10","5, 24",Evaluation/case_45_alarm_clock/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_45_alarm_clock,a.png,llama_3_1_8b_instruct__rag__run_01.png,Llama 3.1 8B Instruct,RAG,results/plantuml_pipeline/valid_diagrams_by_case/case_45_alarm_clock/llama_3_1_8b_instruct__rag__run_01.png,matched_by_hash
Evaluation,2_responses,45,B,"14, 10","6, 25",Evaluation/case_45_alarm_clock/b.png,results/plantuml_pipeline/valid_diagrams_by_case,case_45_alarm_clock,b.png,qwen_2_5_7b_instruct__few_shot__run_01.png,Qwen 2.5 7B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_45_alarm_clock/qwen_2_5_7b_instruct__few_shot__run_01.png,matched_by_hash
Evaluation,2_responses,47,A,"14, 10","7, 26",Evaluation/case_47_safehome_security_function/a.png,results/plantuml_pipeline/valid_diagrams_by_case,case_47_safehome_security_function,a.png,llama_3_1_8b_instruct__few_shot__run_01.png,Llama 3.1 8B Instruct,Few-shot,results/plantuml_pipeline/valid_diagrams_by_case/case_47_safehome_security_function/llama_3_1_8b_instruct__few_shot__run_01.png,matched_by_hash
