criterion,method,model,n
Completeness,One-shot,Llama,8
Completeness,One-shot,Mistral,2
Completeness,One-shot,DeepSeek,6
Completeness,One-shot,Qwen,2
Completeness,Few-shot,Llama,19
Completeness,Few-shot,Mistral,4
Completeness,Few-shot,DeepSeek,10
Completeness,Few-shot,Qwen,4
Completeness,RAG,Llama,10
Completeness,RAG,Mistral,8
Completeness,RAG,DeepSeek,8
Completeness,RAG,Qwen,6
Completeness,Repair,Llama,15
Completeness,Repair,Mistral,9
Completeness,Repair,DeepSeek,39
Completeness,Repair,Qwen,16
Correctness,One-shot,Llama,8
Correctness,One-shot,Mistral,2
Correctness,One-shot,DeepSeek,6
Correctness,One-shot,Qwen,2
Correctness,Few-shot,Llama,19
Correctness,Few-shot,Mistral,4
Correctness,Few-shot,DeepSeek,10
Correctness,Few-shot,Qwen,4
Correctness,RAG,Llama,10
Correctness,RAG,Mistral,8
Correctness,RAG,DeepSeek,8
Correctness,RAG,Qwen,6
Correctness,Repair,Llama,15
Correctness,Repair,Mistral,9
Correctness,Repair,DeepSeek,39
Correctness,Repair,Qwen,16
Understandability,One-shot,Llama,8
Understandability,One-shot,Mistral,2
Understandability,One-shot,DeepSeek,6
Understandability,One-shot,Qwen,2
Understandability,Few-shot,Llama,19
Understandability,Few-shot,Mistral,4
Understandability,Few-shot,DeepSeek,10
Understandability,Few-shot,Qwen,4
Understandability,RAG,Llama,10
Understandability,RAG,Mistral,8
Understandability,RAG,DeepSeek,8
Understandability,RAG,Qwen,6
Understandability,Repair,Llama,15
Understandability,Repair,Mistral,9
Understandability,Repair,DeepSeek,39
Understandability,Repair,Qwen,16
Terminology alignment,One-shot,Llama,8
Terminology alignment,One-shot,Mistral,2
Terminology alignment,One-shot,DeepSeek,6
Terminology alignment,One-shot,Qwen,2
Terminology alignment,Few-shot,Llama,19
Terminology alignment,Few-shot,Mistral,4
Terminology alignment,Few-shot,DeepSeek,10
Terminology alignment,Few-shot,Qwen,4
Terminology alignment,RAG,Llama,10
Terminology alignment,RAG,Mistral,8
Terminology alignment,RAG,DeepSeek,8
Terminology alignment,RAG,Qwen,6
Terminology alignment,Repair,Llama,15
Terminology alignment,Repair,Mistral,9
Terminology alignment,Repair,DeepSeek,39
Terminology alignment,Repair,Qwen,16
