criterion,model,median_likert_score,n,q1,q3
Completeness,Llama,3.0,52,3.0,4.25
Completeness,Mistral,4.0,23,3.0,5.0
Completeness,DeepSeek,4.0,63,3.0,5.0
Completeness,Qwen,4.0,28,3.0,4.0
Correctness,Llama,3.0,52,3.0,4.0
Correctness,Mistral,4.0,23,3.0,5.0
Correctness,DeepSeek,4.0,63,3.0,5.0
Correctness,Qwen,4.0,28,3.0,4.0
Understandability,Llama,5.0,52,4.0,5.0
Understandability,Mistral,5.0,23,4.0,5.0
Understandability,DeepSeek,5.0,63,4.0,5.0
Understandability,Qwen,3.0,28,3.0,5.0
Terminology alignment,Llama,5.0,52,4.0,5.0
Terminology alignment,Mistral,5.0,23,4.0,5.0
Terminology alignment,DeepSeek,5.0,63,4.0,5.0
Terminology alignment,Qwen,4.0,28,3.0,5.0
