model,method,run_id,case_id,run_file,path,errors
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_01_healthcare_portal,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_01_healthcare_portal/run_01.puml,"missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*]) | orphan_states_detected | orphan: CashPayment, HealthInfo, Idle, InsurancePayment, InvalidLogin, InvalidRegister, Login, MainMenu, PaymentSelection, ProcessInsurance, ReadContent, Register, ViewResult"
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_02_inventory,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_02_inventory/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_12_business_process_outsourcing_bpo_management_system_2,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_12_business_process_outsourcing_bpo_management_system_2/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_15_e_ticketing_for_bus,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_15_e_ticketing_for_bus/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_16_weather_monitoring_system,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_16_weather_monitoring_system/run_01.puml,duplicate_transitions_detected (1) | choice_node_without_guarded_outgoing_transitions (CreateUserDecision) | choice_node_without_guarded_outgoing_transitions (LoginDecision) | choice_node_without_guarded_outgoing_transitions (WeatherSelection)
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_28_ott_based_system_mini_reel,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_28_ott_based_system_mini_reel/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_32_e_visa_processing_and_follow_up_system,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_32_e_visa_processing_and_follow_up_system/run_01.puml,plantuml_syntax_error: Some diagram description contains errors | missing_final_state_transition (state --> [*]) | duplicate_transitions_detected (41)
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_34_green_rides,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_34_green_rides/run_01.puml,missing_initial_state_transition ([*] --> state)
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_37_online_quiz_system,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_37_online_quiz_system/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_39_website_development,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_39_website_development/run_01.puml,missing_initial_state_transition ([*] --> state)
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_41_video_suggestion_system,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_41_video_suggestion_system/run_01.puml,"unreachable_states_detected | unreachable: Add video details, Gather suggested videos, Send suggestions, User identification, User suggestion request"
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_45_alarm_clock,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_45_alarm_clock/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_46_digital_watch,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_46_digital_watch/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_47_safehome_security_function,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_47_safehome_security_function/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_52_microwave_oven,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_52_microwave_oven/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_54_weather_station_system,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_54_weather_station_system/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_59_atm_1,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_59_atm_1/run_01.puml,missing_initial_state_transition ([*] --> state)
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_65_plane,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_65_plane/run_01.puml,plantuml_syntax_error: Some diagram description contains errors | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_67_atm_many_scenarios_1,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_67_atm_many_scenarios_1/run_01.puml,plantuml_syntax_error: Some diagram description contains errors | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_70_atm_many_scenarios_7,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_70_atm_many_scenarios_7/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
DeepSeek R1 14B,Few-shot,open_source__deepseek_r1_14b__few_shot,case_80_staff_member_class,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__few_shot/case_80_staff_member_class/run_01.puml,missing_final_state_transition (state --> [*])
DeepSeek R1 14B,One-shot,open_source__deepseek_r1_14b__one_shot,case_01_healthcare_portal,run_01.puml,/Users/faria/State_transition_Diagram_generated_by_LLM/results/plantuml_pipeline/runs/open_source__deepseek_r1_14b__one_shot/case_01_healthcare_portal/run_01.puml,missing_initial_state_transition ([*] --> state) | missing_final_state_transition (state --> [*])
