package_diagram_id,judge_diagram_id,case_id,generation_model,generation_method,human_rating_count,human_coverage_source,human_evaluator_ids,human1_completeness_score,human2_completeness_score,mean_completeness_score,consensus_completeness_score,human1_correctness_score,human2_correctness_score,mean_correctness_score,consensus_correctness_score,human1_understandability_score,human2_understandability_score,mean_understandability_score,consensus_understandability_score,human1_terminological_alignment_score,human2_terminological_alignment_score,mean_terminological_alignment_score,consensus_terminological_alignment_score
valid_001,diagram_1deca7034b19,case_01_healthcare_portal,Qwen_2.5_7B,baseline_repair,2,existing_exact,2.0|18.0,4,5,4.5000,5,2,5,3.5000,4,2,5,3.5000,4,3,5,4.0000,4
valid_002,diagram_6edb38062916,case_01_healthcare_portal,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,4,,4.0000,4,5,,5.0000,5
valid_003,diagram_4df9e5c58a70,case_01_healthcare_portal,DeepSeek_R1_14B,baseline_repair,2,existing_exact,2.0|18.0,5,5,5.0000,5,3,5,4.0000,4,2,5,3.5000,4,3,5,4.0000,4
valid_004,diagram_7d420e50cbd2,case_01_healthcare_portal,Llama_3.1_8B,few_shot,2,existing_exact,1.0|3.0,4,3,3.5000,4,3,3,3.0000,3,5,4,4.5000,5,4,3,3.5000,4
valid_005,diagram_2da60ff8d47f,case_02_inventory,DeepSeek_R1_14B,baseline_repair,2,existing_exact,20.0|22.0,3,5,4.0000,4,3,4,3.5000,4,5,3,4.0000,4,3,5,4.0000,4
valid_006,diagram_3762ee8a314d,case_02_inventory,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_007,diagram_200b5242b072,case_02_inventory,Llama_3.1_8B,baseline_repair,2,existing_exact,20.0|22.0,3,5,4.0000,4,3,5,4.0000,4,5,5,5.0000,5,3,5,4.0000,4
valid_008,diagram_9258e53efe32,case_12_business_process_outsourcing_bpo_management_system_2,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_009,diagram_a440e269b291,case_12_business_process_outsourcing_bpo_management_system_2,DeepSeek_R1_14B,baseline_repair,2,existing_exact,18.0|19.0,5,4,4.5000,5,5,5,5.0000,5,5,5,5.0000,5,5,4,4.5000,5
valid_010,diagram_ef4a6e66558e,case_12_business_process_outsourcing_bpo_management_system_2,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,1,,1.0000,1,2,,2.0000,2,3,,3.0000,3,1,,1.0000,1
valid_011,diagram_f95f01ed4ead,case_12_business_process_outsourcing_bpo_management_system_2,Llama_3.1_8B,few_shot,2,existing_exact,1.0|3.0,4,5,4.5000,5,5,4,4.5000,5,5,5,5.0000,5,5,5,5.0000,5
valid_012,diagram_d56a2126175c,case_15_e_ticketing_for_bus,DeepSeek_R1_14B,baseline_repair,2,existing_exact,20.0|22.0,2,4,3.0000,3,5,5,5.0000,5,5,5,5.0000,5,4,5,4.5000,5
valid_013,diagram_2616d52bfe70,case_15_e_ticketing_for_bus,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_014,diagram_42be28923308,case_16_weather_monitoring_system,Qwen_2.5_7B,baseline_repair,2,existing_exact,18.0|19.0,4,3,3.5000,4,5,3,4.0000,4,3,2,2.5000,3,5,3,4.0000,4
valid_015,diagram_c62a08ca4af3,case_16_weather_monitoring_system,Mistral,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5
valid_016,diagram_ac374a6242fa,case_16_weather_monitoring_system,DeepSeek_R1_14B,baseline_repair,2,existing_exact,18.0|19.0,5,1,3.0000,3,5,2,3.5000,4,5,5,5.0000,5,5,3,4.0000,4
valid_017,diagram_946fec4cb2ad,case_16_weather_monitoring_system,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,1,,1.0000,1,1,,1.0000,1,1,,1.0000,1,1,,1.0000,1
valid_018,diagram_c43a61a7d361,case_18_digidoclocker,DeepSeek_R1_14B,few_shot,2,existing_exact,1.0|15.0,4,3,3.5000,4,3,5,4.0000,4,2,5,3.5000,4,5,5,5.0000,5
valid_019,diagram_5dd2b56768b6,case_18_digidoclocker,Llama_3.1_8B,baseline_repair,2,existing_exact,18.0|19.0,5,3,4.0000,4,5,3,4.0000,4,5,3,4.0000,4,5,4,4.5000,5
valid_020,diagram_fe08fb11dae6,case_18_digidoclocker,Llama_3.1_8B,syntax_grounded_repair,2,existing_render_equivalent,18.0|19.0,5,3,4.0000,4,5,3,4.0000,4,5,3,4.0000,4,5,4,4.5000,5
valid_021,diagram_fef7064ce913,case_28_ott_based_system_mini_reel,DeepSeek_R1_14B,baseline_repair,2,existing_exact,14.0|26.0,3,3,3.0000,3,4,4,4.0000,4,5,5,5.0000,5,4,5,4.5000,5
valid_022,diagram_5c657605103c,case_28_ott_based_system_mini_reel,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5
valid_023,diagram_1c2d497b29c0,case_28_ott_based_system_mini_reel,Llama_3.1_8B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,3,,3.0000,3,3,,3.0000,3,4,,4.0000,4
valid_024,diagram_1e3135bfa1a2,case_32_e_visa_processing_and_follow_up_system,Mistral,baseline_repair,2,existing_exact,22.0|27.0,3,3,3.0000,3,3,2,2.5000,3,4,5,4.5000,5,4,5,4.5000,5
valid_025,diagram_35f29d0a416e,case_32_e_visa_processing_and_follow_up_system,Mistral,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5
valid_026,diagram_86393c03a20a,case_32_e_visa_processing_and_follow_up_system,DeepSeek_R1_14B,baseline_repair,2,existing_exact,22.0|27.0,1,1,1.0000,1,1,1,1.0000,1,1,1,1.0000,1,1,1,1.0000,1
valid_027,diagram_6c6606dca036,case_32_e_visa_processing_and_follow_up_system,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_028,diagram_1f5ec08950c6,case_33_farm_management_system,Mistral,baseline_repair,2,existing_exact,23.0|27.0,3,3,3.0000,3,5,3,4.0000,4,2,4,3.0000,3,5,5,5.0000,5
valid_029,diagram_1a821b57b6dd,case_33_farm_management_system,DeepSeek_R1_14B,few_shot,2,existing_exact,4.0|23.0,3,3,3.0000,3,3,3,3.0000,3,5,4,4.5000,5,4,5,4.5000,5
valid_030,diagram_2fcc1f4afac3,case_33_farm_management_system,Llama_3.1_8B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5
valid_031,diagram_ce15aff5a8c7,case_34_green_rides,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_032,diagram_2e4a283d528c,case_34_green_rides,DeepSeek_R1_14B,baseline_repair,2,existing_exact,23.0|27.0,4,4,4.0000,4,5,4,4.5000,5,5,4,4.5000,5,5,5,5.0000,5
valid_033,diagram_7b2f287f36e2,case_34_green_rides,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5
valid_034,diagram_8c644d6dc059,case_34_green_rides,Llama_3.1_8B,few_shot,2,existing_exact,4.0|6.0,4,5,4.5000,5,4,5,4.5000,5,5,5,5.0000,5,5,5,5.0000,5
valid_035,diagram_49b96a09314d,case_37_online_quiz_system,Qwen_2.5_7B,baseline_repair,2,existing_exact,23.0|27.0,4,4,4.0000,4,4,4,4.0000,4,3,3,3.0000,3,5,5,5.0000,5
valid_036,diagram_e6ca7f1630a5,case_37_online_quiz_system,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,4,,4.0000,4,4,,4.0000,4,4,,4.0000,4
valid_037,diagram_28357a6315c4,case_37_online_quiz_system,DeepSeek_R1_14B,baseline_repair,2,existing_exact,23.0|27.0,5,4,4.5000,5,5,4,4.5000,5,1,3,2.0000,2,5,5,5.0000,5
valid_038,diagram_b0dfeb271439,case_37_online_quiz_system,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,4,,4.0000,4,5,,5.0000,5
valid_039,diagram_e9c6a8fa9dd0,case_39_website_development,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_040,diagram_1b1b9b3fc6a3,case_39_website_development,Mistral,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,4,,4.0000,4,4,,4.0000,4,4,,4.0000,4
valid_041,diagram_12ca9187a47c,case_39_website_development,DeepSeek_R1_14B,baseline_repair,2,existing_exact,23.0|28.0,4,4,4.0000,4,4,5,4.5000,5,5,4,4.5000,5,5,4,4.5000,5
valid_042,diagram_847b6f70f84d,case_39_website_development,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_043,diagram_c43c5b615ff6,case_39_website_development,Llama_3.1_8B,few_shot,2,existing_exact,4.0|6.0,3,1,2.0000,2,4,2,3.0000,3,5,4,4.5000,5,5,5,5.0000,5
valid_044,diagram_53e984131ff8,case_41_video_suggestion_system,Qwen_2.5_7B,rag,2,existing_exact,10.0|14.0,3,3,3.0000,3,4,4,4.0000,4,5,5,5.0000,5,2,5,3.5000,4
valid_045,diagram_bee08a589cd1,case_41_video_suggestion_system,Mistral,rag,2,existing_exact,11.0|14.0,2,5,3.5000,4,2,4,3.0000,3,4,5,4.5000,5,5,5,5.0000,5
valid_046,diagram_0c68eaef4a08,case_41_video_suggestion_system,Llama_3.1_8B,baseline_repair,2,existing_exact,14.0|26.0,3,5,4.0000,4,4,5,4.5000,5,4,5,4.5000,5,4,4,4.0000,4
valid_047,diagram_9b0c5621be56,case_41_video_suggestion_system,Llama_3.1_8B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,4,,4.0000,4,4,,4.0000,4
valid_048,diagram_b13b0737abe9,case_45_alarm_clock,DeepSeek_R1_14B,baseline_repair,2,existing_exact,23.0|27.0,2,4,3.0000,3,2,4,3.0000,3,2,5,3.5000,4,5,5,5.0000,5
valid_049,diagram_f4698a240aba,case_45_alarm_clock,Llama_3.1_8B,baseline_repair,2,existing_exact,23.0|27.0,5,4,4.5000,5,5,3,4.0000,4,5,5,5.0000,5,5,5,5.0000,5
valid_050,diagram_584115cefc97,case_45_alarm_clock,Llama_3.1_8B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5
valid_051,diagram_6f538ea0047b,case_46_digital_watch,Qwen_2.5_7B,baseline_repair,2,existing_exact,14.0|27.0,4,4,4.0000,4,4,4,4.0000,4,5,5,5.0000,5,4,5,4.5000,5
valid_052,diagram_5d3d7dd2a7e1,case_46_digital_watch,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_053,diagram_b31e205102f3,case_46_digital_watch,DeepSeek_R1_14B,baseline_repair,2,existing_exact,14.0|27.0,3,5,4.0000,4,3,4,3.5000,4,3,5,4.0000,4,4,4,4.0000,4
valid_054,diagram_a750a6fc981e,case_46_digital_watch,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_055,diagram_bf6751fdac04,case_47_safehome_security_function,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,5,,5.0000,5,4,,4.0000,4,5,,5.0000,5
valid_056,diagram_6ab9a734586e,case_47_safehome_security_function,DeepSeek_R1_14B,baseline_repair,2,existing_exact,14.0|26.0,4,5,4.5000,5,3,5,4.0000,4,4,4,4.0000,4,5,5,5.0000,5
valid_057,diagram_f69cc3a905fd,case_47_safehome_security_function,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_058,diagram_d49cce056621,case_47_safehome_security_function,Llama_3.1_8B,few_shot,2,existing_exact,10.0|14.0,3,3,3.0000,3,4,2,3.0000,3,4,4,4.0000,4,5,5,5.0000,5
valid_059,diagram_64e4c4c9a9ea,case_51_process_sale,Mistral,rag,2,existing_exact,11.0|14.0,3,4,3.5000,4,3,3,3.0000,3,4,5,4.5000,5,4,4,4.0000,4
valid_060,diagram_89bcfcb84aa1,case_51_process_sale,DeepSeek_R1_14B,few_shot,2,existing_exact,4.0|6.0,5,5,5.0000,5,4,5,4.5000,5,5,5,5.0000,5,5,5,5.0000,5
valid_061,diagram_abbe9b796d0b,case_51_process_sale,Llama_3.1_8B,baseline_repair,2,existing_exact,14.0|26.0,3,5,4.0000,4,4,4,4.0000,4,5,5,5.0000,5,4,5,4.5000,5
valid_062,diagram_18069852ccc5,case_51_process_sale,Llama_3.1_8B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_063,diagram_8afd8fc972f9,case_52_microwave_oven,DeepSeek_R1_14B,baseline_repair,2,existing_exact,2.0|25.0,3,5,4.0000,4,4,5,4.5000,5,5,5,5.0000,5,4,5,4.5000,5
valid_064,diagram_2f62a7a70a24,case_52_microwave_oven,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,3,,3.0000,3,5,,5.0000,5,5,,5.0000,5
valid_065,diagram_e41fa2d8315d,case_54_weather_station_system,DeepSeek_R1_14B,baseline_repair,2,existing_exact,2.0|25.0,3,5,4.0000,4,3,5,4.0000,4,3,5,4.0000,4,4,5,4.5000,5
valid_066,diagram_d941dd436455,case_54_weather_station_system,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5
valid_067,diagram_d569774bb6e4,case_54_weather_station_system,Llama_3.1_8B,baseline_repair,2,existing_exact,2.0|25.0,2,4,3.0000,3,2,4,3.0000,3,4,5,4.5000,5,3,5,4.0000,4
valid_068,diagram_35e83cef1b26,case_54_weather_station_system,Llama_3.1_8B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5
valid_069,diagram_6f7183d4bbbf,case_59_atm_1,Qwen_2.5_7B,baseline_repair,2,existing_exact,2.0|25.0,1,3,2.0000,2,1,3,2.0000,2,1,2,1.5000,2,1,3,2.0000,2
valid_070,diagram_efba21df0a1b,case_59_atm_1,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,3,,3.0000,3,3,,3.0000,3,5,,5.0000,5
valid_071,diagram_66e6f5424b74,case_59_atm_1,DeepSeek_R1_14B,baseline_repair,2,existing_exact,2.0|25.0,4,5,4.5000,5,4,5,4.5000,5,5,5,5.0000,5,5,5,5.0000,5
valid_072,diagram_e7b7696b4537,case_59_atm_1,DeepSeek_R1_14B,syntax_grounded_repair,2,existing_render_equivalent,2.0|25.0,4,5,4.5000,5,4,5,4.5000,5,5,5,5.0000,5,5,5,5.0000,5
valid_073,diagram_a2fd142ede76,case_59_atm_1,Llama_3.1_8B,baseline_repair,2,existing_exact,2.0|25.0,1,3,2.0000,2,1,3,2.0000,2,2,5,3.5000,4,2,5,3.5000,4
valid_074,diagram_66d9252ba6de,case_59_atm_1,Llama_3.1_8B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5,5,,5.0000,5
valid_075,diagram_3f89f70c8b5d,case_60_atm_2,Mistral,rag,2,existing_exact,11.0|14.0,3,5,4.0000,4,4,4,4.0000,4,5,5,5.0000,5,3,4,3.5000,4
valid_076,diagram_503a41627b3d,case_60_atm_2,DeepSeek_R1_14B,few_shot,2,existing_exact,5.0|7.0,4,4,4.0000,4,4,4,4.0000,4,5,5,5.0000,5,4,5,4.5000,5
valid_077,diagram_db1f0a0013d6,case_60_atm_2,Llama_3.1_8B,few_shot,2,existing_exact,5.0|7.0,4,3,3.5000,4,3,3,3.0000,3,4,4,4.0000,4,3,4,3.5000,4
valid_078,diagram_631975827c02,case_65_plane,Qwen_2.5_7B,rag,2,existing_exact,8.0|9.0,3,3,3.0000,3,3,2,2.5000,3,4,3,3.5000,4,2,2,2.0000,2
valid_079,diagram_95fa0f880935,case_65_plane,Mistral,baseline_repair,2,existing_exact,2.0|25.0,5,5,5.0000,5,5,5,5.0000,5,5,5,5.0000,5,5,5,5.0000,5
valid_080,diagram_9b7509093e07,case_65_plane,Mistral,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5
valid_081,diagram_ef178a36d7f5,case_67_atm_many_scenarios_1,Qwen_2.5_7B,baseline_repair,2,existing_exact,14.0|26.0,2,5,3.5000,4,3,5,4.0000,4,3,3,3.0000,3,3,5,4.0000,4
valid_082,diagram_b58376468e39,case_67_atm_many_scenarios_1,Qwen_2.5_7B,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,3,,3.0000,3,4,,4.0000,4,5,,5.0000,5
valid_083,diagram_2112f09f8019,case_67_atm_many_scenarios_1,Llama_3.1_8B,few_shot,2,existing_exact,5.0|7.0,4,4,4.0000,4,4,4,4.0000,4,5,5,5.0000,5,4,4,4.0000,4
valid_084,diagram_8521fdb57250,case_70_atm_many_scenarios_7,Qwen_2.5_7B,baseline_repair,2,existing_exact,22.0|28.0,3,5,4.0000,4,5,5,5.0000,5,5,5,5.0000,5,4,4,4.0000,4
valid_085,diagram_9d4c78b4ab17,case_70_atm_many_scenarios_7,DeepSeek_R1_14B,baseline_repair,2,existing_exact,22.0|28.0,2,1,1.5000,2,3,1,2.0000,2,5,5,5.0000,5,5,5,5.0000,5
valid_086,diagram_77a31441aee9,case_70_atm_many_scenarios_7,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,3,,3.0000,3,4,,4.0000,4,5,,5.0000,5,4,,4.0000,4
valid_087,diagram_9f2e5bdfe12c,case_75_graderate,Qwen_2.5_7B,rag,2,existing_exact,8.0|9.0,3,3,3.0000,3,2,2,2.0000,2,4,3,3.5000,4,5,3,4.0000,4
valid_088,diagram_a43e73bcd960,case_75_graderate,Mistral,rag,2,existing_exact,11.0|14.0,5,5,5.0000,5,5,5,5.0000,5,5,5,5.0000,5,3,5,4.0000,4
valid_089,diagram_7aab170208b6,case_75_graderate,DeepSeek_R1_14B,few_shot,2,existing_exact,8.0|9.0,5,5,5.0000,5,5,5,5.0000,5,5,5,5.0000,5,5,4,4.5000,5
valid_090,diagram_59e92adae6ca,case_75_graderate,Llama_3.1_8B,few_shot,2,existing_exact,8.0|9.0,3,3,3.0000,3,4,3,3.5000,4,5,3,4.0000,4,5,3,4.0000,4
valid_091,diagram_3a5539be87c9,case_78_class_campaign_version_2,Qwen_2.5_7B,rag,2,existing_exact,1202.0|1222.0,5,5,5.0000,5,4,4,4.0000,4,5,5,5.0000,5,4,4,4.0000,4
valid_092,diagram_2d69bd8b350f,case_78_class_campaign_version_2,Mistral,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,3,,3.0000,3,3,,3.0000,3,4,,4.0000,4
valid_093,diagram_c66ea01b7c33,case_78_class_campaign_version_2,DeepSeek_R1_14B,few_shot,2,existing_exact,1202.0|1222.0,4,4,4.0000,4,4,5,4.5000,5,5,5,5.0000,5,5,5,5.0000,5
valid_094,diagram_5cdb884d9bae,case_80_staff_member_class,Mistral,baseline_repair,2,existing_exact,18.0|19.0,5,4,4.5000,5,5,3,4.0000,4,5,3,4.0000,4,5,3,4.0000,4
valid_095,diagram_5ab4518d7115,case_80_staff_member_class,Mistral,syntax_grounded_repair,1,new_human,new_human_01,5,,5.0000,5,4,,4.0000,4,4,,4.0000,4,5,,5.0000,5
valid_096,diagram_4e897edb01c1,case_80_staff_member_class,DeepSeek_R1_14B,baseline_repair,2,existing_exact,18.0|19.0,5,4,4.5000,5,5,4,4.5000,5,5,5,5.0000,5,5,4,4.5000,5
valid_097,diagram_f966f7b40b98,case_80_staff_member_class,DeepSeek_R1_14B,syntax_grounded_repair,1,new_human,new_human_01,4,,4.0000,4,5,,5.0000,5,5,,5.0000,5,4,,4.0000,4
