table,evaluation_group,metric,method,model,value,n,total,raw
Repair Iterations,Automatic (accuracy),Structural validity,Repair at zero iterations,llama,100.0,8,8,100.00% (n=8/8)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at zero iterations,mistral,100.0,4,4,100.00% (n=4/4)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at zero iterations,deepseek,100.0,6,6,100.00% (n=6/6)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at zero iterations,qwen,100.0,4,4,100.00% (n=4/4)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at once,llama,100.0,6,6,100.00% (n=6/6)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at once,mistral,100.0,3,3,100.00% (n=3/3)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at once,deepseek,100.0,11,11,100.00% (n=11/11)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at once,qwen,100.0,4,4,100.00% (n=4/4)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at two iterations,llama,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at two iterations,mistral,100.0,1,1,100.00% (n=1/1)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at two iterations,deepseek,100.0,3,3,100.00% (n=3/3)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at two iterations,qwen,100.0,3,3,100.00% (n=3/3)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at three iterations,llama,100.0,1,1,100.00% (n=1/1)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at three iterations,mistral,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at three iterations,deepseek,100.0,2,2,100.00% (n=2/2)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at three iterations,qwen,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at four iterations,llama,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at four iterations,mistral,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at four iterations,deepseek,100.0,2,2,100.00% (n=2/2)
Repair Iterations,Automatic (accuracy),Structural validity,Repair at four iterations,qwen,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at five iterations,llama,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at five iterations,mistral,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at five iterations,deepseek,,,,
Repair Iterations,Automatic (accuracy),Structural validity,Repair at five iterations,qwen,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at zero iterations,llama,100.0,8,8,100.00% (n=8/8)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at zero iterations,mistral,100.0,4,4,100.00% (n=4/4)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at zero iterations,deepseek,100.0,6,6,100.00% (n=6/6)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at zero iterations,qwen,100.0,4,4,100.00% (n=4/4)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at once,llama,100.0,6,6,100.00% (n=6/6)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at once,mistral,100.0,3,3,100.00% (n=3/3)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at once,deepseek,100.0,11,11,100.00% (n=11/11)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at once,qwen,100.0,4,4,100.00% (n=4/4)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at two iterations,llama,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at two iterations,mistral,100.0,1,1,100.00% (n=1/1)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at two iterations,deepseek,100.0,3,3,100.00% (n=3/3)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at two iterations,qwen,100.0,3,3,100.00% (n=3/3)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at three iterations,llama,100.0,1,1,100.00% (n=1/1)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at three iterations,mistral,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at three iterations,deepseek,100.0,2,2,100.00% (n=2/2)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at three iterations,qwen,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at four iterations,llama,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at four iterations,mistral,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at four iterations,deepseek,100.0,2,2,100.00% (n=2/2)
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at four iterations,qwen,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at five iterations,llama,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at five iterations,mistral,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at five iterations,deepseek,,,,
Repair Iterations,Automatic (accuracy),Syntactic validity,Repair at five iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at zero iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at zero iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at zero iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at zero iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at once,llama,4.0,13,,4 (n=13)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at once,mistral,3.0,7,,3 (n=7)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at once,deepseek,4.0,23,,4 (n=23)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at once,qwen,3.0,9,,3 (n=9)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at two iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at two iterations,mistral,4.5,2,,4.5 (n=2)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at two iterations,deepseek,4.0,7,,4 (n=7)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at two iterations,qwen,4.0,7,,4 (n=7)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at three iterations,llama,3.0,2,,3 (n=2)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at three iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at three iterations,deepseek,4.0,4,,4 (n=4)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at three iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at four iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at four iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at four iterations,deepseek,2.0,5,,2 (n=5)
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at four iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at five iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at five iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at five iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Completeness,Repair at five iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at zero iterations,llama,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at zero iterations,mistral,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at zero iterations,deepseek,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at zero iterations,qwen,,,,
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at once,llama,4.0,13,,4 (n=13)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at once,mistral,5.0,7,,5 (n=7)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at once,deepseek,4.0,23,,4 (n=23)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at once,qwen,4.0,9,,4 (n=9)
Repair Iterations,Human (Likert scale 1-5),Correctness,Repair at two iterations,llama,,,,
