source,case_id,complexity,model,method,metric,score,diagram_name
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Completeness,5.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Correctness,5.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Understandability,5.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Terminology alignment,5.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Completeness,4.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Correctness,5.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Understandability,3.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_16_weather_monitoring_system,complex,Llama 3.1 8B Instruct,One-shot,Terminology alignment,5.0,llama_3_1_8b_instruct__one_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Completeness,3.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Correctness,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Understandability,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Terminology alignment,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Completeness,4.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Correctness,3.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Understandability,2.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,Few-shot,Terminology alignment,5.0,deepseek_r1_14b__few_shot__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Completeness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Correctness,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Understandability,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Terminology alignment,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Completeness,2.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Correctness,2.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Understandability,3.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_18_digidoclocker,medium,DeepSeek R1 14B,RAG,Terminology alignment,5.0,deepseek_r1_14b__rag__run_01.png
main_human_evaluation,case_28_ott_based_system_mini_reel,medium,DeepSeek R1 14B,One-shot,Completeness,5.0,deepseek_r1_14b__one_shot__run_01.png
