llm_used,criterion,n,median,mean_supplementary,q1,q3,iqr,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count
DeepSeek R1 14B,completeness,63,4,3.7778,3.0,5.0,2.0,5,5,10,22,21
DeepSeek R1 14B,correctness,63,4,3.9048,3.0,5.0,2.0,3,3,15,18,24
DeepSeek R1 14B,understandability,63,5,4.2222,4.0,5.0,1.0,3,4,8,9,39
DeepSeek R1 14B,terminology_alignment,63,5,4.4444,4.0,5.0,1.0,2,0,5,17,39
Llama 3.1 8B Instruct,completeness,52,3.0,3.5385,3.0,4.25,1.25,2,6,19,12,13
Llama 3.1 8B Instruct,correctness,52,3.0,3.4231,3.0,4.0,1.0,4,6,17,14,11
Llama 3.1 8B Instruct,understandability,52,5.0,4.3462,4.0,5.0,1.0,2,2,4,12,32
Llama 3.1 8B Instruct,terminology_alignment,52,5.0,4.2885,4.0,5.0,1.0,0,2,9,13,28
Mistral,completeness,23,4,4.087,3.0,5.0,2.0,0,1,6,6,10
Mistral,correctness,23,4,3.913,3.0,5.0,2.0,0,2,6,7,8
Mistral,understandability,23,5,4.4783,4.0,5.0,1.0,0,1,1,7,14
Mistral,terminology_alignment,23,5,4.3478,4.0,5.0,1.0,0,0,4,7,12
Qwen 2.5 7B Instruct,completeness,28,4.0,3.6071,3.0,4.0,1.0,1,1,11,10,5
Qwen 2.5 7B Instruct,correctness,28,4.0,3.5714,3.0,4.0,1.0,1,5,5,11,6
Qwen 2.5 7B Instruct,understandability,28,3.0,3.6071,3.0,5.0,2.0,1,5,9,2,11
Qwen 2.5 7B Instruct,terminology_alignment,28,4.0,3.7143,3.0,5.0,2.0,2,3,7,5,11
