model,method,total,valid,invalid,validity_percent
DeepSeek R1 14B,Few-shot,27,24,3,88.89
DeepSeek R1 14B,RAG,27,23,4,85.19
DeepSeek R1 14B,Zero-shot,27,16,11,59.26
Llama 3.1 8B Instruct,Few-shot,27,25,2,92.59
Llama 3.1 8B Instruct,RAG,27,27,0,100.0
Llama 3.1 8B Instruct,Zero-shot,27,8,19,29.63
Mistral,Few-shot,27,26,1,96.3
Mistral,RAG,27,20,7,74.07
Mistral,Zero-shot,27,1,26,3.7
Qwen 2.5 7B Instruct,Few-shot,27,26,1,96.3
Qwen 2.5 7B Instruct,RAG,27,27,0,100.0
Qwen 2.5 7B Instruct,Zero-shot,27,6,21,22.22
