assigned_folder,case_number,diagram_number,original_response_count,rater1_id,rater1_excel_row,rater2_id,rater2_excel_row,ignored_extra_evaluator_ids,ignored_extra_excel_rows,completeness_rater1,completeness_rater2,completeness_absolute_difference,correctness_rater1,correctness_rater2,correctness_absolute_difference,understandability_rater1,understandability_rater2,understandability_absolute_difference,terminology_alignment_rater1,terminology_alignment_rater2,terminology_alignment_absolute_difference
Evaluation,1,A,3,15,56,1,68,3,106,5,4,1,3,3,0,5,5,0,5,4,1
Evaluation,12,A,3,15,57,1,69,3,131,3,4,1,3,5,2,5,5,0,5,5,0
Evaluation,16,A,2,15,58,1,70,,,5,4,1,5,5,0,5,3,2,5,5,0
Evaluation,18,A,2,15,59,1,72,,,3,4,1,5,3,2,5,2,3,5,5,0
Evaluation,18,B,2,15,60,23,132,,,5,2,3,5,2,3,5,3,2,5,5,0
Evaluation,28,A,2,15,61,1,74,,,5,4,1,5,3,2,5,2,3,5,5,0
Evaluation,28,B,2,15,62,1,75,,,5,2,3,3,1,2,5,5,0,5,5,0
Evaluation,33,A,2,4,95,23,133,,,3,3,0,3,3,0,5,4,1,4,5,1
Evaluation,34,A,2,6,13,4,115,,,5,4,1,5,4,1,5,5,0,5,5,0
Evaluation,34,B,2,6,63,4,110,,,5,4,1,4,4,0,5,5,0,5,5,0
Evaluation,37,A,2,6,64,4,116,,,3,3,0,3,5,2,4,5,1,5,5,0
Evaluation,39,A,2,6,65,23,134,,,1,5,4,3,4,1,4,5,1,5,5,0
Evaluation,39,B,3,6,66,23,135,4,156,1,2,1,2,1,1,4,5,1,5,5,0
Evaluation,41,A,2,14,2,10,21,,,4,4,0,3,5,2,3,5,2,4,5,1
Evaluation,41,B,2,10,22,23,136,,,2,2,0,2,5,3,1,1,0,4,5,1
Evaluation,41,C,2,14,4,10,23,,,3,3,0,4,4,0,5,5,0,5,2,3
Evaluation,45,A,2,14,5,10,24,,,5,5,0,3,4,1,5,5,0,3,2,1
Evaluation,45,B,2,14,6,10,25,,,5,4,1,5,4,1,5,5,0,4,5,1
Evaluation,47,A,2,14,7,10,26,,,3,3,0,2,4,2,4,4,0,5,5,0
Evaluation,47,B,2,14,8,10,27,,,3,4,1,2,3,1,4,4,0,3,4,1
Evaluation,51,A,2,6,67,4,158,,,5,5,0,5,4,1,5,5,0,5,5,0
Evaluation,54,A,2,7,14,5,30,,,3,4,1,3,3,0,3,3,0,4,4,0
Evaluation,59,A,2,7,15,5,31,,,4,4,0,4,4,0,4,4,0,3,3,0
Evaluation,60,A,2,7,28,5,36,,,4,4,0,4,4,0,5,5,0,5,4,1
Evaluation,60,B,2,7,29,5,37,,,5,5,0,5,5,0,5,5,0,4,5,1
Evaluation,60,C,2,7,32,5,38,,,3,4,1,3,3,0,4,4,0,4,3,1
Evaluation,60,D,2,7,35,5,39,,,3,4,1,2,3,1,2,3,1,3,3,0
Evaluation,65,A,2,8,40,9,42,,,4,3,1,4,4,0,5,5,0,4,4,0
Evaluation,65,B,2,8,41,9,43,,,3,3,0,3,2,1,4,3,1,2,2,0
Evaluation,67,A,2,7,16,5,33,,,4,4,0,4,4,0,5,5,0,4,4,0
Evaluation,70,A,2,8,34,9,44,,,3,2,1,2,1,1,5,2,3,5,3,2
Evaluation,75,A,2,8,17,9,45,,,5,5,0,5,5,0,5,5,0,5,4,1
Evaluation,75,B,2,8,18,9,46,,,3,3,0,4,3,1,5,3,2,5,3,2
Evaluation,75,C,2,8,19,9,47,,,5,3,2,5,3,2,5,3,2,5,3,2
Evaluation,75,D,2,8,20,9,49,,,3,3,0,2,2,0,4,3,1,5,3,2
Evaluation B,15,A,2,11,54,14,150,,,4,4,0,4,4,0,5,4,1,5,5,0
Evaluation B,41,A,2,11,50,14,151,,,2,5,3,2,4,2,4,5,1,5,5,0
Evaluation B,51,A,2,11,48,14,152,,,3,4,1,3,3,0,4,5,1,4,4,0
Evaluation B,60,A,2,11,51,14,153,,,5,5,0,5,4,1,4,5,1,4,3,1
Evaluation B,60,B,2,11,52,14,155,,,3,5,2,4,4,0,5,5,0,3,4,1
Evaluation B,75,A,2,11,53,14,157,,,5,5,0,5,5,0,5,5,0,3,5,2
Evaluation B,80,A,2,11,55,14,159,,,4,5,1,3,4,1,4,5,1,4,4,0
Evaluation C,1,A,3,19,83,2,96,18,98,2,5,3,3,3,0,4,2,2,4,3,1
Evaluation C,1,B,3,19,88,2,97,18,99,4,4,0,4,2,2,3,2,1,4,3,1
Evaluation C,2,A,2,20,9,22,107,,,3,5,2,3,4,1,5,3,2,3,5,2
Evaluation C,2,B,2,20,10,22,108,,,3,5,2,3,5,2,5,5,0,3,5,2
Evaluation C,12,A,2,19,89,18,100,,,4,5,1,5,5,0,5,5,0,4,5,1
Evaluation C,15,A,2,20,11,22,109,,,2,4,2,5,5,0,5,5,0,4,5,1
Evaluation C,16,A,2,19,90,18,101,,,1,5,4,2,5,3,5,5,0,3,5,2
Evaluation C,16,B,2,19,91,18,102,,,3,4,1,3,5,2,2,3,1,3,5,2
Evaluation C,18,A,2,19,92,18,103,,,3,5,2,3,5,2,3,5,2,4,5,1
Evaluation C,28,A,2,26,71,14,124,,,3,3,0,4,4,0,5,5,0,5,4,1
Evaluation C,32,A,2,22,111,27,137,,,1,1,0,1,1,0,1,1,0,1,1,0
Evaluation C,32,B,2,22,112,27,138,,,3,3,0,3,2,1,4,5,1,4,5,1
Evaluation C,33,A,2,23,117,27,148,,,3,3,0,5,3,2,2,4,2,5,5,0
Evaluation C,34,A,2,23,118,27,147,,,4,4,0,5,4,1,5,4,1,5,5,0
Evaluation C,37,A,2,23,119,27,143,,,5,4,1,5,4,1,1,3,2,5,5,0
Evaluation C,37,B,2,23,120,27,141,,,4,4,0,4,4,0,3,3,0,5,5,0
Evaluation C,39,A,2,23,121,28,166,,,4,4,0,4,5,1,5,4,1,5,4,1
Evaluation C,41,A,2,26,84,14,125,,,5,3,2,5,4,1,5,4,1,4,4,0
Evaluation C,45,A,2,23,122,27,139,,,2,4,2,2,4,2,2,5,3,5,5,0
Evaluation C,45,B,2,23,123,27,140,,,5,4,1,5,3,2,5,5,0,5,5,0
Evaluation C,46,A,2,14,126,27,145,,,3,5,2,3,4,1,3,5,2,4,4,0
Evaluation C,46,B,2,14,127,27,146,,,4,4,0,4,4,0,5,5,0,4,5,1
Evaluation C,47,A,2,26,85,14,128,,,5,4,1,5,3,2,4,4,0,5,5,0
Evaluation C,51,A,2,26,86,14,129,,,5,3,2,4,4,0,5,5,0,5,4,1
Evaluation C,52,A,3,25,76,28,165,2,171,5,4,1,5,5,0,5,5,0,5,5,0
Evaluation C,54,A,2,25,77,2,142,,,5,3,2,5,3,2,5,3,2,5,4,1
Evaluation C,54,B,2,25,78,2,144,,,4,2,2,4,2,2,5,4,1,5,3,2
Evaluation C,59,A,3,25,79,28,149,2,167,5,4,1,5,4,1,5,5,0,5,5,0
Evaluation C,59,B,3,25,80,28,160,2,168,3,4,1,3,3,0,5,4,1,5,4,1
Evaluation C,59,C,3,25,81,28,161,2,169,3,3,0,3,4,1,2,2,0,3,1,2
Evaluation C,65,A,3,25,82,28,164,2,170,5,4,1,5,5,0,5,5,0,5,5,0
Evaluation C,67,A,2,26,87,14,130,,,5,2,3,5,3,2,3,3,0,5,3,2
Evaluation C,70,A,2,22,113,28,163,,,2,1,1,3,1,2,5,5,0,5,5,0
Evaluation C,70,B,2,22,114,28,162,,,3,5,2,5,5,0,5,5,0,4,4,0
Evaluation C,80,A,2,19,93,18,104,,,4,5,1,4,5,1,5,5,0,4,5,1
Evaluation C,80,B,2,19,94,18,105,,,4,5,1,3,5,2,3,5,2,3,5,2
